#NpcAiActionParam=NPC_AI_ACTION_PARAM_ST
ID,Name,directionMovementId,actId0,actId1,actId2,isDisableDirectionMovement,isDisableAct0,isDisableAct1,isDisableAct2,actType,isDisableAiCheck,pad1
81,DownRightHold_L2Hold_R2,8,6,9,0,1,1,0,0,0,0,-
82,L1Hold_R1,0,5,8,0,0,1,0,0,0,0,-
83,L1Hold_R2,0,5,9,0,0,1,0,0,0,0,-
90,LadderUp,0,20,0,0,0,0,0,0,0,0,-
91,LadderDown,0,21,0,0,0,0,0,0,0,0,-
92,ChangeStyle,0,4,0,0,0,1,0,0,0,0,-
100,Gesture00,0,22,0,0,0,0,0,0,0,0,-
101,Gesture01,0,22,0,0,0,0,0,0,1,0,-
102,Gesture02,0,22,0,0,0,0,0,0,2,0,-
103,Gesture03,0,22,0,0,0,0,0,0,3,0,-
104,Gesture04,0,22,0,0,0,0,0,0,4,0,-
105,Gesture05,0,22,0,0,0,0,0,0,5,0,-
106,Gesture06,0,22,0,0,0,0,0,0,6,0,-
107,Gesture07,0,22,0,0,0,0,0,0,7,0,-
108,Gesture08,0,22,0,0,0,0,0,0,8,0,-
109,Gesture09,0,22,0,0,0,0,0,0,9,0,-
110,Gesture10,0,22,0,0,0,0,0,0,10,0,-
111,Gesture11,0,22,0,0,0,0,0,0,11,0,-
112,Gesture12,0,22,0,0,0,0,0,0,12,0,-
113,Gesture13,0,22,0,0,0,0,0,0,13,0,-
114,Gesture14,0,22,0,0,0,0,0,0,14,0,-
115,Gesture15,0,22,0,0,0,0,0,0,15,0,-
116,Gesture16,0,22,0,0,0,0,0,0,16,0,-
117,Gesture17,0,22,0,0,0,0,0,0,17,0,-
118,Gesture18,0,22,0,0,0,0,0,0,18,0,-
119,Gesture19,0,22,0,0,0,0,0,0,19,0,-
120,Gesture20,0,22,0,0,0,0,0,0,20,0,-
121,Gesture21,0,22,0,0,0,0,0,0,21,0,-
122,Gesture22,0,22,0,0,0,0,0,0,22,0,-
123,Gesture23,0,22,0,0,0,0,0,0,23,0,-
124,Gesture24,0,22,0,0,0,0,0,0,24,0,-
125,Gesture25,0,22,0,0,0,0,0,0,25,0,-
126,Gesture26,0,22,0,0,0,0,0,0,26,0,-
127,Gesture27,0,22,0,0,0,0,0,0,27,0,-
128,Gesture28,0,22,0,0,0,0,0,0,28,0,-
129,Gesture29,0,22,0,0,0,0,0,0,29,0,-
130,Gesture30,0,22,0,0,0,0,0,0,30,0,-
131,Gesture31,0,22,0,0,0,0,0,0,31,0,-
132,Gesture32,0,22,0,0,0,0,0,0,32,0,-
133,Gesture33,0,22,0,0,0,0,0,0,33,0,-
134,Gesture34,0,22,0,0,0,0,0,0,34,0,-
135,Gesture35,0,22,0,0,0,0,0,0,35,0,-
136,Gesture36,0,22,0,0,0,0,0,0,36,0,-
137,Gesture37,0,22,0,0,0,0,0,0,37,0,-
138,Gesture38,0,22,0,0,0,0,0,0,38,0,-
139,Gesture39,0,22,0,0,0,0,0,0,39,0,-
140,Gesture40,0,22,0,0,0,0,0,0,40,0,-
141,Gesture41,0,0,0,0,0,0,0,0,0,0,-
