#MenuPropertySpecParam=MENUPROPERTY_SPEC
ID,Name,CaptionTextId,IconId,RequiredPropertyId,CompareType,RequiredPropertyFormatId,AdhocCaption
343,【 weapon 】 Damage cut rate: lightning -- 【武器】 ダメージカット率：雷,11023,9020,0,1,2,カット率 雷
344,[Weapon] Damage cut rate: darkness -- 【武器】 ダメージカット率：闇,11024,9021,0,1,2,カット率 闇
345,,0,-1,0,1,10,付加カット率 物
346,,0,-1,0,1,10,付加カット率 魔
347,,0,-1,0,1,10,付加カット率 炎
348,,0,-1,0,1,10,付加カット率 雷
349,,0,-1,0,1,10,付加カット率 闇
350,Weapon: Ability to receive -- 【武器】 受け能力,11031,9022,0,1,2,受け能力
351,,0,-1,0,1,1,付加受け能力
360,[Weapon] Required ability value: Muscular strength -- 【武器】 必要能力値：筋力,11300,8009,10103,2,0,必要能力値 筋力
361,[Weapon] Required ability value: workmanship -- 【武器】 必要能力値：技量,11301,8010,10104,2,0,必要能力値 技量
362,[Weapon] Required ability value: Power -- 【武器】 必要能力値：理力,11302,8011,10106,2,0,必要能力値 理力
363,[Weapon] Required ability value: Faith -- 【武器】 必要能力値：信仰,11303,8012,10107,2,0,必要能力値 信仰
365,,0,-1,0,2,0,能力解放値 筋力
366,,0,-1,0,2,0,能力解放値 技量
367,,0,-1,0,2,0,能力解放値 理力
368,,0,-1,0,2,0,能力解放値 信仰
370,【 Weapon 】 Ability Correction: Muscular strength -- 【武器】 能力補正：筋力,11310,8009,0,1,100,能力補正 筋力
371,[Weapon] Capacity correction: workmanship -- 【武器】 能力補正：技量,11311,8010,0,1,100,能力補正 技量
372,【 Weapon 】 Ability Correction: Power -- 【武器】 能力補正：理力,11312,8011,0,1,100,能力補正 理力
373,【 weapons 】 Ability Correction: Faith -- 【武器】 能力補正：信仰,11313,8012,0,1,100,能力補正 信仰
380,Current value of weapon endurance -- 【武器】 耐久度 現在値,11350,9002,0,1,0,耐久度
381,Weapon: Maximum Endurance -- 【武器】 耐久度 最大値,11350,9002,0,1,0,耐久度
390,【 Weapon 】 Consumption Arts point: L1 -- 【武器】 消費アーツポイント：L1,11034,9032,0,2,2,消費AP：L1
391,【 Weapon 】 Consumption Arts point: L2 -- 【武器】 消費アーツポイント：L2,11034,9032,0,2,2,消費MP：L2
392,【 Weapon 】 Consumption Arts point: R1 -- 【武器】 消費アーツポイント：R1,11034,9032,0,2,2,消費MP：R1
393,[Weapon] Consumption arts point: R2 -- 【武器】 消費アーツポイント：R2,11034,9032,0,2,2,消費MP：R2
400,[Armor] Defense Force: Physical -- 【防具】 防御力：物理,10530,8030,0,1,0,物理防御力
401,[Armor] defensive force: physical versus blow -- 【防具】 防御力：物理 対打撃,10531,8031,0,1,0,物理防御力 打撃
402,[Armor] Defense Force: Physics vs slashing -- 【防具】 防御力：物理 対斬撃,10532,8032,0,1,0,物理防御力 斬撃
403,[Armor] Defense Force: physical versus biting -- 【防具】 防御力：物理 対刺突,10533,8033,0,1,0,物理防御力 刺突
404,[Armor] Defense Force: Magic -- 【防具】 防御力：魔法,10534,8034,0,1,0,魔法防御力
405,[Armor] Defense Force: Flame -- 【防具】 防御力：炎,10535,8035,0,1,0,炎防御力
406,[Armor] Defense Force: Thunder -- 【防具】 防御力：雷,10536,8036,0,1,0,雷防御力
410,[Armor] Strength degree -- 【防具】 強靭度,11200,8017,0,1,11,強靭度
411,[Armor] Resistant: poison -- 【防具】 耐性：毒,11190,8027,0,1,0,毒耐性
412,[Armor] Resistant: bleeding -- 【防具】 耐性：出血,11191,8026,0,1,0,出血耐性
413,[Armor] Resistant: curse -- 【防具】 耐性：呪い,11192,8028,0,1,0,呪い耐性
414,[Armor] Resistant: cold air -- 【防具】 耐性：冷気,11193,8029,0,1,0,冷気耐性
415,,11200,8017,0,2,20,新強靭度
420,[Armor] Endurance Current Value -- 【防具】 耐久度 現在値,11350,9002,0,1,0,耐久度
421,[Armor] Endurance maximum -- 【防具】 耐久度 最大値,11350,9002,0,1,0,耐久度
430,[Armor] damage Cut: physical -- 【防具】 ダメージカット：物理,11180,9023,0,2,20,物理カット率
431,[Armor] damage cut: physical versus blow -- 【防具】 ダメージカット：物理 対打撃,11181,9024,0,2,20,打撃カット率
432,[Armor] damage Cut: physics vs. slashing -- 【防具】 ダメージカット：物理 対斬撃,11182,9025,0,2,20,斬撃カット率
433,[Armor] damage cut: physical versus biting -- 【防具】 ダメージカット：物理 対刺突,11183,9026,0,2,20,刺突カット率
434,[Armor] damage Cut: Magic -- 【防具】 ダメージカット：魔法,11184,9027,0,2,20,魔法カット率
435,[Armor] damage Cut: Flame -- 【防具】 ダメージカット：炎,11185,9028,0,2,20,炎カット率
436,[Armor] damage Cut: Thunder -- 【防具】 ダメージカット：雷,11186,9029,0,2,20,雷カット率
437,[Armor] damage Cut: Darkness -- 【防具】 ダメージカット：闇,11187,9030,0,2,20,闇カット率
500,Spell type -- 【スペル】 スペル種別,11002,9004,0,0,0,スペル種別
501,Spell Attack attribute -- 【スペル】 攻撃属性,11003,9001,0,0,0,攻撃属性
502,[Spell] Number of slots used -- 【スペル】 使用スロット数,11040,9006,0,2,0,使用スロット数
503,[spell] number of times used -- 【スペル】 使用回数,11031,-1,0,1,0,使用回数
504,[Spell] Required ability value Force -- 【スペル】 必要能力値 理力,11302,8011,10106,2,0,必要能力値 理力
505,[Spell] Required Ability value Faith -- 【スペル】 必要能力値 信仰,11303,8012,10107,2,0,必要能力値 信仰
520,【 spell 】 Consumption MP -- 【スペル】 消費MP,11041,9005,0,2,0,消費MP
600,Arrow: Weapon type -- 【矢】 武器種別,11001,9000,0,0,120,武器種別
601,[Arrow] Attack attribute -- 【矢】 攻撃属性,11003,9001,0,0,0,攻撃属性
610,[Arrow] Attack Force: Physics -- 【矢】 攻撃力：物理,11010,9009,0,1,0,物理攻撃力
611,[Arrow] Attack Force: Magic -- 【矢】 攻撃力：魔法,11011,9010,0,1,0,魔法攻撃力
612,[Arrow] Attack Force: Flame -- 【矢】 攻撃力：炎,11012,9011,0,1,0,炎攻撃力
613,[Arrow] Attack Force: Thunder -- 【矢】 攻撃力：雷,11013,9012,0,1,0,雷攻撃力
614,【 Arrow 】 Deadlier -- 【矢】 致命,11030,9014,0,1,0,致命
615,[Arrow] attack power: Darkness -- 【矢】 攻撃力：闇,11014,9013,0,1,0,闇攻撃力
620,【 Arrow 】 Special Effect: Poison -- 【矢】 特殊効果：毒,11050,8027,0,1,0,毒効果
621,【 Arrow 】 Special effects: Bleeding -- 【矢】 特殊効果：出血,11051,8026,0,1,0,出血効果
622,【 Arrow 】 Special effects: Sacred -- 【矢】 特殊効果：神聖,11052,-1,0,1,0,神聖効果
623,【 Arrow 】 Special Effect: Voodoo -- 【矢】 特殊効果：邪教,11053,-1,0,1,0,邪教効果
624,【 Arrow 】 Special Effect: cold air -- 【矢】 特殊効果：冷気,11054,8029,0,1,0,冷気効果
10000,PC Basic Name -- 【PC基本】 名前,10100,-1,0,0,0,名前
10001,[PC Basic] Sex -- 【PC基本】 性別,10101,-1,0,0,0,性別
10002,[Basic PC] Feature -- 【PC基本】 素性,10102,-1,0,0,0,素性
10003,[PC Basic] Gift -- 【PC基本】 贈り物,10103,-1,0,0,0,贈り物
10004,[Basic PC] Body type -- 【PC基本】 体型,10104,-1,0,0,0,体型
10005,[PC Basic] Face -- 【PC基本】 顔,10105,-1,0,0,0,顔
10006,[PC Basic] Hairstyle -- 【PC基本】 髪型,10106,-1,0,0,0,髪型
10007,[Basic PC] hair and pupil color -- 【PC基本】 髪と瞳の色,10107,-1,0,0,0,髪と瞳の色
10008,Basic PC Level -- 【PC基本】 レベル,10200,8000,0,1,0,レベル
10009,[PC Basic] Possession Soul -- 【PC基本】 所持ソウル,10201,8001,0,1,0,所持ソウル
10010,[PC Basic] required Seoul -- 【PC基本】 必要ソウル,10202,8002,0,0,2,必要ソウル
10011,Basic PC Pledge -- 【PC基本】 誓約,10300,8039,0,0,110,誓約
10012,[Basic PC] age group -- 【PC基本】 年齢層,10301,-1,0,0,0,年齢層
10013,[PC basic] dead degree -- 【PC基本】 亡者度,10203,8003,0,2,0,亡者度
10100,[PC1 next] life force -- 【PC１次】 生命力,10400,8004,0,1,0,生命力
10101,[PC1 Next] Endurance -- 【PC１次】 持久力,10401,8005,0,1,0,持久力
10102,[PC1 Next] Memory -- 【PC１次】 記憶力,10402,8006,0,1,0,記憶力
10103,[PC1 next] muscular strength -- 【PC１次】 筋力,10403,8009,0,1,0,筋力
10104,[PC1 Next] Workmanship -- 【PC１次】 技量,10404,8010,0,1,0,技量
10105,[PC1 next] Physical fitness -- 【PC１次】 体力,10405,8007,0,1,0,体力
10106,[PC1 next] power of science -- 【PC１次】 理力,10406,8011,0,1,0,理力
10107,[PC1 Next] Faith -- 【PC１次】 信仰,10407,8012,0,1,0,信仰
10108,[PC1 next] human nature -- 【PC１次】 人間性,10408,-1,0,1,0,人間性
10109,[PC1 Next] Luck -- 【PC１次】 運,10409,8008,0,1,0,運
10200,[PC2 Next] HP Current Value -- 【PC２次】 HP 現在値,10500,8013,0,1,0,HP
10201,[PC2 Next] HP Max Value -- 【PC２次】 HP 最大値,10500,8013,0,1,0,HP
10202,[PC2 Next] MP Current Value -- 【PC２次】 MP 現在値,10501,8014,0,1,0,MP
10203,[PC2 Next] MP Max Value -- 【PC２次】 MP 最大値,10501,8014,0,1,0,MP
10204,[PC2 Next] Stamina -- 【PC２次】 スタミナ,10502,8015,0,1,0,スタミナ
10205,[PC2 next] equipment weight current value -- 【PC２次】 装備重量 現在値,10510,8016,0,2,0,装備重量
10206,[PC2 Next] equipment weight maximum -- 【PC２次】 装備重量 最大値,10510,8016,0,1,0,装備重量
10207,[PC2 Next] Right weapon 1 attack force -- 【PC２次】 右武器１　攻撃力,10520,8020,0,1,0,右武器１　攻撃力
10208,[PC2 Next] Right Weapon 2 attack force -- 【PC２次】 右武器２　攻撃力,10521,8021,0,1,0,右武器２　攻撃力
10209,[PC2 Next] Right Weapon 3 attack force -- 【PC２次】 右武器３　攻撃力,10522,8022,0,1,0,右武器３　攻撃力
10210,[PC2 next] left Weapon 1 attack force -- 【PC２次】 左武器１　攻撃力,10523,8023,0,1,0,左武器１　攻撃力
10211,[PC2 next] left Weapon 2 attack force -- 【PC２次】 左武器２　攻撃力,10524,8024,0,1,0,左武器２　攻撃力
10212,[PC2 next] left Weapon 3 attack force -- 【PC２次】 左武器３　攻撃力,10525,8025,0,1,0,左武器３　攻撃力
10213,[PC2 next] Defense Force: Physical -- 【PC２次】 防御力：物理,10530,9023,0,1,0,物理防御力
10214,[PC2] defensive force: physical versus blow -- 【PC２次】 防御力：物理 対打撃,10531,9024,0,1,0,物理防御力 打撃
10215,[PC2] Defense Force: Physics vs. slashing -- 【PC２次】 防御力：物理 対斬撃,10532,9025,0,1,0,物理防御力 斬撃
10216,[PC2] Defense Force: Physical vs. piercing -- 【PC２次】 防御力：物理 対刺突,10533,9026,0,1,0,物理防御力 刺突
10217,[PC2 next] Defense Force: Magic -- 【PC２次】 防御力：魔法,10534,9027,0,1,0,魔法防御力
10218,[PC2] Defense Force: Flame -- 【PC２次】 防御力：炎,10535,9028,0,1,0,炎防御力
10219,[PC2] Defense Force: Thunder -- 【PC２次】 防御力：雷,10536,9029,0,1,0,雷防御力
10220,[PC2] Resistant: Poison -- 【PC２次】 耐性：毒,10540,8027,0,1,0,毒耐性
10221,[PC2] Resistant: bleeding -- 【PC２次】 耐性：出血,10541,8026,0,1,0,出血耐性
10222,[PC2] Resistance: Curse -- 【PC２次】 耐性：呪い,10542,8028,0,1,0,呪い耐性
10223,[PC2 next] strong degree -- 【PC２次】 強靭度,11200,8017,0,1,11,強靭度
10224,[PC2] Number of memory slots -- 【PC２次】 記憶スロット数,10561,8018,0,1,0,記憶スロット数
10225,[PC2 Next] Item discovery Power -- 【PC２次】 アイテム発見力,10562,8019,0,1,0,アイテム発見力
10226,,10511,8040,0,2,0,荷重割合
10227,,11200,8017,0,2,21,新強靭度
10242,[PC2 next] armor damage cut: physical -- 【PC２次】 防具ダメージカット：物理,11180,9023,0,2,22,カット 物理
10243,[PC2 next] Armor damage Cut: Magic -- 【PC２次】 防具ダメージカット：魔法,11184,9027,0,2,22,カット 魔法
10244,[PC2 next] armor damage cut: Flame -- 【PC２次】 防具ダメージカット：炎,11205,9028,0,2,22,カット 炎
10245,[PC2 next] Armor damage Cut: Thunder -- 【PC２次】 防具ダメージカット：雷,11206,9029,0,2,22,カット 雷
10258,[PC2 next] Dark Defense Force -- 【PC２次】 闇防御力,10537,9030,0,1,0,闇防御力
10259,[PC2 next] armor damage cut: physical versus blow -- 【PC２次】 防具ダメージカット：物理 対打撃,11201,9024,0,2,22,対打撃
10260,[PC2 next] Armor damage cut: Physics vs slashing -- 【PC２次】 防具ダメージカット：物理 対斬撃,11202,9025,0,2,22,対斬撃
10261,[PC2 next] armor damage cut: physical vs. piercing -- 【PC２次】 防具ダメージカット：物理 対刺突,11203,9026,0,2,22,対刺突
10262,[PC2 next] Armor damage Cut: Darkness -- 【PC２次】 防具ダメージカット：闇,11207,9030,0,2,22,カット 闇
10263,[PC2 Next] Resistance: cold air -- 【PC２次】 耐性：冷気,10543,8029,0,1,0,冷気耐性
10264,[PC2] Armor resistance: bleeding -- 【PC２次】 防具耐性：出血,10541,8026,0,1,0,防具耐性：出血
10265,[PC2] Armor Resistant: Poison -- 【PC２次】 防具耐性：毒,10540,8027,0,1,0,防具耐性：毒
10266,[PC2 Next] armor resistant: cold air -- 【PC２次】 防具耐性：冷気,10543,8029,0,1,0,防具耐性：冷気
10267,,10542,8028,0,1,0,防具耐性：呪い
10270,【 PC2 Next 】 Arts point: Muscular strength Current value -- 【PC２次】 アーツポイント：筋力 現在値,11034,-1,0,1,0,戦技：筋力
10271,【 PC2 Next 】 Arts point: Skill present Value -- 【PC２次】 アーツポイント：技量 現在値,11034,-1,0,1,0,戦技：技量
10272,【 PC2 Next 】 Arts point: Magic present Value -- 【PC２次】 アーツポイント：魔法 現在値,11034,-1,0,1,0,戦技：魔法
10273,【 PC2 Next 】 Arts point: Miracle present Value -- 【PC２次】 アーツポイント：奇跡 現在値,11034,-1,0,1,0,戦技：奇跡
10280,【 PC2 Next 】 Arts point: Maximum muscle value -- 【PC２次】 アーツポイント：筋力 最大値,11034,-1,0,1,0,戦技：筋力最大値
10281,【 PC2 Next 】 Arts point: Maximum skill level -- 【PC２次】 アーツポイント：技量 最大値,11034,-1,0,1,0,戦技：技量最大値
10282,【 PC2 Next 】 Arts point: Magic Max -- 【PC２次】 アーツポイント：魔法 最大値,11034,-1,0,1,0,戦技：魔法最大値
10283,【 PC2 Next 】 Arts point: Miracle Maximum -- 【PC２次】 アーツポイント：奇跡 最大値,11034,-1,0,1,0,戦技：奇跡最大値
20300,,0,-1,0,1,0,攻撃力 合計
20301,,0,-1,0,1,0,カット率 合計
20302,,0,-1,0,1,0,効果別
20400,,0,-1,0,1,0,カット率 合計
20401,,0,-1,0,1,0,耐性 合計
20600,,0,-1,0,1,0,攻撃力 合計
