#SkeletonParam=SKELETON_PARAM_ST
ID,Name,neckTurnGain,originalGroundHeightMS,minAnkleHeightMS,maxAnkleHeightMS,cosineMaxKneeAngle,cosineMinKneeAngle,footPlantedAnkleHeightMS,footRaisedAnkleHeightMS,raycastDistanceUp,raycastDistanceDown,footEndLS_X,footEndLS_Y,footEndLS_Z,onOffGain,groundAcsendingGain,groundDescendingGain,footRaisedGain,footPlantedGain,footUnlockGain,kneeAxisType,useFootLocking,footPlacementOn,twistKneeAxisType,neckTurnPriority,neckTurnMaxAngle,pad1
999,Copy _ old-purpose right foot -- コピー_旧汎用右足,0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,-
1000,Hounds -- 猟犬_,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,-
1001,Hounds -- 猟犬_,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,-
1002,Hounds -- 猟犬_,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,-
1003,Hounds -- 猟犬_,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,-
1010,Priest _ Left Foot -- 司祭_左足,0,2,-200,370,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
1011,Priest _ Right foot -- 司祭_右足,0,2,-200,370,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
1022,Crowd A_ set neck shake -- 群衆Ａ_首振り設定,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,45,-
1030,B_ crowd left foot -- 群衆Ｂ_左足,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,-
1031,Crowd b_ right foot -- 群衆Ｂ_右足,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,-
2000,Mucademon right foot -- ムカデーモン右足,0,-10,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,-
2001,Mucademon left Foot -- ムカデーモン左足,0,-10,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,-
2010,Gargoyle Right Foot -- ガーゴイル右足,0,10,-200,370,-95,55,1,3,250,235,0,0,20,80,100,100,100,100,80,4,0,1,1,0,0,-
2011,Gargoyle left Foot -- ガーゴイル左足,0,10,-200,370,-95,55,1,3,250,235,0,0,20,80,100,100,100,100,80,4,0,1,1,0,0,-
2020,Iron Golem Right Foot -- アイアンゴーレム右足,0,0,-300,500,-95,55,0,2,250,235,0,0,10,60,100,100,10,60,80,4,1,1,1,0,0,-
2021,Iron Golem left Foot -- アイアンゴーレム左足,0,0,-300,500,-95,55,0,2,250,235,0,0,10,60,100,100,10,60,80,4,1,1,1,0,0,-
2022,Iron Golem Right Hand -- アイアンゴーレム右手,0,0,-200,370,-95,55,0,1,0,0,0,0,0,10,100,100,0,100,80,4,0,1,1,0,0,-
2030,Hammer Demon left Foot -- ハンマーデーモン左足,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
2031,Hammer Daemon Right foot -- ハンマーデーモン右足,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3004,Thaiwand Foot ⑤ -- クラグ足⑤,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3005,Thaiwand Foot ⑥ -- クラグ足⑥,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3100,Thaiwand Foot ⑦ -- クラグ足⑦,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3101,Thaiwand Foot ⑧ -- クラグ足⑧,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3102,Thaiwand Foot ⑨ -- クラグ足⑨,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3103,Thaiwand Foot ⑩ -- クラグ足⑩,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3104,Thaiwand Foot ⑪ -- クラグ足⑪,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3105,Thaiwand Foot ⑫ -- クラグ足⑫,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
3106,Thaiwand Foot ⑬ -- クラグ足⑬,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
5010,Beast of flames _ left leg -- 炎の獣_左前脚,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
5011,Beast of flames _ right legs -- 炎の獣_右前脚,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
5012,The Beast in flames _ left leg -- 炎の獣_左後脚,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
5013,Beast of flames _ right after leg -- 炎の獣_右後脚,0,0,-300,500,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,-
5014,Beast of flames _ neck shaking _ head -- 炎の獣_首振り_頭,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,4,15,-
5015,Fire Beast _ Neck Swing _ Neck 1 -- 炎の獣_首振り_首1,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,3,15,-
5016,Fire Beast _ Neck Shaking _ Neck 2 -- 炎の獣_首振り_首2,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,2,15,-
5017,Fire Beast _ Neck Shaking _ neck 3 -- 炎の獣_首振り_首3,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,1,15,-
5018,Fire Beast _ Neck Swing _ Neck 4 -- 炎の獣_首振り_首4,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,60,-
