#ShopLineupParam=SHOP_LINEUP_PARAM
ID,Name,EquipId,value,mtrlId,EventFlag,qwcID,sellQuantity,shopType,equipType,value_SAN,pad1,PriceRate
30230,,2260000,20000,100024,-1,6327,1,0,0,-1,-,1
30231,,14190000,5000,100024,-1,6327,1,0,0,-1,-,1
30240,,4130000,10000,100025,-1,6324,1,0,0,-1,-,1
30241,,2660000,10000,100025,-1,6324,1,0,3,-1,-,1
30250,,5060000,5000,100026,-1,6326,1,0,0,-1,-,1
30251,,1376000,15000,100026,-1,6326,1,0,3,-1,-,1
40000,,11040000,-1,-1,73101050,-1,1,0,0,-1,-,1
40001,,2145,-1,-1,73101060,-1,1,0,3,-1,-,1
40002,,20210,-1,-1,73101070,-1,3,0,2,-1,-,1
40003,,20440,-1,-1,73101080,-1,1,0,2,-1,-,1
40004,,20560,-1,-1,73101090,-1,1,0,2,-1,-,1
40005,,274,-1,-1,-1,-1,-1,0,3,-1,-,1.5
40006,,311,100,-1,-1,-1,-1,0,3,-1,-,1
50000,,1300000,-1,-1,73101000,-1,1,0,3,-1,-,1
50001,,1302000,-1,-1,73101010,-1,1,0,3,-1,-,1
50002,,1310000,-1,-1,73101020,-1,1,0,3,-1,-,1.5
50003,,1330000,-1,-1,73101030,-1,1,0,3,-1,-,1.5
50100,,1374000,-1,-1,73101040,70000450,1,0,3,-1,-,1
110000,,1000000,-1,-1,-1,-1,-1,0,0,-1,-,1
110001,,2000000,-1,-1,-1,-1,-1,0,0,-1,-,1
110003,,4030000,-1,-1,-1,-1,-1,0,0,-1,-,1
110004,,10030000,-1,-1,-1,-1,-1,0,0,-1,-,1
110005,,13050000,-1,-1,-1,-1,-1,0,0,-1,-,1
110006,,13060000,-1,-1,-1,-1,-1,0,0,-1,-,1
110007,,20040000,-1,-1,-1,-1,-1,0,0,-1,-,1
110008,,20180000,-1,-1,-1,-1,-1,0,0,-1,-,1
110009,,20220000,-1,-1,-1,-1,-1,0,0,-1,-,1
110011,,20230000,-1,-1,-1,-1,-1,0,0,-1,-,1
110012,,23000000,-1,-1,-1,-1,-1,0,0,-1,-,1
110013,,70000000,-1,-1,-1,-1,-1,0,1,-1,-,1
110014,,70001000,-1,-1,-1,-1,-1,0,1,-1,-,1
110015,,70002000,-1,-1,-1,-1,-1,0,1,-1,-,1
110016,,70003000,-1,-1,-1,-1,-1,0,1,-1,-,1
110017,,271,-1,-1,74001000,70000125,6,0,3,-1,-,1
110018,,280,-1,-1,-1,70000128,-1,0,3,-1,-,2
110019,,292,-1,-1,-1,70000129,-1,0,3,-1,-,2
110020,,350,-1,-1,-1,-1,-1,0,3,-1,-,1
110021,,370,-1,-1,-1,-1,-1,0,3,-1,-,1
110022,,100,-1,-1,6800,-1,1,0,3,-1,-,1
110023,,385,-1,-1,6820,-1,1,0,3,-1,-,1
110024,,500,-1,-1,74001010,-1,3,0,3,-1,-,1.25
110025,,2013,-1,-1,74001020,-1,1,0,3,-1,-,1
110026,,1200000,-1,-1,74001030,-1,1,0,3,-1,-,2
110027,,1300000,-1,-1,74001040,-1,1,0,3,-1,-,2
110028,,3490000,-1,-1,74001050,-1,1,0,3,-1,-,1
110029,,400600,-1,-1,-1,-1,-1,0,0,-1,-,1
110030,,404300,-1,-1,-1,-1,-1,0,0,-1,-,1
110050,,294,-1,-1,74001060,70000100,6,0,3,-1,-,1
110051,,330,-1,-1,-1,70000100,-1,0,3,-1,-,1
110052,,334,-1,-1,74001070,70000130,3,0,3,-1,-,1
110053,,340,-1,-1,-1,70000100,-1,0,3,-1,-,1
110054,,500,-1,-1,74001080,70000100,3,0,3,-1,-,1.25
110055,,2009,-1,-1,74001090,70000100,1,0,3,-1,-,1
110100,,14020000,-1,-1,-1,70000101,-1,0,0,-1,-,1
110101,,76001000,-1,-1,-1,70000101,-1,0,1,-1,-,1
110102,,76002000,-1,-1,-1,70000101,-1,0,1,-1,-,1
110103,,76003000,-1,-1,-1,70000101,-1,0,1,-1,-,1
110104,,20000,-1,-1,74001100,70000101,1,0,2,-1,-,1
110105,,260,-1,-1,-1,70000101,-1,0,3,-1,-,1
110106,,331,-1,-1,74001110,70000126,3,0,3,-1,-,1
110107,,341,-1,-1,74001120,70000126,6,0,3,-1,-,1
110108,,343,-1,-1,-1,70000101,-1,0,3,-1,-,1
110109,,461,-1,-1,-1,70000101,-1,0,3,-1,-,1
110110,,400400,-1,-1,-1,70000101,-1,0,0,-1,-,1
110111,,1000,-1,-1,-1,70000131,-1,0,3,-1,-,1
110150,,8020000,-1,-1,-1,70000102,-1,0,0,-1,-,1
110151,,7040000,-1,-1,-1,70000102,-1,0,0,-1,-,1
110152,,13270000,-1,-1,-1,70000102,-1,0,0,-1,-,1
110153,,20670,-1,-1,74001130,70000102,1,0,2,-1,-,1
110154,,271,-1,-1,-1,70000102,-1,0,3,-1,-,1
110155,,272,-1,-1,74001140,70000127,4,0,3,-1,-,1
110156,,296,-1,-1,-1,70000102,-1,0,3,-1,-,1
110157,,304,-1,-1,-1,70000102,-1,0,3,-1,-,1
110200,,290,-1,-1,-1,70000103,-1,0,3,-1,-,1
110201,,335,-1,-1,-1,70000103,-1,0,3,-1,-,1
110202,,460,-1,-1,-1,70000103,-1,0,3,-1,-,1
110203,,500,-1,-1,74001150,70000103,3,0,3,-1,-,1.25
110204,,1000,-1,-1,-1,70000103,-1,0,3,-1,-,1
110250,,272,-1,-1,-1,70000104,-1,0,3,-1,-,1
110251,,293,-1,-1,-1,70000104,-1,0,3,-1,-,1
110252,,303,-1,-1,-1,70000104,-1,0,3,-1,-,1
110253,,458,-1,-1,-1,70000104,-1,0,3,-1,-,1
110300,,276,-1,-1,-1,70000105,-1,0,3,-1,-,1
110301,,336,-1,-1,-1,70000105,-1,0,3,-1,-,1
110302,,99000000,-1,-1,74001160,70000105,1,0,1,-1,-,1
110303,,99001000,-1,-1,74001170,70000105,1,0,1,-1,-,1
110304,,99002000,-1,-1,74001180,70000105,1,0,1,-1,-,1
110305,,99003000,-1,-1,74001190,70000105,1,0,1,-1,-,1
110350,,331,-1,-1,-1,70000106,-1,0,3,-1,-,1
110351,,341,-1,-1,-1,70000106,-1,0,3,-1,-,1
110352,,454,-1,-1,-1,70000106,-1,0,3,-1,-,1
110353,,23501000,-1,-1,74001230,70000106,1,0,1,-1,-,1
110354,,23502000,-1,-1,74001240,70000106,1,0,1,-1,-,1
110355,,23503000,-1,-1,74001250,70000106,1,0,1,-1,-,1
110400,,274,-1,-1,-1,70000107,-1,0,3,-1,-,1
110401,,311,-1,-1,-1,70000107,-1,0,3,-1,-,1
110402,,20210,-1,-1,73101070,70000107,3,0,2,-1,-,1
110450,,500,-1,-1,74001200,70000108,6,0,3,-1,-,1.25
110451,,1002,-1,-1,-1,70000108,-1,0,3,-1,-,1
110452,,1020,-1,-1,-1,70000108,-1,0,3,-1,-,1.25
110453,,1030,-1,-1,-1,70000108,-1,0,3,-1,-,1.25
110500,,5010000,-1,-1,74001210,70000109,1,0,0,-1,-,1
110502,,20240000,-1,-1,-1,70000109,-1,0,0,-1,-,1
110503,,20140,-1,-1,74001220,70000109,1,0,2,-1,-,1
110504,,82000000,-1,-1,74001260,70000109,1,0,1,-1,-,1
110505,,82001000,-1,-1,74001270,70000109,1,0,1,-1,-,1
110506,,82002000,-1,-1,74001280,70000109,1,0,1,-1,-,1
110507,,82003000,-1,-1,74001290,70000109,1,0,1,-1,-,1
110508,,400700,-1,-1,-1,70000109,-1,0,0,-1,-,1
110509,,402300,-1,-1,-1,70000109,-1,0,0,-1,-,1
110510,,1001,-1,-1,-1,70000109,-1,0,3,-1,-,1
110511,,452,-1,-1,-1,70000109,-1,0,3,-1,-,1
110550,,21000000,-1,-1,74001300,6321,1,0,1,-1,-,1
110551,,21001000,-1,-1,74001308,6321,1,0,1,-1,-,1
110552,,21002000,-1,-1,74001316,6321,1,0,1,-1,-,1
110553,,21003000,-1,-1,74001324,6321,1,0,1,-1,-,1
110600,,57000000,-1,-1,74001332,9304,1,0,1,-1,-,1
110601,,57001000,-1,-1,74001340,9304,1,0,1,-1,-,1
110602,,57002000,-1,-1,74001348,9304,1,0,1,-1,-,1
110603,,57003000,-1,-1,74001356,9304,1,0,1,-1,-,1
110650,,58000000,-1,-1,74001364,9307,1,0,1,-1,-,1
110651,,58001000,-1,-1,74001372,9307,1,0,1,-1,-,1
110652,,58002000,-1,-1,74001380,9307,1,0,1,-1,-,1
110653,,58003000,-1,-1,74001388,9307,1,0,1,-1,-,1
110700,,94000000,-1,-1,74001396,9314,1,0,1,-1,-,1
110701,,94001000,-1,-1,74001404,9314,1,0,1,-1,-,1
110702,,94002000,-1,-1,74001412,9314,1,0,1,-1,-,1
110703,,94003000,-1,-1,74001420,9314,1,0,1,-1,-,1
110750,,61000000,-1,-1,74001428,9309,1,0,1,-1,-,1
110751,,61001000,-1,-1,74001436,9309,1,0,1,-1,-,1
110752,,61002000,-1,-1,74001444,9309,1,0,1,-1,-,1
110753,,61003000,-1,-1,74001452,9309,1,0,1,-1,-,1
110800,,64000000,-1,-1,74001460,9320,1,0,1,-1,-,1
110801,,64001000,-1,-1,74001468,9320,1,0,1,-1,-,1
110802,,64002000,-1,-1,74001476,9320,1,0,1,-1,-,1
110803,,64003000,-1,-1,74001484,9320,1,0,1,-1,-,1
110850,,63000000,-1,-1,74001492,9300,1,0,1,-1,-,1
110851,,63001000,-1,-1,74001500,9300,1,0,1,-1,-,1
110852,,63002000,-1,-1,74001508,9300,1,0,1,-1,-,1
110853,,63003000,-1,-1,74001516,9300,1,0,1,-1,-,1
110900,,57500000,-1,-1,74001524,9315,1,0,1,-1,-,1
110950,,43000000,-1,-1,74001532,9306,1,0,1,-1,-,1
111000,,27500000,-1,-1,74001540,1058,1,0,1,-1,-,1
111001,,27501000,-1,-1,74001548,1058,1,0,1,-1,-,1
111002,,27502000,-1,-1,74001556,1058,1,0,1,-1,-,1
111003,,27503000,-1,-1,74001564,1058,1,0,1,-1,-,1
111050,,22500000,-1,-1,74001572,1138,1,0,1,-1,-,1
111051,,22501000,-1,-1,74001580,1138,1,0,1,-1,-,1
111052,,22502000,-1,-1,74001588,1138,1,0,1,-1,-,1
111053,,22503000,-1,-1,74001596,1138,1,0,1,-1,-,1
111100,,72000000,-1,-1,74001604,1358,1,0,1,-1,-,1
111101,,72001000,-1,-1,74001612,1358,1,0,1,-1,-,1
111102,,72002000,-1,-1,74001620,1358,1,0,1,-1,-,1
111103,,72003000,-1,-1,74001628,1358,1,0,1,-1,-,1
111150,,73000000,-1,-1,74001636,13410202,1,0,1,-1,-,1
111151,,73001000,-1,-1,74001644,13410202,1,0,1,-1,-,1
111152,,73002000,-1,-1,74001652,13410202,1,0,1,-1,-,1
111153,,73003000,-1,-1,74001660,13410202,1,0,1,-1,-,1
111200,,23000000,-1,-1,74001668,13410204,1,0,1,-1,-,1
111201,,23001000,-1,-1,74001676,13410204,1,0,1,-1,-,1
111250,,24500000,-1,-1,74001684,1318,1,0,1,-1,-,1
111251,,24501000,-1,-1,74001692,1318,1,0,1,-1,-,1
111252,,24502000,-1,-1,74001700,1318,1,0,1,-1,-,1
111253,,24503000,-1,-1,74001708,1318,1,0,1,-1,-,1
111301,,25001000,-1,-1,74001724,1158,1,0,1,-1,-,1
111302,,25002000,-1,-1,74001732,1158,1,0,1,-1,-,1
111303,,25003000,-1,-1,74001740,1158,1,0,1,-1,-,1
111350,,27000000,-1,-1,74001748,1498,1,0,1,-1,-,1
111351,,27001000,-1,-1,74001756,1498,1,0,1,-1,-,1
111352,,27002000,-1,-1,74001764,1498,1,0,1,-1,-,1
111353,,27003000,-1,-1,74001772,1498,1,0,1,-1,-,1
111400,,55000000,-1,-1,74001780,70000119,1,0,1,-1,-,1
111401,,55001000,-1,-1,74001788,70000119,1,0,1,-1,-,1
111402,,55002000,-1,-1,74001796,70000119,1,0,1,-1,-,1
111403,,55003000,-1,-1,74001804,70000119,1,0,1,-1,-,1
111450,,90000000,-1,-1,74001812,13800398,1,0,1,-1,-,1
111451,,90001000,-1,-1,74001820,13800398,1,0,1,-1,-,1
111452,,90002000,-1,-1,74001828,13800398,1,0,1,-1,-,1
111453,,90003000,-1,-1,74001836,13800398,1,0,1,-1,-,1
111500,,30101000,-1,-1,74001844,1238,1,0,1,-1,-,1
111550,,83000000,-1,-1,74001852,53700990,1,0,1,-1,-,1
111551,,83001000,-1,-1,74001860,53700990,1,0,1,-1,-,1
111552,,83002000,-1,-1,74001868,53700990,1,0,1,-1,-,1
111553,,83003000,-1,-1,74001876,53700990,1,0,1,-1,-,1
111560,,32000000,-1,-1,74501500,1818,1,0,1,-1,-,1
111561,,32001000,-1,-1,74501510,1818,1,0,1,-1,-,1
111562,,32002000,-1,-1,74501520,1818,1,0,1,-1,-,1
111563,,32003000,-1,-1,74501530,1818,1,0,1,-1,-,1
111600,,56500000,-1,-1,74501000,9322,1,0,1,-1,-,1
111601,,56501000,-1,-1,74501010,9322,1,0,1,-1,-,1
111602,,56503000,-1,-1,74501020,9322,1,0,1,-1,-,1
111650,,402400,-1,-1,-1,70000120,-1,0,0,-1,-,1
111651,,60500000,-1,-1,74501030,70000120,1,0,1,-1,-,1
111652,,60501000,-1,-1,74501040,70000120,1,0,1,-1,-,1
111653,,60502000,-1,-1,74501050,70000120,1,0,1,-1,-,1
111654,,60503000,-1,-1,74501060,70000120,1,0,1,-1,-,1
111655,,1120,-1,-1,74501070,70000120,3,0,3,-1,-,1
111656,,1020,-1,-1,74501080,70000132,1,0,3,-1,-,1.25
111950,,241,1000,-1,74001884,70000117,1,0,3,-1,-,1
111951,,262,-1,-1,74001892,70000118,1,0,3,-1,-,1
111952,,1003,-1,-1,74001900,9210,1,0,3,-1,-,1
112000,,11040000,-1,-1,73101050,70000116,1,0,0,-1,-,1
112001,,2145,-1,-1,73101060,70000116,1,0,3,-1,-,1
112002,,20210,-1,-1,73101070,70000116,3,0,2,-1,-,1
112003,,20440,-1,-1,73101080,70000116,1,0,2,-1,-,1
112004,,20560,-1,-1,73101090,70000116,1,0,2,-1,-,1
112005,,274,-1,-1,-1,70000116,-1,0,3,-1,-,1.5
112006,,311,100,-1,-1,70000116,-1,0,3,-1,-,1
112500,,1300000,-1,-1,73101000,70000116,1,0,3,-1,-,1
112501,,1302000,-1,-1,73101010,70000116,1,0,3,-1,-,1
112502,,1310000,-1,-1,73101020,70000116,1,0,3,-1,-,1.5
112503,,1330000,-1,-1,73101030,70000116,1,0,3,-1,-,1.5
112600,,1374000,-1,-1,73101040,70000475,1,0,3,-1,-,1
113000,,1010000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113001,,2010000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113002,,6000000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113003,,8010000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113004,,9000000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113005,,14040000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113006,,20000000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113007,,20030000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113008,,20120000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113009,,20170000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113010,,74500000,-1,-1,-1,70000110,-1,0,1,-1,-,1
113011,,74501000,-1,-1,-1,70000110,-1,0,1,-1,-,1
113012,,74502000,-1,-1,-1,70000110,-1,0,1,-1,-,1
113013,,74503000,-1,-1,-1,70000110,-1,0,1,-1,-,1
113014,,40200000,-1,-1,-1,70000110,-1,0,1,-1,-,1
113015,,270,-1,-1,-1,70000110,-1,0,3,-1,-,1
113016,,292,-1,-1,-1,70000110,-1,0,3,-1,-,1
113017,,299,-1,-1,-1,70000110,-1,0,3,-1,-,1
113018,,310,-1,-1,-1,70000110,-1,0,3,-1,-,1
113019,,500,-1,-1,73001000,70000110,3,0,3,-1,-,1
113020,,400000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113021,,400100,-1,-1,-1,70000110,-1,0,0,-1,-,1
113022,,404000,-1,-1,-1,70000110,-1,0,0,-1,-,1
113100,,3000000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113101,,6040000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113102,,8240000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113103,,10020000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113104,,13220000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113105,,14010000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113106,,20160000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113107,,21040000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113108,,19500000,-1,-1,-1,70000175,-1,0,1,-1,-,1
113109,,19501000,-1,-1,-1,70000175,-1,0,1,-1,-,1
113110,,19502000,-1,-1,-1,70000175,-1,0,1,-1,-,1
113111,,19503000,-1,-1,-1,70000175,-1,0,1,-1,-,1
113112,,23002000,-1,-1,-1,70000175,-1,0,1,-1,-,1
113113,,23003000,-1,-1,-1,70000175,-1,0,1,-1,-,1
113114,,23101000,-1,-1,-1,70000175,-1,0,1,-1,-,1
113115,,23100000,-1,-1,-1,70000175,-1,0,1,-1,-,1
113116,,280,-1,-1,-1,70000175,-1,0,3,-1,-,1
113117,,300,-1,-1,73001010,70000178,6,0,3,-1,-,1
113118,,500,-1,-1,73001020,70000175,4,0,3,-1,-,1
113119,,400300,-1,-1,-1,70000175,-1,0,0,-1,-,1
113120,,404100,-1,-1,-1,70000175,-1,0,0,-1,-,1
113121,,404200,-1,-1,-1,70000175,-1,0,0,-1,-,1
113122,,240,-1,-1,73001030,70000175,1,0,3,-1,-,1
113124,,4070000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113125,,21060000,-1,-1,-1,70000175,-1,0,0,-1,-,1
113200,,400500,-1,-1,-1,70000176,-1,0,0,-1,-,1
113201,,402000,-1,-1,-1,70000176,-1,0,0,-1,-,1
113202,,402200,-1,-1,-1,70000176,-1,0,0,-1,-,1
113203,,404400,-1,-1,-1,70000176,-1,0,0,-1,-,1
113204,,240,-1,-1,73001040,70000176,1,0,3,-1,-,1
113205,,241,-1,-1,73001050,70000176,1,0,3,-1,-,1
113206,,1020,-1,-1,73001060,70000176,3,0,3,-1,-,1
113207,,1030,-1,-1,73001070,70000176,3,0,3,-1,-,1
113208,,1070000,-1,-1,-1,70000176,-1,0,0,-1,-,1
113209,,2060000,-1,-1,-1,70000176,-1,0,0,-1,-,1
113210,,6100000,-1,-1,-1,70000176,-1,0,0,-1,-,1
113211,,9090000,-1,-1,-1,70000176,-1,0,0,-1,-,1
113212,,14100000,-1,-1,-1,70000176,-1,0,0,-1,-,1
113213,,21010000,-1,-1,-1,70000176,-1,0,0,-1,-,1
113214,,22010000,-1,-1,-1,70000176,-1,0,0,-1,-,1
113300,,300,-1,-1,-1,70000177,-1,0,3,-1,-,1
113301,,500,-1,-1,73001080,70000177,6,0,3,-1,-,1
113302,,404500,-1,-1,-1,70000177,-1,0,0,-1,-,1
113303,,404600,-1,-1,-1,70000177,-1,0,0,-1,-,1
114100,,1200000,-1,-1,73301100,70000111,1,0,3,-1,-,1
114101,,1300000,-1,-1,73301110,70000111,1,0,3,-1,-,1
114102,,1301000,-1,-1,73301120,70000111,1,0,3,-1,-,1
114103,,1302000,-1,-1,73301130,70000111,1,0,3,-1,-,1
114104,,1303000,-1,-1,73301180,70000111,1,0,3,-1,-,1
114105,,1310000,-1,-1,73301190,70000111,1,0,3,-1,-,1
114106,,1330000,-1,-1,73301200,70000111,1,0,3,-1,-,1
114107,,1374000,-1,-1,73301210,70000111,1,0,3,-1,-,1
114108,,1375000,-1,-1,73301140,70000111,1,0,3,-1,-,1
114109,,1354000,-1,-1,73301150,70000111,1,0,3,-1,-,1
114110,,1356000,-1,-1,73301160,70000111,1,0,3,-1,-,1
114200,,1740000,-1,-1,73301170,70000225,1,0,3,-1,-,1
114300,,1210000,-1,-1,73301220,70000226,1,0,3,-1,-,1
114301,,1350000,-1,-1,73301230,70000226,1,0,3,-1,-,1
114302,,1372000,-1,-1,73301240,70000226,1,0,3,-1,-,1
114303,,1651000,-1,-1,73301250,70000226,1,0,3,-1,-,1
114400,,1304000,-1,-1,73301260,70000227,1,0,3,-1,-,1
114401,,1306000,-1,-1,73301270,70000227,1,0,3,-1,-,1
114500,,1305000,-1,-1,73301280,70000228,1,0,3,-1,-,1
114501,,1307000,-1,-1,73301290,70000228,1,0,3,-1,-,1
114502,,1312000,-1,-1,73301300,70000228,1,0,3,-1,-,1
114600,,1340000,-1,-1,73301310,70000229,1,0,3,-1,-,1
114601,,1341000,-1,-1,73301320,70000229,1,0,3,-1,-,1
114602,,1353000,-1,-1,73301330,70000229,1,0,3,-1,-,1
115000,,28000000,-1,-1,-1,70000112,-1,0,1,-1,-,1
115001,,28001000,-1,-1,-1,70000112,-1,0,1,-1,-,1
115002,,28002000,-1,-1,-1,70000112,-1,0,1,-1,-,1
115003,,28003000,-1,-1,-1,70000112,-1,0,1,-1,-,1
115100,,2400000,-1,-1,73101200,70000112,1,0,3,-1,-,1
115101,,2405000,-1,-1,73101210,70000112,1,0,3,-1,-,1
115102,,2411000,-1,-1,73101220,70000112,1,0,3,-1,-,1
115103,,2431000,-1,-1,73101230,70000112,1,0,3,-1,-,1
115104,,2420000,-1,-1,73101240,70000112,1,0,3,-1,-,1
115200,,2402000,-1,-1,73101250,70000275,1,0,3,-1,-,1
115201,,2562000,-1,-1,73101260,70000275,1,0,3,-1,-,1
115202,,2620000,-1,-1,73101270,70000275,1,0,3,-1,-,1
115300,,2422000,-1,-1,73101280,70000276,1,0,3,-1,-,1
115301,,2435000,-1,-1,73101290,70000276,1,0,3,-1,-,1
115302,,2650000,-1,-1,73101300,70000276,1,0,3,-1,-,1
115400,,2450000,-1,-1,73101310,70000277,1,0,3,-1,-,1
115401,,2451000,-1,-1,73101320,70000277,1,0,3,-1,-,1
116100,,1603000,-1,-1,73901120,70000113,1,0,3,-1,-,1
116101,,1613000,-1,-1,73901130,70000113,1,0,3,-1,-,1
116200,,2452000,-1,-1,73901140,70000325,1,0,3,-1,-,1
116201,,2403000,-1,-1,73901150,70000325,1,0,3,-1,-,1
116202,,2436000,-1,-1,73901160,70000325,1,0,3,-1,-,1
116300,,2453000,-1,-1,73901170,70000326,1,0,3,-1,-,1
116301,,2610000,-1,-1,73901180,70000326,1,0,3,-1,-,1
116400,,3770000,-1,-1,73901190,70000327,1,0,3,-1,-,1
116401,,3554000,-1,-1,73901200,70000327,1,0,3,-1,-,1
116500,,3581000,-1,-1,73901210,70000328,1,0,3,-1,-,1
116501,,3640000,-1,-1,73901220,70000328,1,0,3,-1,-,1
116502,,3700000,-1,-1,73901230,70000328,1,0,3,-1,-,1
117000,,20310,-1,-1,73101600,70000114,1,0,2,-1,-,1
117100,,3500000,-1,-1,73101610,70000114,1,0,3,-1,-,1
117101,,3504000,-1,-1,73101620,70000114,1,0,3,-1,-,1
117102,,3508000,-1,-1,73101630,70000114,1,0,3,-1,-,1
117103,,3521000,-1,-1,73101640,70000114,1,0,3,-1,-,1
117200,,3501000,-1,-1,73101650,70000375,1,0,3,-1,-,1
117201,,3520000,-1,-1,73101660,70000375,1,0,3,-1,-,1
117202,,3530000,-1,-1,73101670,70000375,1,0,3,-1,-,1
117300,,3507000,-1,-1,73101680,70000376,1,0,3,-1,-,1
117301,,3560000,-1,-1,73101690,70000376,1,0,3,-1,-,1
117302,,3760000,-1,-1,73101700,70000376,1,0,3,-1,-,1
117400,,3770000,-1,-1,73101710,70000377,1,0,3,-1,-,1
117401,,3554000,-1,-1,73101720,70000377,1,0,3,-1,-,1
117500,,3581000,-1,-1,73101730,70000378,1,0,3,-1,-,1
117501,,3640000,-1,-1,73101740,70000378,1,0,3,-1,-,1
117502,,3700000,-1,-1,73101750,70000378,1,0,3,-1,-,1
118000,,1020000,-1,-1,-1,70000115,-1,0,0,-1,-,1
118001,,4010000,-1,-1,73501000,70000115,2,0,0,-1,-,1
118002,,9010000,-1,-1,-1,70000115,-1,0,0,-1,-,1
118003,,78001000,-1,-1,-1,70000115,-1,0,1,-1,-,1
118004,,78002000,-1,-1,-1,70000115,-1,0,1,-1,-,1
118005,,78003000,-1,-1,-1,70000115,-1,0,1,-1,-,1
