#CharaInitParam=CHARACTER_INIT_PARAM
ID,Name,BaseRec_mp,BaseRec_sp,red_Falldam,soul,equip_Wep_Right,equip_Subwep_Right,equip_Wep_Left,equip_Subwep_Left,equip_Helm,equip_Armor,equip_Gaunt,equip_Leg,equip_Arrow,equip_Bolt,equip_SubArrow,equip_SubBolt,equip_Accessory1,equip_Accessory2,equip_Accessory3,equip_Accessory4,equip_Accessory5,Equip_Skill_01,Equip_Skill_02,Equip_Skill_03,equip_Spell_01,equip_Spell_02,equip_Spell_03,equip_Spell_04,equip_Spell_05,equip_Spell_06,equip_Spell_07,Item_01,Item_02,Item_03,Item_04,Item_05,Item_06,Item_07,Item_08,Item_09,Item_10,npcPlayerFaceGenId,npcPlayerThinkId,baseHp,baseMp,baseSp,arrowNum,boltNum,subArrowNum,subBoltNum,QWC_sb,QWC_mw,QWC_cd,soulLvl,baseVit,baseWil,baseEnd,baseStr,baseDex,baseMag,baseFai,baseLuc,baseHeroPoint,baseDurability,itemNum_01,itemNum_02,itemNum_03,itemNum_04,itemNum_05,itemNum_06,itemNum_07,itemNum_08,itemNum_09,itemNum_10,bodyScaleHead,bodyScaleBreast,BodyScaleAbdomen,BodyScaleArm,BodyScaleLeg,gestureid0,gestureid1,gestureid2,gestureid3,gestureid4,gestureid5,gestureid6,npcPlayerType,npcPlayerDrawType,NpcPlayerSex,vowType,VoiceType,pad1,equip_Wep_Right_GenId,equip_Subwep_Right_GenId,equip_Wep_Left_GenId,equip_Subwep_Left_GenId,equip_Helm_GenId,equip_Armor_GenId,equip_Gaunt_GenId,equip_Leg_GenId,equip_Wep_Body_GenId,SecondaryItem_01,SecondaryItem_02,SecondaryItem_03,SecondaryItem_04,SecondaryItem_05,SecondaryItem_06,SecondaryItem_07,SecondaryItem_08,secondaryItemNum_01,secondaryItemNum_02,secondaryItemNum_03,secondaryItemNum_04,secondaryItemNum_05,secondaryItemNum_06,secondaryItemNum_07,secondaryItemNum_08,pad2
13,13: TGS C (Witch) -- 13：TGS C　（魔法使い）,0,0,0,0,909000,-1,2187000,1300000,830000,831000,832000,833000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,3000,3800,3740,3800,-1,-1,-1,773,791,-1,-1,-1,-1,-1,-1,-1,-1,22,0,0,0,0,30,0,0,0,0,0,0,8,10,16,10,9,12,16,6,10,0,9,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,6,7,-
14,14: TGS A (Wandering Knight) (full gear) -- 14：TGS A　（放浪の騎士）（フル装備）,0,0,0,0,291000,690000,2189000,2188000,810000,811000,812000,813000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,771,781,240,292,341,310,330,330,500,-1,20,0,0,0,0,30,0,0,0,0,0,0,8,12,9,11,16,10,10,11,7,0,12,10,3,99,99,99,99,99,99,99,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,10,3,-
15,15: TGS B (North Warrior) (full gear) -- 15：TGS B　（北の戦士）（フル装備）,0,0,0,0,701000,690000,2191000,2192000,820000,821000,822000,823000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,771,781,240,292,341,310,330,330,500,-1,21,0,0,0,0,30,0,0,0,0,0,0,8,13,9,11,17,8,7,10,11,0,12,10,3,99,99,99,99,99,99,99,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,10,3,-
16,16: TGS D (Temple Knight) (fully equipped) -- 16：TGS D　（神殿騎士）（フル装備）,0,0,0,0,801000,690000,2193000,1334000,840000,841000,842000,843000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,5000,5630,5500,-1,-1,-1,-1,773,791,240,292,341,310,330,330,500,-1,23,0,0,0,0,30,0,0,0,0,0,0,8,11,14,12,16,9,5,14,7,0,10,6,7,99,99,99,99,99,99,99,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,6,7,-
17,17: TGS C (witch) (full gear) -- 17：TGS C　（魔法使い）（フル装備）,0,0,0,0,909000,690000,2187000,1300000,830000,831000,832000,833000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,3000,3800,3740,3800,-1,-1,-1,773,791,240,292,341,310,330,330,500,-1,22,0,0,0,0,30,0,0,0,0,0,0,8,10,16,10,9,12,16,6,10,0,9,6,7,99,99,99,99,99,99,99,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,6,7,-
20,20: NT version A (Wandering Knight) -- 20：NT版 A　（放浪の騎士）,0,0,0,0,291000,-1,2189000,2188000,810000,811000,812000,813000,400000,-1,400200,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,771,781,500,-1,-1,-1,-1,-1,-1,-1,20,0,0,0,0,30,0,30,0,0,0,0,8,12,9,11,16,10,10,11,7,0,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,100,102,103,385,-1,-1,1,1,1,1,0,0,10,3,-
21,21: NT version B (North Warrior) -- 21：NT版 B　（北の戦士）,0,0,0,0,701000,-1,2191000,2192000,820000,821000,822000,823000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,771,781,500,-1,-1,-1,-1,-1,-1,-1,21,0,0,0,0,30,0,0,0,0,0,0,8,13,9,11,17,8,7,10,11,0,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,100,102,103,385,-1,-1,1,1,1,1,0,0,10,3,-
22,22: NT version D (Temple Knight) -- 22：NT版 D　（神殿騎士）,0,0,0,0,801000,-1,2193000,1334000,840000,841000,842000,843000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,5000,5630,5500,-1,-1,-1,-1,773,791,500,-1,-1,-1,-1,-1,-1,-1,23,0,0,0,0,30,0,0,0,0,0,0,8,11,14,12,16,9,5,14,7,0,10,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,100,102,103,385,-1,-1,1,1,1,1,0,0,6,7,-
23,23: NT version C (Wizard) -- 23：NT版 C　（魔法使い）,0,0,0,0,909000,-1,2187000,1300000,830000,831000,832000,833000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,3000,3800,3740,3800,-1,-1,-1,773,791,500,-1,-1,-1,-1,-1,-1,-1,22,0,0,0,0,30,0,0,0,0,0,0,8,10,16,10,9,12,16,6,10,0,9,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000000,-1,100,102,103,385,-1,-1,1,1,1,1,0,0,6,7,-
24,24: NT version A (Wandering Knight) (full gear) -- 24：NT版 A　（放浪の騎士）（フル装備）,0,0,0,0,291000,690000,2189000,2188000,810000,811000,812000,813000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,771,781,240,292,341,310,330,330,500,-1,20,0,0,0,0,30,0,0,0,0,0,0,8,12,9,11,16,10,10,11,7,0,12,10,3,99,99,99,99,99,99,99,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,100,102,103,385,-1,-1,1,1,1,1,0,0,10,3,-
25,25: NT version B (North Warrior) (full gear) -- 25：NT版 B　（北の戦士）（フル装備）,0,0,0,0,701000,690000,2191000,2192000,820000,821000,822000,823000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,771,781,240,292,341,310,330,330,500,-1,21,0,0,0,0,30,0,0,0,0,0,0,8,13,9,11,17,8,7,10,11,0,12,10,3,99,99,99,99,99,99,99,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,100,102,103,385,-1,-1,1,1,1,1,0,0,10,3,-
26,26: NT version D (Temple Knight) (full gear) -- 26：NT版 D　（神殿騎士）（フル装備）,0,0,0,0,801000,690000,2193000,1334000,840000,841000,842000,843000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,5000,5630,5500,-1,-1,-1,-1,773,791,240,292,341,310,330,330,500,-1,23,0,0,0,0,30,0,0,0,0,0,0,8,11,14,12,16,9,5,14,7,0,10,6,7,99,99,99,99,99,99,99,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,100,102,103,385,-1,-1,1,1,1,1,0,0,6,7,-
27,27: NT version C (witch) (full gear) -- 27：NT版 C　（魔法使い）（フル装備）,0,0,0,0,909000,690000,2187000,1300000,830000,831000,832000,833000,400000,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,3800,3000,3740,-1,-1,-1,-1,773,791,240,292,341,310,330,330,500,-1,22,0,0,0,0,30,0,0,0,0,0,0,8,10,16,10,9,12,16,6,10,0,9,6,7,99,99,99,99,99,99,99,0,0,0,0,0,0,14,9,13,4,5,7,8,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,1500000,230000000,-1,100,102,103,385,-1,-1,1,1,1,1,0,0,6,7,-
2400,2400: 【 Gift 】 Flame vase (tentative) -- 2400：【贈り物】火炎壺（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2401,2401: [Gift] Black flame jar (tentative) -- 2401：【贈り物】黒火炎壷（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2402,2402: [Gift] Human nature (Wang Hua items of firewood) (tentative) -- 2402：【贈り物】人間性（薪の王化アイテム）（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2403,2403: [Gift] Tongen (tentative) -- 2403：【贈り物】遠眼鏡（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,241,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2404,2404: 【 gift 】 Throwing knife (tentative) -- 2404：【贈り物】投げナイフ（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,297,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2405,2405: [Gift] dung dumpling (tentative) -- 2405：【贈り物】糞団子（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1150,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2406,The gift: The blessing of the Goddess (tentative) -- 2406：【贈り物】女神の祝福（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,405,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2407,2407: [Gift] stamina grass (tentative) -- 2407：【贈り物】スタミナ草（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,457,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2408,Matatabi: [Gift] (tentative) -- 2408：【贈り物】またたび（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
2409,2409: [Gift] Unnecessary (tentative) -- 2409：【贈り物】不要（仮）,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,463,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
3000,3000: [Character make-up for selection × Current provisional setting] Warrior -- 3000：【キャラメイク素性選択用×現在仮設定】戦士,0,0,0,0,2010000,-1,21040000,-1,19500000,19501000,19502000,19503000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9,12,10,11,13,12,9,9,7,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,10,15,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,117,103,119,-1,-1,-1,1,1,1,0,0,0,3,1,-
3001,3001: [Character make-up for selection × Current provisional setting] Knight -- 3001：【キャラメイク素性選択用×現在仮設定】騎士,0,0,0,0,16000000,-1,20110000,-1,21500000,21501000,21502000,21503000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,8,11,12,11,10,16,10,8,9,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,10,15,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,117,103,119,-1,-1,-1,1,1,1,0,0,0,3,1,-
3002,I: [Chara make-up] for the selection of the current temporary setting -- 3002：【キャラメイク素性選択用×現在仮設定】放浪者,0,0,0,0,7010000,-1,20030000,-1,24000000,24001000,24002000,24003000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,7,14,6,12,16,9,8,9,11,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,10,15,0,0,1,0,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,117,103,119,-1,-1,-1,1,1,1,0,0,0,3,1,-
