#DecalParam=DECAL_PARAM_ST
ID,Name,TextureId0,dmyPolyID,pitchAngle,yawAngle,nearDistance,farDistance,nearSize,farSize,maskSpEffectID,randomVariationNum0,randomVariationNum1,randomVariationNum2,randomVariationNum3,replaceTextureId_byMaterial,dmypolyCategory0,dmypolyCategory1,decalShapeType0,decalShapeType1,decalShapeType2,decalShapeType3,useDeferredDecal,usePaintDecal,targetAttackChr,targetDamageChr,targetOtherChr,targetMapObj,usePom,0x26,0x26,0x26,0x26,0x26,0x26,0x27,0x27,0x27,0x27,0x27,0x27,0x27,0x27,randomSizeMin,randomSizeMax,randomRollMin,randomRollMax,randomPitchMin,randomPitchMax,randomYawMin,randomYawMax,pomHeightScale,pomSampleMin,pomSampleMax,Contrast1,TextureLengthType[0-3],TextureWidthX,TextureWidthZ,TextureLifeTime,0x58,0x5C,0x60,0x64,0x68,0x6C,TextureId1,TextureId2,TextureId3,Brightness,TextureId4,TextureId5,TextureId6,R(Diffuse),G(Diffuse),B(Diffuse),UnkNaM,R(Specular),G(Specular),B(Specular),DelayedSpawnState [ON_OFF],Contrast2,0x98,0x9C,0xA0,0xA1,0xA2,0xA3,minVal,maxVal,0xAC,0xAD,DecalSpawnDelay[sec],0xB0,0xB0,0xB0,0xB0,0xB0,IsContactPlayer,IsFormCube,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,0xB0,TextureSpawnDelay[sec],pad1
40510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
40511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
50510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
50511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
60510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
60511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
80510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
80511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
110510,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,1,8,64,2,0,0,0,0,1,1,-1,-1,-1,0,5200000,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
110511,,100000,-1,0,0,-0.5,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,200,45,45,0,0,0,0,1,8,64,2,0,0,0,0,0,5,-1,-1,-1,0,100001,100000,9900000,1,100000,-1,-1,6,2,2,0,150,100,100,1,0.75,300,10,0,0,1,0,1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-
1090000,[Attack] Blood (dead) front (for character) -- 【攻撃】血(亡者)中　正面（キャラ用）,100000,-1,-30,180,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090001,[Attack] Blood (dead) Nakagami (for character) -- 【攻撃】血(亡者)中　上（キャラ用）,100000,-1,-80,0,-0.5,5,0.3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090002,[Attack] Blood (dead) Nakashita (for character) -- 【攻撃】血(亡者)中　下（キャラ用）,100000,-1,40,0,-0.5,5,0.3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090003,[Attack] Blood (dead) left (for character) -- 【攻撃】血(亡者)中　左（キャラ用）,100300,-1,-30,-120,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100300,100000,100000,1,100000,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090004,[Attack] Blood (dead) reeling (for character) -- 【攻撃】血(亡者)中　右（キャラ用）,100400,-1,-30,120,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100400,100000,100000,1,100000,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090100,[Attack] Blood (dead) front (for map) -- 【攻撃】血(亡者)中　正面（マップ用）,100010,-1,-30,180,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100010,100000,100000,1,100000,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090101,[Attack] Blood (dead) Nakagami (for map) -- 【攻撃】血(亡者)中　上（マップ用）,100010,-1,-80,0,-0.5,5,0.3,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100010,100000,100000,1,100000,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090102,[Attack] Blood (dead) Nakashita (for map) -- 【攻撃】血(亡者)中　下（マップ用）,100010,-1,40,0,-0.5,5,0.3,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100010,100000,100000,1,100000,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090103,[Attack] Blood (dead) left (for map) -- 【攻撃】血(亡者)中　左（マップ用）,100310,-1,-30,-120,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100310,100000,100000,1,100000,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1090104,[Attack] Blood (dead) reeling (for map) -- 【攻撃】血(亡者)中　右（マップ用）,100410,-1,-30,120,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100410,100000,100000,1,100000,-1,-1,13,1,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091000,[Attack] Blood (dead) frontal (for character) blood mild -- 【攻撃】血(亡者)中　正面（キャラ用）血MILD,100000,-1,-30,180,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091001,[Attack] Blood (dead) Nakagami (for character) blood mild -- 【攻撃】血(亡者)中　上（キャラ用）血MILD,100000,-1,-80,0,-0.5,5,0.3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091002,[Attack] Blood (dead) Nakashita (for character) blood mild -- 【攻撃】血(亡者)中　下（キャラ用）血MILD,100000,-1,40,0,-0.5,5,0.3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091003,[Attack] Blood (dead) left (for Chara) blood mild -- 【攻撃】血(亡者)中　左（キャラ用）血MILD,100300,-1,-30,-120,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100300,100000,100000,1,100000,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091004,[Attack] Blood (dead) reeling (for character) blood mild -- 【攻撃】血(亡者)中　右（キャラ用）血MILD,100400,-1,-30,120,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100400,100000,100000,1,100000,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091100,[Attack] Blood (dead) in front (map) Blood mild -- 【攻撃】血(亡者)中　正面（マップ用）血MILD,100010,-1,-30,180,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100010,100000,100000,1,100000,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091101,【 attack 】 Blood (dead) Nakagami (for map) blood mild -- 【攻撃】血(亡者)中　上（マップ用）血MILD,100010,-1,-80,0,-0.5,5,0.3,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100010,100000,100000,1,100000,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091102,【 attack 】 Blood (dead) Nakashita (for map) blood mild -- 【攻撃】血(亡者)中　下（マップ用）血MILD,100010,-1,40,0,-0.5,5,0.3,3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100010,100000,100000,1,100000,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091103,[Attack] Blood (dead) left (for map) blood mild -- 【攻撃】血(亡者)中　左（マップ用）血MILD,100310,-1,-30,-120,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100310,100000,100000,1,100000,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1091104,【 attack 】 Blood (dead) reeling (for map) blood mild -- 【攻撃】血(亡者)中　右（マップ用）血MILD,100410,-1,-30,120,-0.5,5,0.3,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,-20,40,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,100410,100000,100000,1,100000,-1,-1,3,7,2,0,255,255,255,0,1,60,10,0,0,1,0,1,10,2,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1410000,Attack: Front of caries -- 【攻撃】蝕中　正面,100000,-1,50,50,0,15,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,80,100,-20,20,-10,10,-10,10,1,8,64,1,2,40,0,15,1,0.05,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,10,9,9,0,128,128,128,0,1,0,0,0,0,1,0,1,10,2,5,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-
