#EquipParamGoods=EQUIP_PARAM_GOODS_ST
ID,Name,refId1,sfxVariationId,weight,fragmentNum,sellValue,replaceItemId,behaviorId,sortId,qwcId,yesNoDialogMessageId,magicId,iconId,modelId,shopLv,compTrophySedId,trophySeqId,maxNum,consumeHeroPoint,overDexterity,goodsType,refCategory,spEffectCategory,goodsCategory,goodsUseAnim,opmeMenuType,useLimitCategory,replaceCategory,vowType0,vowType1,vowType2,vowType3,vowType4,vowType5,vowType6,vowType7,vowType8,vowType9,vowType10,vowType11,vowType12,vowType13,vowType14,vowType15,enable_live,enable_gray,enable_white,enable_black,enable_multi,disable_offline,isEquip,isConsume,isAutoEquip,isEstablishment,isOnlyOne,isDrop,isDeposit,isDisableHand,isTravelItem,isSuppleItem,isFullSuppleItem,isEnhance,isFixItem,disableMutliDropShare,disableUseAtColiseum,disableUseAtOutofColiseum,useBulletMaxNum,useHpCureMaxNum,isAutoReplenish,canMultiUse,isGuestDrop,isEnchantLeftHand,isApplySpecialEffect,Unk1,Unk2,Unk3,refId2,reinforceParamWeapon,VagrantItemLotId,VagrantBonusEneDropItemLotId,vagrantItemeneDropItemLotId,refVirtualWepId,replaceItemId_BySpEffect,replaceTriggerSpEffectId,isLoadOfCinder,isPlayRegion1,isLadder,isMultiPlay,useSelected,Unk4,isPlayRegion2,isNetPenalized,SuppleItemType,menuAdhocType,drop [ON_OFF],maxRepNum,invadeType,pad1,shopId,fpConsume,useLimitCategory2,pad2
94,Dummy for PC animation reproduction when blood character is created -- 血文字作成時のPCアニメ再生用ダミー,-1,84,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,1,0,50,0,0,0,0,8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7,-,-1,0,0,-
100,White Sign Soapstone,4,80,0,0,-1,0,-1,15010,-1,0,0,1,0,-1,-1,-1,1,0,50,0,2,0,0,8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,1,7,-,500,0,0,-
101,Red Sign Soapstone,10,81,0,0,-1,0,-1,15020,-1,0,0,2,0,-1,-1,-1,1,0,50,0,2,0,0,8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,1,7,-,-1,0,224,-
102,Red Eye Orb,11,82,0,0,-1,0,-1,15060,-1,0,0,3,0,-1,-1,-1,1,0,50,0,2,0,0,6,10,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,305010,305011,305012,1,0,0,0,0,0,1,0,0,0,0,1,7,-,-1,0,224,-
103,Black Separation Crystal,7,83,0,0,-1,0,-1,15030,-1,2670000,0,4,0,-1,-1,-1,1,0,50,0,2,0,0,6,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,305002,1,0,0,1,0,0,1,0,0,0,0,1,7,-,-1,0,0,-
108,Roster of Knights,-1,-1,0,0,-1,0,-1,15110,-1,0,0,133,0,-1,-1,-1,1,0,50,0,0,0,0,8,7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,7,-,-1,0,0,-
111,Cracked Red Eye Orb,11,82,0,0,10,0,-1,15050,-1,0,0,185,0,-1,-1,-1,99,0,50,0,2,0,0,6,10,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,305010,305011,305012,1,0,0,0,0,0,1,0,0,1,1,600,7,-,-1,0,224,-
115,Black Eye Orb,15,86,0,0,-1,0,-1,15070,-1,10012032,0,187,0,-1,-1,-1,1,0,50,0,2,0,0,6,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,305010,305011,305012,1,0,0,0,0,0,1,0,0,0,0,1,7,-,-1,0,0,-
117,Darksign,3226,33,0,0,-1,0,-1,11010,-1,10011954,0,5,0,-1,-1,-1,1,0,50,0,2,0,0,6,12,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,302061,302060,1,0,0,0,0,0,1,0,0,0,0,1,7,-,-1,0,0,-
119,Way of White Circlet,3730,33,0,0,-1,0,-1,15100,-1,0,0,105,0,-1,-1,-1,99,0,50,0,2,0,0,6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,305040,1,0,0,0,0,0,1,1,0,0,0,600,7,-,-1,0,0,-
150,Estus Flask,-1,1,0,0,-1,0,151,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
151,Estus Flask,2000,1,0,0,-1,0,150,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
152,Estus Flask+1,-1,1,0,0,-1,0,153,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
153,Estus Flask+1,2001,1,0,0,-1,0,152,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
154,Estus Flask+2,-1,1,0,0,-1,0,155,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
155,Estus Flask+2,2002,1,0,0,-1,0,154,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
156,Estus Flask+3,-1,1,0,0,-1,0,157,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
157,Estus Flask+3,2003,1,0,0,-1,0,156,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
158,Estus Flask+4,-1,1,0,0,-1,0,159,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
159,Estus Flask+4,2004,1,0,0,-1,0,158,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
160,Estus Flask+5,-1,1,0,0,-1,0,161,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
161,Estus Flask+5,2005,1,0,0,-1,0,160,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
162,Estus Flask+6,-1,1,0,0,-1,0,163,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
163,Estus Flask+6,2006,1,0,0,-1,0,162,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
164,Estus Flask+7,-1,1,0,0,-1,0,165,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
165,Estus Flask+7,2007,1,0,0,-1,0,164,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
166,Estus Flask+8,-1,1,0,0,-1,0,167,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
167,Estus Flask+8,2008,1,0,0,-1,0,166,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
168,Estus Flask+9,-1,1,0,0,-1,0,169,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
169,Estus Flask+9,2009,1,0,0,-1,0,168,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
170,Estus Flask+10,-1,1,0,0,-1,0,171,2010,-1,0,0,6,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,1,0,0,1,1,-,-1,0,222,-
171,Estus Flask+10,2010,1,0,0,-1,0,170,2010,-1,0,0,7,0,-1,-1,-1,20,0,50,0,2,0,0,10,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,1,1,0,0,0,0,1,0,0,20,1,-,-1,0,222,-
190,Ashen Estus Flask,-1,1,0,0,-1,0,191,2020,-1,0,0,10,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301051,-1,-1,1,0,1,1,0,0,0,0,2,0,0,1,0,-,-1,0,0,-
191,Ashen Estus Flask,2020,1,0,0,-1,0,190,2020,-1,0,0,11,0,-1,-1,-1,20,0,50,0,2,0,0,19,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,301050,-1,301052,1,0,1,1,0,0,0,0,2,0,0,20,0,-,-1,0,0,-
192,Ashen Estus Flask+1,-1,1,0,0,-1,0,193,2020,-1,0,0,10,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301051,-1,-1,1,0,1,1,0,0,0,0,2,0,0,1,0,-,-1,0,0,-
193,Ashen Estus Flask+1,2021,1,0,0,-1,0,192,2020,-1,0,0,11,0,-1,-1,-1,20,0,50,0,2,0,0,19,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,301050,-1,301052,1,0,1,1,0,0,0,0,2,0,0,20,0,-,-1,0,0,-
194,Ashen Estus Flask+2,-1,1,0,0,-1,0,195,2020,-1,0,0,10,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301051,-1,-1,1,0,1,1,0,0,0,0,2,0,0,1,0,-,-1,0,0,-
195,Ashen Estus Flask+2,2022,1,0,0,-1,0,194,2020,-1,0,0,11,0,-1,-1,-1,20,0,50,0,2,0,0,19,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,301050,-1,301052,1,0,1,1,0,0,0,0,2,0,0,20,0,-,-1,0,0,-
196,Ashen Estus Flask+3,-1,1,0,0,-1,0,197,2020,-1,0,0,10,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301051,-1,-1,1,0,1,1,0,0,0,0,2,0,0,1,0,-,-1,0,0,-
197,Ashen Estus Flask+3,2023,1,0,0,-1,0,196,2020,-1,0,0,11,0,-1,-1,-1,20,0,50,0,2,0,0,19,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,301050,-1,301052,1,0,1,1,0,0,0,0,2,0,0,20,0,-,-1,0,0,-
198,Ashen Estus Flask+4,-1,1,0,0,-1,0,199,2020,-1,0,0,10,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301051,-1,-1,1,0,1,1,0,0,0,0,2,0,0,1,0,-,-1,0,0,-
199,Ashen Estus Flask+4,2024,1,0,0,-1,0,198,2020,-1,0,0,11,0,-1,-1,-1,20,0,50,0,2,0,0,19,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,301050,-1,301052,1,0,1,1,0,0,0,0,2,0,0,20,0,-,-1,0,0,-
200,Ashen Estus Flask+5,-1,1,0,0,-1,0,201,2020,-1,0,0,10,0,-1,-1,-1,1,0,50,0,0,0,0,-2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,301051,-1,-1,1,0,1,1,0,0,0,0,2,0,0,1,0,-,-1,0,0,-
