#MoveParam=MOVE_PARAM_ST
ID,Name,stayId,walkF,walkB,walkL,walkR,dashF,dashB,dashL,dashR,superDash,escapeF,escapeB,escapeL,escapeR,turnL,turnR,largeTurnL,largeTurnR,stepMove,flyStay,flyWalkF,flyWalkFL,flyWalkFR,flyWalkFL2,flyWalkFR2,flyDashF,flyDashFL,flyDashFR,flyDashFL2,flyDashFR2,dashEscapeF,dashEscapeB,dashEscapeL,dashEscapeR,analogMoveParamId,turnNoAnimAngle,turn45Angle,turn90Angle,turnWaitNoAnimAngle
66,【 SP 】 Guard Vigilance _ Medium Amount + -- 【SP】ガード警戒_中量＋,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
70,【 SP 】 Guard Vigilance _ Weight -- 【SP】ガード警戒_重量,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
75,[SP] Guard vigilance _ over weight -- 【SP】ガード警戒_重量オーバー,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
76,[SP] Guard Vigilance _ ultra-light -- 【SP】ガード警戒_超軽量,0,310,311,312,313,-1,-1,-1,-1,-1,730,731,732,733,602,603,604,605,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
100,Enemy Base Combat -- 敵基本　戦闘時,0,200,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
101,Bird Standard -- 鳥標準,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,602,603,604,605,-1,0,200,202,203,202,203,500,502,503,502,503,-1,-1,-1,-1,-1,0,0,0,0
102,Guard -- ガード,9900,9100,9101,9102,9103,9200,9201,9202,9203,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
103,Dog -- 犬,0,200,200,200,200,500,500,500,500,-1,-1,-1,-1,-1,602,603,604,605,-1,0,200,200,200,200,200,500,500,500,500,500,-1,-1,-1,-1,-1,0,0,0,0
104,Dragon Demon -- ドラゴンデーモン,990021,990021,990021,990021,990021,990021,990021,990021,990021,990021,-1,-1,-1,-1,990021,990021,990021,990021,-1,990021,990021,990021,990021,990021,990021,990021,990021,990021,990021,990021,-1,-1,-1,-1,-1,0,0,0,0
105,Enemy base non-combat time -- 敵基本　非戦闘時,10,210,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
106,Scale miners during combat -- ウロコ鉱夫　戦闘時,0,200,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
107,Scales Miners Non-combat (bag) -- ウロコ鉱夫　非戦闘時（袋）,7002,210,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
108,Scales Miners Non-combat (pick) -- ウロコ鉱夫　非戦闘時（ピックル）,7001,210,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
109,Big Spider Peeping -- 大蜘蛛　のぞき込み,9000,210,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
110,Gargoyletest -- ガーゴイルテスト,9000,9100,9101,9102,9103,9200,9201,9202,9203,-1,-1,-1,-1,-1,9300,9301,9300,9301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
111,Dragon Demon (mine) -- ドラゴンデーモン（坑道）,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,-1,20,20,20,20,20,20,20,20,20,20,20,-1,-1,-1,-1,-1,0,0,0,0
112,For the beast of the Storm -- 嵐の獣用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0
113,Storm Beast (CUB) Bichibichi wait -- 嵐の獣（子エイ）ビチビチ待機,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,-1,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,-1,-1,-1,-1,-1,0,0,0,0
114,Scales Miners Non-combat (bare hands) -- ウロコ鉱夫　非戦闘時（素手）,50000,210,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
115,Octopus head when fighting -- タコ頭 　戦闘時,0,200,201,612,613,510,501,502,503,-1,-1,-1,-1,-1,612,613,614,615,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
116,Gargoyle aerial (for 3050) -- ガーゴイル空中（3050用）,0,200,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
117,Gargoyle Ground (for 3050) -- ガーゴイル地上（3050用）,10000,10200,10201,10202,10203,10500,10501,10502,10503,-1,-1,-1,-1,-1,10602,10603,10604,10605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
118,Shadow woman _ for disappearing -- 影女＿消える用,9900,9100,9101,9102,9103,9200,9201,9202,9203,-1,-1,-1,-1,-1,7602,7603,7604,7605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
119,Blood mites only -- 血ダニ専用,0,200,201,200,200,500,501,500,500,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
120,Paris AIM -- パリィ狙い,9310,9300,9301,9302,9303,9300,9301,9302,9303,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
121,[DLC] Enemy Basic combat (running/swirling anime without version) -- 【DLC】敵基本　戦闘時（走行／旋回アニメなしバージョン）,0,200,201,202,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
900,Four-legged type for PG -- PG用4足タイプ,0,200,201,202,203,500,201,202,203,-1,-1,-1,-1,-1,602,603,604,605,-1,0,200,200,200,200,200,500,500,500,502,503,-1,-1,-1,-1,-1,0,0,0,0
910,[FDP] Test _ First time -- 【FDP】テスト_はじめてのろじっく,0,200,201,202,203,500,501,502,503,-1,-1,-1,-1,-1,602,603,604,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
