#PhantomParam=PHANTOM_PARAM_ST
ID,Name,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5,Unk1,GhostAlpha1,GhostAlpha2,GhostType,pad1
187,,0.5,0,0.1,0.1,0,220,0,180,0,0,0,255,255,255,255,255,255,255,120,0,0,0.5,1,3,-
201,小白 Phantom-Time remaining-small -- 小白ファントム-残り時間-小,0.25,0,0,0,0,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,1,0,-
202,White Phantom-Time left-small -- 白ファントム-残り時間-小,0.25,0.02,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,1,0,-
203,Koganeyu Phantom-Time remaining-small -- 小金ファントム-残り時間-小,0.25,0,0,0,0,160,96,0,0,8,160,255,255,255,255,255,255,160,96,0,0,1,1,0,-
204,Gold Phantom-time remaining-small -- 金ファントム-残り時間-小,0.25,1,0,0,0,255,160,0,0,32,255,255,255,255,255,255,255,255,160,0,0,1,1,0,-
205,Red Phantom 0-time left-small -- 赤ファントム0-残り時間-小,0.25,1,0,0,0,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,-
206,Red Phantom 1-time left-small -- 赤ファントム1-残り時間-小,0.63,1,1,1,1,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,-
207,Red Phantom 2-time left-small -- 赤ファントム2-残り時間-小,0.25,1,0,0,0,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,-
208,Red Phantom 3-time left-small -- 赤ファントム3-残り時間-小,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,-
209,Black Phantom-Time left-small -- 黒ファントム-残り時間-小,1,0.5,1,1,0,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0.04,1,3,-
500,pvpatch - Vapourwave Sherbet,1,0,0,1,1,0,255,255,0,0,0,0,0,0,255,0,255,255,255,255,0,1,1,0,-
