#SwordArtsParam=SWORD_ARTS_PARAM_ST
ID,Name,ActionId [0-36],ActionCorrection,ReserveArtPointType [0-3],UnusedField,reserveArtsPoint0,reserveArtsPoint1,reserveArtsPoint2,reserveArtsPoint3,DebugTextId,subFPCost,FPCost,FPCostLight,FpCostStrong,ShieldCategory [0-4],pad1
500,Stance,4,2,1,2,-1,-1,-1,-1,70002,-1,0,15,15,0,-
501,Shield Splitter,22,2,1,2,-1,-1,-1,-1,70014,-1,14,-1,-1,0,-
502,Ricard's Lunge and Press,24,2,1,2,-1,-1,-1,-1,70036,-1,12,-1,8,0,-
503,Quill Dart,31,1,1,2,-1,-1,-1,-1,70103,-1,7,-1,8,0,-
600,Spin Slash,11,2,1,2,-1,-1,-1,-1,70005,-1,6,-1,12,0,-
601,Crescent Blade,22,2,1,2,-1,-1,-1,-1,70051,-1,15,-1,-1,0,-
602,Tornado,11,2,1,2,-1,-1,-1,-1,70070,-1,7,-1,15,0,-
603,Frost Blade,11,2,1,2,-1,-1,-1,-1,70072,-1,8,-1,14,0,-
604,Spin Slash,11,2,1,2,-1,-1,-1,-1,70005,-1,5,-1,12,0,-
605,Spin Slash,11,2,1,2,-1,-1,-1,-1,70005,-1,4,-1,12,0,-
606,Chained Dance,11,2,1,2,-1,-1,-1,-1,70065,-1,5,-1,15,0,-
607,Prying Wedge,24,2,1,2,-1,-1,-1,-1,70102,-1,9,-1,9,0,-
608,Spin Slash,11,2,1,2,-1,-1,-1,-1,70204,-1,7,-1,20,0,-
700,Spin Slash,11,1,1,2,-1,-1,-1,-1,70005,-1,9,-1,15,0,-
701,Wolf Leap,11,1,1,2,-1,-1,-1,-1,70074,-1,10,-1,15,0,-
702,Spin Slash,11,1,1,2,-1,-1,-1,-1,70005,-1,9,-1,13,0,-
703,Spin Slash,11,1,1,2,-1,-1,-1,-1,70005,-1,12,-1,13,0,-
704,Sever,11,1,1,2,-1,-1,-1,-1,70205,-1,9,20,9,0,-
800,Hold,4,2,1,2,-1,-1,-1,-1,70017,-1,0,17,5,0,-
801,Bloodlust,22,2,1,2,-1,-1,-1,-1,70052,-1,10,-1,-1,0,-
802,Hold,4,2,1,2,-1,-1,-1,-1,70017,-1,0,22,8,0,-
803,Darkdrift,13,1,1,2,-1,-1,-1,-1,70040,-1,20,-1,-1,0,-
804,Hold,4,1,1,2,-1,-1,-1,-1,70206,-1,0,18,11,0,-
900,Warcry,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
901,Sharpen,22,2,1,2,-1,-1,-1,-1,70025,-1,18,-1,-1,0,-
902,Feast Bell,22,2,1,2,-1,-1,-1,-1,70058,-1,24,-1,-1,0,-
903,Quickstep,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
904,Warcry,12,2,1,2,-1,-1,-1,-1,70104,-1,20,-1,-1,0,-
1000,Warcry,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1001,,22,2,1,2,-1,-1,-1,-1,0,-1,35,-1,-1,0,-
1002,Demonic Flare,22,2,1,2,-1,-1,-1,-1,70032,-1,35,-1,-1,0,-
1003,Falling Bolt,22,2,1,2,-1,-1,-1,-1,70029,-1,35,-1,-1,0,-
1004,Warcry,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1005,Sharpen,22,2,1,2,-1,-1,-1,-1,70025,-1,20,-1,-1,0,-
1006,Earthen Wrath,12,2,1,2,-1,-1,-1,-1,70105,-1,30,-1,-1,0,-
1100,Perseverance,14,2,1,2,-1,-1,-1,-1,70009,-1,9,-1,-1,0,-
1101,Warcry,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1102,Steady Chant,16,2,1,1,-1,-1,-1,-1,70007,-1,9,-1,-1,0,-
1103,Galvanize,14,2,1,2,-1,-1,-1,-1,70021,-1,9,-1,-1,0,-
1104,Breathe Fire,22,2,1,2,-1,-1,-1,-1,70106,-1,11,-1,-1,0,-
1200,Perseverance,14,2,1,2,-1,-1,-1,-1,70009,-1,12,-1,-1,0,-
1201,Molten Perseverance,14,2,1,2,-1,-1,-1,-1,70046,-1,12,-1,15,0,-
1202,Kindled Flurry,14,2,1,2,-1,-1,-1,-1,70063,-1,12,-1,15,0,-
1203,Warcry,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1204,Morne's Rage,14,2,1,2,-1,-1,-1,-1,70035,-1,50,-1,-1,0,-
1205,Spin Bash,11,1,1,2,-1,-1,-1,-1,70018,-1,13,-1,10,0,-
1206,Galvanize,14,2,1,2,-1,-1,-1,-1,70021,-1,11,-1,-1,0,-
1207,Quake,14,2,1,2,-1,-1,-1,-1,70107,-1,12,-1,10,0,-
1208,Call to Stone,13,2,1,2,-1,-1,-1,-1,70207,-1,25,-1,25,0,-
1300,Charge,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,9,0,-
1301,Falling Bolt,22,2,1,2,-1,-1,-1,-1,70029,-1,20,-1,-1,0,-
1302,Pacify,22,2,1,2,-1,-1,-1,-1,70066,-1,25,-1,-1,0,-
1303,Shield Splitter,13,2,1,2,-1,-1,-1,-1,70014,-1,16,-1,-1,0,-
1304,Steady Chant,16,0,1,1,-1,-1,-1,-1,70007,-1,9,-1,-1,0,-
1305,Unleash Dragon,22,2,1,2,-1,-1,-1,-1,70030,-1,25,-1,-1,0,-
1306,Charge,13,2,1,2,-1,-1,-1,-1,70008,-1,15,-1,15,0,-
1307,Charge,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,9,0,-
1308,Lightning Charge,13,2,1,2,-1,-1,-1,-1,70068,-1,17,-1,12,0,-
1309,Kindled Charge,13,2,1,2,-1,-1,-1,-1,70062,-1,13,-1,15,0,-
1310,Charge,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,9,0,-
1311,Spin Sweep,11,1,1,2,-1,-1,-1,-1,70016,-1,11,-1,11,0,-
1312,Hurl Spear,22,2,1,2,-1,-1,-1,-1,70108,-1,15,-1,-1,0,-
1313,Ember,13,2,1,2,-1,-1,-1,-1,70208,-1,12,-1,8,0,-
1314,Lothric War Banner,22,2,1,2,-1,-1,-1,-1,70209,-1,35,-1,-1,0,-
1400,Spin Sweep,11,1,1,2,-1,-1,-1,-1,70016,-1,8,-1,14,0,-
1401,Chain Spin,11,1,1,2,-1,-1,-1,-1,70031,-1,10,-1,12,0,-
1402,Champion's Charge,13,2,1,2,-1,-1,-1,-1,70042,-1,15,-1,15,0,-
1403,,22,2,1,2,-1,-1,-1,-1,0,-1,30,-1,-1,0,-
1404,Punitive Flame,22,2,1,2,-1,-1,-1,-1,70045,-1,20,-1,-1,0,-
1405,Warcry,12,2,1,2,-1,-1,-1,-1,70003,-1,20,-1,-1,0,-
1406,Charge,13,2,1,2,-1,-1,-1,-1,70008,-1,15,-1,13,0,-
1407,Perseverance,14,2,1,2,-1,-1,-1,-1,70009,-1,11,-1,-1,0,-
1408,Wind Wheel,4,1,1,2,-1,-1,-1,-1,70210,-1,0,17,20,0,-
1409,Mad King's Folly,34,1,1,2,-1,-1,-1,-1,70211,-1,-1,-1,17,0,-
1500,Neck Swipe,21,2,1,2,-1,-1,-1,-1,70024,-1,13,-1,-1,0,-
1501,,22,2,1,2,-1,-1,-1,-1,0,-1,20,-1,-1,0,-
1502,Frost,22,2,1,2,-1,-1,-1,-1,70071,-1,15,-1,-1,0,-
1503,,22,2,1,2,-1,-1,-1,-1,0,-1,13,-1,-1,0,-
1504,Elfriede's Stance,4,1,1,2,-1,-1,-1,-1,70109,-1,0,-1,18,0,-
1600,Impact,24,2,1,2,-1,-1,-1,-1,70019,-1,14,-1,-1,0,-
1601,Flame Whip,24,2,1,2,-1,-1,-1,-1,70044,-1,18,-1,-1,0,-
1700,Quickstep,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
1701,Flame Whirlwind,11,1,1,2,-1,-1,-1,-1,70043,-1,10,-1,10,0,-
1702,Lifedrain,23,2,1,2,-1,-1,-1,-1,70050,-1,18,-1,-1,0,-
1703,Perseverance,14,2,1,2,-1,-1,-1,-1,70009,-1,7,-1,-1,0,-
1800,Leaping Slash,21,2,1,2,-1,-1,-1,-1,70034,-1,10,-1,-1,0,-
1801,Quickstep,22,2,1,2,-1,-1,-1,-1,70011,-1,13,-1,-1,0,-
1802,Quickstep,18,1,1,2,-1,-1,-1,-1,70011,-1,4,-1,-1,0,-
1803,Raptor Flurry,13,1,1,2,-1,-1,-1,-1,70110,-1,15,-1,-1,0,-
1900,Rapid Fire,8,2,1,1,-1,-1,-1,-1,70020,-1,0,4,4,0,-
1901,Puncture,26,2,1,1,-1,-1,-1,-1,70022,-1,0,9,9,0,-
1902,Pharis Triple-shot,29,2,1,1,-1,-1,-1,-1,70033,-1,0,7,7,0,-
1903,Darkmoon Arrow,26,2,1,1,-1,-1,-1,-1,70039,-1,0,10,10,0,-
1904,Unseen Arrow,8,2,1,1,-1,-1,-1,-1,70214,-1,0,6,6,0,-
2000,Puncturing Arrow,19,2,1,1,-1,-1,-1,-1,70047,-1,0,20,20,0,-
2001,Puncturing Arrow,19,2,1,1,-1,-1,-1,-1,70047,-1,0,17,17,0,-
2002,Pierce Earth,19,2,1,1,-1,-1,-1,-1,70111,-1,0,20,20,0,-
2101,Tackle,22,2,1,2,-1,-1,-1,-1,70012,-1,7,-1,-1,0,-
2102,Quickstep,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
2103,Repeat Fire,33,1,1,2,-1,-1,-1,-1,70215,-1,-1,13,13,0,-
2200,Steady Chant,16,2,1,1,-1,-1,-1,-1,70007,-1,7,-1,-1,0,-
2201,Steady Chant,16,2,1,1,-1,-1,-1,-1,70007,-1,30,-1,-1,0,-
2202,Poison Spores,16,2,1,1,-1,-1,-1,-1,70064,-1,20,-1,-1,0,-
2203,Steady Chant,16,2,1,1,-1,-1,-1,-1,70007,-1,15,-1,-1,0,-
2204,Chant from the Depths,16,2,1,1,-1,-1,-1,-1,70216,-1,7,-1,-1,0,-
2205,Feasting Branch,35,2,1,1,-1,-1,-1,-1,70217,-1,5,-1,-1,0,-
2300,Unfaltering Prayer,27,2,1,1,-1,-1,-1,-1,70015,-1,8,-1,-1,0,-
2301,Gentle Prayer,16,2,1,1,-1,-1,-1,-1,70013,-1,13,-1,-1,0,-
2302,Combustion,23,2,1,2,-1,-1,-1,-1,70027,-1,11,-1,-1,0,-
2303,Unfaltering Prayer,17,2,1,1,-1,-1,-1,-1,70015,-1,8,-1,-1,0,-
2304,Unfaltering Prayer,28,2,1,1,-1,-1,-1,-1,70015,-1,9,-1,-1,0,-
2305,Awakening,22,2,1,2,-1,-1,-1,-1,70112,-1,25,-1,-1,0,-
2306,Pray for Favor,16,2,1,1,-1,-1,-1,-1,70218,-1,18,-1,-1,0,-
2400,Combustion,23,2,1,2,-1,-1,-1,-1,70027,-1,12,-1,-1,0,-
2401,Parting Flame,30,2,1,2,-1,-1,-1,-1,70113,-1,25,-1,-1,0,-
2500,Quickstep,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
2600,Spin Slash,11,2,1,2,-1,-1,-1,-1,70005,-1,5,-1,17,0,-
2700,Spin Slash,11,1,1,2,-1,-1,-1,-1,70005,-1,4,-1,12,0,-
2701,Spin Slash,11,1,1,2,-1,-1,-1,-1,70005,-1,7,-1,9,0,-
2710,,11,1,1,2,-1,-1,-1,-1,0,-1,10,-1,10,0,-
2720,Dancer's Grace,11,1,1,2,-1,-1,-1,-1,70067,-1,6,-1,9,0,-
2800,Onislayer,21,2,1,2,-1,-1,-1,-1,70049,-1,20,-1,-1,0,-
2900,Charge,13,2,1,2,-1,-1,-1,-1,70008,-1,13,-1,9,0,-
3000,Chain Spin,11,1,1,2,-1,-1,-1,-1,70031,-1,8,-1,10,0,-
3100,Spin Bash,11,2,1,2,-1,-1,-1,-1,70018,-1,7,-1,15,0,-
3200,Shield Bash,23,2,1,2,-1,-1,-1,-1,70004,-1,14,-1,-1,3,-
3201,Shield Strike,23,2,1,2,-1,-1,-1,-1,70057,-1,-1,-1,-1,0,-
3300,Shield Bash,23,2,1,2,-1,-1,-1,-1,70004,-1,16,-1,-1,3,-
3301,Moan,23,2,1,2,-1,-1,-1,-1,70075,-1,10,-1,-1,0,-
3310,Stone Flesh,23,2,1,2,-1,-1,-1,-1,70048,-1,16,-1,-1,0,-
3320,Wheel of Fate,23,2,1,2,-1,-1,-1,-1,70041,-1,14,-1,-1,0,-
3321,Dragon Roar,23,2,1,2,-1,-1,-1,-1,70220,-1,16,-1,-1,4,-
3330,Lockout,4,2,1,2,-1,-1,-1,-1,70212,-1,0,17,20,4,-
3400,Shield Bash,23,2,1,2,-1,-1,-1,-1,70004,-1,12,-1,-1,3,-
3401,Dragon Breath,23,2,1,2,-1,-1,-1,-1,70219,-1,12,-1,-1,4,-
