#CharMakeMenuTopParam=CHARMAKEMENUTOP_PARAM_ST
ID,Name,CommandID,FaceParamID,TableID,ViewCondition,PreviewMode,pad1,MenuType,pad2
56,Eye inclination -- 眼の傾き,1,423093,47,422096,0,-,2,-
57,Eye spacing -- 眼の間隔,1,423094,48,422098,0,-,2,-
58,｝----- -- ｝-----,1,423095,49,422100,0,-,2,-
59,-----{Nose -- -----｛鼻筋,1,423096,50,422102,0,-,2,-
60,Nose depth -- 鼻筋の深さ,11,0,0,0,0,-,0,-
61,Nose length -- 鼻筋の長さ,10,420023,0,0,0,-,2,-
62,Nose position -- 鼻の位置,1,423100,51,422104,0,-,2,-
63,Nose height -- 鼻先の高さ,1,423101,52,422106,0,-,2,-
64,Nose irregularities -- 鼻の凹凸,1,423102,53,422108,0,-,2,-
65,Nose height -- 鼻の高さ,1,423103,54,422110,0,-,2,-
66,Nose inclination -- 鼻の傾斜,11,0,0,0,0,-,0,-
67,｝----- -- ｝-----,10,420024,0,0,0,-,2,-
68,-----{Nose -- -----｛小鼻,1,423110,55,422112,0,-,2,-
69,Nose inclination -- 小鼻の傾斜,1,423111,56,422114,0,-,2,-
70,The size of nose -- 小鼻の大きさ,1,423112,57,422116,0,-,2,-
71,Nose width -- 小鼻の幅,1,423113,58,422118,0,-,2,-
72,Size of nostrils -- 鼻孔の大きさ,1,423114,59,422120,0,-,2,-
73,｝----- -- ｝-----,11,0,0,0,0,-,0,-
74,-----{Cheek -- -----｛頬,10,420025,0,0,0,-,2,-
75,Cheek height -- 頬骨の高さ,1,423120,61,422122,0,-,2,-
76,Depth of cheek bones -- 頬骨の深さ,1,423121,62,422124,0,-,2,-
77,The size of bones -- 頬骨の広さ,1,423122,63,422126,0,-,2,-
78,Cheek irregularities -- 頬の凹凸,1,423123,64,422128,0,-,2,-
79,Cheek -- 頬,1,423124,65,422130,0,-,2,-
80,｝----- -- ｝-----,1,423125,66,422132,0,-,2,-
81,-----{Lips -- -----｛唇,11,0,0,0,0,-,0,-
82,Lip shape -- 唇の形,10,420026,0,0,0,-,2,-
83,The expression of the mouth -- 口元の表情,1,423130,67,422134,0,-,2,-
84,Lip bulge -- 唇の膨らみ,1,423131,68,422136,0,-,2,-
85,Lip size -- 唇の大きさ,1,423132,69,422138,0,-,2,-
86,Lip irregularities -- 唇の凹凸,1,423133,70,422140,0,-,2,-
87,Lip thickness -- 唇の厚さ,1,423134,71,422142,0,-,2,-
88,｝----- -- ｝-----,1,423135,72,422144,0,-,2,-
89,-----{Mouth -- -----｛口,11,0,0,0,0,-,0,-
90,Mouth irregularities -- 口の凹凸,10,420027,0,0,0,-,2,-
91,Mouth inclination -- 口の傾き,1,423140,76,422146,0,-,2,-
92,Mating -- かみ合わせ,1,423141,77,422148,0,-,2,-
93,Mouth position -- 口の位置,1,423142,78,422150,0,-,2,-
94,Mouth width -- 口の幅,1,423143,79,422152,0,-,2,-
95,Distance from mouth to jaw -- 口から顎先の距離,1,423144,80,422154,0,-,2,-
96,｝----- -- ｝-----,1,423145,81,422156,0,-,2,-
97,-----{mandible -- -----｛下顎,1,423146,82,422158,0,-,2,-
98,Before and after the jaw tip -- 顎先端の前後,11,0,0,0,0,-,0,-
99,Length of jaw tip -- 顎先の長さ,10,420028,0,0,0,-,2,-
100,Sticking out of the jaw tip -- 顎先の突き出し,1,423150,83,422160,0,-,2,-
101,Jaw Tip Depth -- 顎先の深さ,1,423151,84,422162,0,-,2,-
102,Jaw Tip Size -- 顎先の大きさ,1,423152,85,422164,0,-,2,-
103,Jaw Tip Height -- 顎先の高さ,1,423153,86,422166,0,-,2,-
104,Width of jaw tip -- 顎先の広さ,11,0,0,0,0,-,0,-
105,｝----- -- ｝-----,11,0,0,0,0,-,0,-
106,-----{Maxillary -- -----｛上顎,10,420015,0,0,0,-,2,-
107,Jaw sticking out -- 顎の突き出し,2,420029,147,300,0,-,2,-
108,Jaw width -- 顎の幅,3,420030,103,700,0,-,2,-
109,Lower Jaw -- 顎下部,2,420031,118,300,0,-,2,-
110,Jaw Contour -- 顎の輪郭,3,420032,104,500,0,-,2,-
111,｝----- -- ｝-----,2,420033,121,300,0,-,2,-
112,｝----- -- ｝-----,3,420034,106,600,1,-,2,-
113,-----{Skin color/Makeup -- -----｛肌色/化粧,3,420034,106,620,2,-,2,-
114,-----{Eyes -- -----｛目元,2,420035,127,300,0,-,2,-
115,Brightness of the eyes -- 目元の明るさ,3,420036,105,1100,0,-,2,-
116,The brightness of the orbital -- 眼窩の明るさ,2,420037,124,300,0,-,2,-
117,Eyelid brightness -- まぶたの明るさ,11,0,0,0,0,-,0,-
118,Eyelid color -- まぶたの色,10,420016,0,0,0,-,2,-
119,Eyeliner -- アイライナー,3,420038,143,1000,0,-,2,-
120,Eye shadow -- アイシャドー,2,420039,144,200,0,-,2,-
121,｝----- -- ｝-----,3,420040,102,300,0,-,2,-
122,-----{Lipstick -- -----｛口紅,2,420041,115,200,0,-,2,-
123,Lipstick One -- 口紅１,3,420042,101,400,0,-,2,-
124,Lipstick 2 -- 口紅２,2,420043,112,200,0,-,2,-
125,｝----- -- ｝-----,11,0,0,0,0,-,0,-
126,｝----- -- ｝-----,10,420051,0,0,0,-,2,-
127,-----{hair/eyebrow/beard/Eyelash -- -----｛髪/眉/髭/まつげ,1,423030,38,422036,0,-,2,-
128,Hair/eyebrow/Beard color -- 髪/眉/髭色,1,423031,39,422038,0,-,2,-
129,Hair -- 髪,1,423032,40,422040,0,-,2,-
130,Hair Color -- 髪色,1,423033,41,422042,0,-,2,-
131,Eyebrows -- 眉,1,423034,42,422044,0,-,2,-
132,Eyebrow Color -- 眉色,1,423035,43,422046,0,-,2,-
133,Beard -- 髭,1,423040,74,422048,0,-,2,-
134,Beard -- 髭,1,423041,75,422050,0,-,2,-
135,Beard Color -- 髭色,11,0,0,0,0,-,0,-
136,Eyelashes -- まつげ,10,420017,0,0,0,-,2,-
137,Eyelash Color -- まつげ色,3,420044,108,800,0,-,2,-
138,｝----- -- ｝-----,2,420045,133,500,0,-,2,-
139,-----Hitomi -- -----｛瞳,10,420046,0,0,0,-,2,-
140,The size of both eyes -- 両瞳の大きさ,1,423160,151,422168,0,-,2,-
141,The color of both eyes -- 両瞳の色,1,423161,150,422170,0,-,2,-
142,The size of the right pupil -- 右瞳の大きさ,1,423162,152,422172,0,-,2,-
143,Right eye color -- 右瞳の色,1,423163,153,422174,0,-,2,-
144,The size of the left pupil -- 左瞳の大きさ,11,0,0,0,0,-,0,-
145,Left eye color -- 左瞳の色,11,0,0,0,0,-,0,-
146,｝----- -- ｝-----,11,0,0,0,0,-,0,-
147,-----{tattoo/bruise/glasses -- -----｛入れ墨/痣/メガネ,2,420004,109,100,0,-,2,-
148,Tattoos/Bruise -- 入れ墨/痣,10,420005,0,0,3,-,2,-
149,Tattoo/Bruise Color -- 入れ墨/痣の色,1,423010,8,422010,0,-,2,-
150,-----{tattoo/bruise adjustment -- -----｛入れ墨/痣の調整,1,423011,9,422012,0,-,2,-
151,Position (up and down) -- 位置（上下）,1,423012,10,422014,0,-,2,-
152,Position (left and right) -- 位置（左右）,1,423013,11,422016,0,-,2,-
153,Angle -- 角度,1,423017,7,422018,0,-,2,-
154,Zoom Rate -- 拡大率,1,423014,12,422020,0,-,2,-
155,｝----- -- ｝-----,1,423015,13,422022,0,-,2,-
156,Glasses -- メガネ,1,423016,60,422024,0,-,2,-
157,Glasses color -- メガネ色,11,0,0,0,0,-,0,-
158,｝----- -- ｝-----,10,420007,0,0,3,-,2,-
159,｝----- -- ｝-----,12,420049,0,0,0,-,2,-
160,Save Favorites -- お気に入り保存,10,420011,0,0,0,-,2,-
161,Favorites Import -- お気に入り読み込み,1,423020,96,422030,0,-,2,-
162,Initialize -- 初期化,1,423021,97,422032,0,-,2,-
163,,1,423022,99,422034,0,-,2,-
164,,11,0,0,0,0,-,0,-
165,,10,420012,0,0,0,-,2,-
166,,10,420018,0,0,0,-,2,-
167,,1,423050,0,422052,0,-,2,-
168,,1,423051,1,422054,0,-,2,-
169,,1,423052,3,422056,0,-,2,-
170,,1,423053,4,422058,0,-,2,-
171,,1,423054,5,422060,0,-,2,-
172,,1,423055,6,422062,0,-,2,-
173,,11,0,0,0,0,-,0,-
174,,10,420019,0,0,0,-,2,-
175,,1,423060,15,422064,0,-,2,-
176,,1,423061,16,422066,0,-,2,-
177,,1,423062,17,422068,0,-,2,-
178,,1,423063,18,422070,0,-,2,-
179,,1,423064,19,422072,0,-,2,-
180,,1,423065,20,422074,0,-,2,-
181,,11,0,0,0,0,-,0,-
182,,10,420020,0,0,0,-,2,-
183,,1,423070,21,422076,0,-,2,-
184,,1,423071,22,422078,0,-,2,-
185,,1,423072,23,422080,0,-,2,-
186,,11,0,0,0,0,-,0,-
187,,10,420021,0,0,0,-,2,-
188,,1,423080,31,422082,0,-,2,-
189,,1,423081,32,422084,0,-,2,-
190,,1,423082,33,422086,0,-,2,-
191,,1,423083,34,422088,0,-,2,-
192,,11,0,0,0,0,-,0,-
193,,10,420022,0,0,0,-,2,-
194,,1,423090,44,422090,0,-,2,-
195,,1,423091,45,422092,0,-,2,-
196,,1,423092,46,422094,0,-,2,-
197,,1,423093,47,422096,0,-,2,-
198,,1,423094,48,422098,0,-,2,-
199,,1,423095,49,422100,0,-,2,-
200,,1,423096,50,422102,0,-,2,-
201,,11,0,0,0,0,-,0,-
202,,10,420023,0,0,0,-,2,-
203,,1,423100,51,422104,0,-,2,-
204,,1,423101,52,422106,0,-,2,-
205,,1,423102,53,422108,0,-,2,-
206,,1,423103,54,422110,0,-,2,-
207,,11,0,0,0,0,-,0,-
208,,10,420024,0,0,0,-,2,-
209,,1,423110,55,422112,0,-,2,-
210,,1,423111,56,422114,0,-,2,-
211,,1,423112,57,422116,0,-,2,-
212,,1,423113,58,422118,0,-,2,-
213,,1,423114,59,422120,0,-,2,-
214,,11,0,0,0,0,-,0,-
215,,10,420025,0,0,0,-,2,-
216,,1,423120,61,422122,0,-,2,-
217,,1,423121,62,422124,0,-,2,-
218,,1,423122,63,422126,0,-,2,-
219,,1,423123,64,422128,0,-,2,-
220,,1,423124,65,422130,0,-,2,-
221,,1,423125,66,422132,0,-,2,-
222,,11,0,0,0,0,-,0,-
223,,10,420026,0,0,0,-,2,-
224,,1,423130,67,422134,0,-,2,-
225,,1,423131,68,422136,0,-,2,-
226,,1,423132,69,422138,0,-,2,-
227,,1,423133,70,422140,0,-,2,-
228,,1,423134,71,422142,0,-,2,-
229,,1,423135,72,422144,0,-,2,-
230,,11,0,0,0,0,-,0,-
231,,10,420027,0,0,0,-,2,-
232,,1,423140,76,422146,0,-,2,-
233,,1,423141,77,422148,0,-,2,-
234,,1,423142,78,422150,0,-,2,-
235,,1,423143,79,422152,0,-,2,-
236,,1,423144,80,422154,0,-,2,-
237,,1,423145,81,422156,0,-,2,-
238,,1,423146,82,422158,0,-,2,-
239,,11,0,0,0,0,-,0,-
240,,10,420028,0,0,0,-,2,-
241,,1,423150,83,422160,0,-,2,-
242,,1,423151,84,422162,0,-,2,-
243,,1,423152,85,422164,0,-,2,-
244,,1,423153,86,422166,0,-,2,-
245,,11,0,0,0,0,-,0,-
246,,11,0,0,0,0,-,0,-
247,,10,420015,0,0,0,-,2,-
248,,2,420029,147,300,0,-,2,-
249,,3,420030,103,700,0,-,2,-
250,,2,420031,118,300,0,-,2,-
251,,3,420032,104,500,0,-,2,-
252,,2,420033,121,300,0,-,2,-
253,,3,420034,106,600,1,-,2,-
254,,3,420034,106,620,2,-,2,-
255,,2,420035,127,300,0,-,2,-
256,,3,420036,105,1100,0,-,2,-
257,,2,420037,124,300,0,-,2,-
258,,11,0,0,0,0,-,0,-
259,,10,420016,0,0,0,-,2,-
260,,3,420038,143,1000,0,-,2,-
261,,2,420039,144,200,0,-,2,-
262,,3,420040,102,300,0,-,2,-
263,,2,420041,115,200,0,-,2,-
264,,3,420042,101,400,0,-,2,-
265,,2,420043,112,200,0,-,2,-
266,,11,0,0,0,0,-,0,-
267,,10,420051,0,0,0,-,2,-
268,,1,423030,38,422036,0,-,2,-
269,,1,423031,39,422038,0,-,2,-
270,,1,423032,40,422040,0,-,2,-
271,,1,423033,41,422042,0,-,2,-
272,,1,423034,42,422044,0,-,2,-
273,,1,423035,43,422046,0,-,2,-
274,,1,423040,74,422048,0,-,2,-
275,,1,423041,75,422050,0,-,2,-
276,,11,0,0,0,0,-,0,-
277,,10,420017,0,0,0,-,2,-
278,,3,420044,108,800,0,-,2,-
279,,2,420045,133,500,0,-,2,-
280,,10,420046,0,0,0,-,2,-
281,,1,423160,151,422168,0,-,2,-
282,,1,423161,150,422170,0,-,2,-
283,,1,423162,152,422172,0,-,2,-
284,,1,423163,153,422174,0,-,2,-
285,,11,0,0,0,0,-,0,-
286,,11,0,0,0,0,-,0,-
287,,11,0,0,0,0,-,0,-
288,,10,420005,0,0,4,-,2,-
289,,1,423010,8,422010,0,-,2,-
290,,1,423011,9,422012,0,-,2,-
291,,1,423012,10,422014,0,-,2,-
292,,1,423013,11,422016,0,-,2,-
293,,1,423017,7,422018,0,-,2,-
294,,1,423014,12,422020,0,-,2,-
295,,1,423015,13,422022,0,-,2,-
296,,1,423016,60,422024,0,-,2,-
297,,11,0,0,0,0,-,0,-
298,,15,420008,0,0,0,-,2,-
299,,14,420009,0,0,0,-,2,-
300,,100,420500,0,0,0,-,1,-
301,,0,0,0,0,0,-,0,-
302,,0,0,0,0,0,-,0,-
303,,0,0,0,0,0,-,0,-
304,,0,0,0,0,0,-,0,-
305,,0,0,0,0,0,-,0,-
306,,0,0,0,0,0,-,0,-
307,,0,0,0,0,0,-,0,-
308,,0,0,0,0,0,-,0,-
309,,0,0,0,0,0,-,0,-
310,,0,0,0,0,0,-,0,-
311,,0,0,0,0,0,-,0,-
312,,0,0,0,0,0,-,0,-
313,,0,0,0,0,0,-,0,-
