#SpEffectVfxParam=SP_EFFECT_VFX_PARAM_ST
ID,Name,midstSfxId,midstSeId,InitSfxId,InitSeId,finishSfxId,finishSeId,camouflageBeginDist,camouflageEndDist,transformProtectorId,midstDmyId,initDmyId,finishDmyId,effectType,soulParamIdForWepEnchant1,playCategory,playPriority,existEffectForLarge,existEffectForSoul,existInvisibleAtCamouflage,useCamouflage,invisibleAtFriendCamouflage,addMapAreaBlockOffset,halfCamouflage,isFullBodyProtectorId,isInvisibleWeapon,isSilence,isGauntletProtectorId,Unk1,Unk2,Unk3,Unk4,Unk5,DecalId0,DecalId1,soulParamIdForWepEnchant2,SpEffectSp0,SpEffectSp1,bodyProtectorType,SpSfxId0,SpSfxId1,SpSfxId2,SpSfxId3,SpSfxId4,SpSfxId5,SpSfxId6,SpSfxId7,SpSfxId8,SpSfxId9,SpSfxId10,SpSfxId11,SpSfxId12,SpSfxId13,SpSfxId14,SpSfxId15,Unk10,PhantomType,CamouflageGhost,Unk12,PhantomParamId,EmissiveIntensityScale [ArmorGlow],Unk13,bodyProtectorVal,Unk14,CinderIntensityScale [Ember Effect Glow],pad1
11,State abnormal recovery [plague] -- 状態異常回復【疫病】,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
12,State abnormal recovery [bleeding] -- 状態異常回復【出血】,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
13,State abnormal recovery [Universal] -- 状態異常回復【万能】,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
14,Soul Steele -- ソウルスティール,22223,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
15,Zoom -- ズーム,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
16,Warp -- ワープ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
17,Demon's Souls -- デモンズソウル,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
18,Black Ghost Disperse -- 黒ゴースト退散,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
19,Strong Ghost -- 強ゴースト,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
20,White Hope -- ホワイト希望,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
21,Black Hope -- ブラック希望,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
22,Black Ghost -- 黒ゴースト化,22122,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
23,Resuscitation -- 蘇生,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
24,Magic Prohibition -- 魔法使用禁止,525812,23112,525813,-1,-1,-1,-1,-1,-1,220,220,-1,0,0,4,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
25,Miracle Motion Extension -- 奇跡モーション延長,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
26,Grinding wheel -- 砥石,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
27,Asphyxia Resuscitation -- 仮死蘇生,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
28,Weapon reinforcement -- 武器強化,523102,523102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,1,0,10300,-1,11300,-1,10310,-1,11310,-1,10320,-1,11320,-1,10330,-1,11330,-1,0,0,0,0,0,-1,0,-1,0,-1,-
29,Defense Shield -- 防御シールド,525602,20004,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
30,Covered yarn -- 糸まみれ,197,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
31,【 system 】 Ghost Rum Change -- 【システム】ゴーストパラム変化,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
32,Incubus -- 金縛り,195,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
33,Flies bummed -- 蠅たかり,196,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
34,[FDP proto] slime freezing -- 【FDPプロト】スライム凍結,30043,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
35,Flame Phantom _ Second phase -- 炎怪人_第２段階,30013,-1,-1,-1,-1,-1,-1,-1,-1,104,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
36,Flame Phantom _ Third stage -- 炎怪人_第３段階,630731,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
37,Flame Phantom _ Fourth stage -- 炎怪人_第４段階,630731,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
38,Hallucinations -- 幻聴,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
39,Soul Coins -- ソウルコイン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
40,Strong defense Shield -- 強防御シールド,525612,20004,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
41,Fire Resistant Shield -- 火耐性シールド,524312,21112,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
42,HP Recovery Status -- HP回復状態,-1,525002,525003,-1,-1,-1,-1,-1,-1,900,905,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
43,Forced ghosting first Stage -- 強制ゴースト化 第1段階,16010,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
44,Forced ghosting Phase II -- 強制ゴースト化 第2段階,16011,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
45,Forced ghosting third phase -- 強制ゴースト化 第3段階,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
46,Pheromones -- フェロモン,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
47,Cat Landing -- 猫着地,523542,20005,-1,-1,-1,-1,-1,-1,-1,212,-1,-1,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
48,Pinch attack power up -- ピンチ攻撃力アップ,24003,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
49,Pinch defensive power up -- ピンチ防御力アップ,24004,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
50,Regenerate -- リジェネレイト,525042,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,3,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
51,Torchlight -- たいまつ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
52,Weak Regenerate -- 弱リジェネレイト,24012,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
53,Weak Ghost Camouflage -- 弱ゴーストカムフラージュ,24030,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,3,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
54,Hidden weakness -- 弱姿隠し,523512,-1,-1,-1,-1,-1,-1,-1,-1,212,-1,-1,0,0,3,150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
55,Tip Blood Letters -- ヒント血文字,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
56,Hill Foot -- ヒル足,890,-1,-1,-1,-1,-1,-1,-1,-1,202,-1,-1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
57,Yellow Robe -- 黄衣,202,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
58,Point Light -- 点光源,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
59,Blood character evaluation -- 血文字評価,32,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
60,Weapon reinforcement [medium] -- 武器強化【中】,523112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,1,0,10300,-1,11300,-1,10310,-1,11310,-1,10320,-1,11320,-1,10330,-1,11330,-1,0,0,0,0,0,-1,0,-1,0,-1,-
61,Weapon reinforcement [large] -- 武器強化【大】,523122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,1,0,10300,-1,11300,-1,10310,-1,11310,-1,10320,-1,11320,-1,10330,-1,11330,-1,0,0,0,0,0,-1,0,-1,0,-1,-
62,Flame Enhancement -- 炎強化,303001,524352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,2,0,10300,-1,11300,-1,10310,-1,11310,-1,10320,-1,11320,-1,10330,-1,11330,-1,0,0,0,0,0,-1,0,-1,0,-1,-
63,flame enhancement [Large] -- 炎強化【大】,20242,-1,-1,-1,-1,-1,-1,-1,-1,206,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
64,Magic Reinforcement -- 魔法強化,525912,525902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,3,0,10300,-1,11300,-1,10310,-1,11310,-1,10320,-1,11320,-1,10330,-1,11330,-1,0,0,0,0,0,-1,0,-1,0,-1,-
65,Chimera Reinforcement -- キメラ強化,13045,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
66,Item Drop correction -- アイテムドロップ補正,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
67,MP Regenerate -- MPリジェネレイト,24006,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,3,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
68,Weak MP Regenerate -- 弱MPリジェネレイト,23228,-1,-1,-1,23328,-1,-1,-1,-1,200,-1,200,0,0,3,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
69,Resurrection when dead -- 死んだとき復活,525203,-1,525202,-1,525204,-1,-1,-1,-1,220,-1,220,0,0,3,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
70,Poison tolerance up -- 毒耐性UP,24009,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,-
