#HitEffectSfxConceptParam=HIT_EFFECT_SFX_CONCEPT_PARAM_ST
ID,Name,SfxConceptId0,SfxConceptId1,SfxConceptId2,SfxConceptId3,SfxConceptId4,SfxConceptId5,SfxConceptId6,SfxConceptId7,SfxConceptId8,SfxConceptId9,SfxConceptId10,SfxConceptId11,SfxConceptId12,SfxConceptId13,SfxConceptId14,SfxConceptId15,SfxConceptId16,SfxConceptId17,SfxConceptId18,SfxConceptId19,SfxConceptId20,SfxConceptId21,SfxConceptId22,SfxConceptId23,SfxConceptId24,SfxConceptId25,SfxConceptId26,SfxConceptId27,SfxConceptId28,SfxConceptId29,pad1
24,Poison Swamp (deep) -- 毒沼（深い）,180,0,380,0,180,0,180,0,450,180,180,0,0,0,0,0,0,0,0,0,180,0,180,0,430,180,440,180,460,180,-
25,Poison Swamp (knee) -- 毒沼（膝下）,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
26,Poison Swamp (about puddle) -- 毒沼（水溜まり程度）,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
27,Water (waist or more) -- 水（腰以上）,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
28,Carpet -- 絨毯,70,0,380,0,70,0,70,0,450,70,0,70,0,0,0,0,0,0,0,0,0,70,0,70,430,70,440,70,460,70,-
29,Without -- なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
30,Caries -- 蝕,420,0,380,0,420,0,420,0,450,420,0,420,0,0,0,0,0,0,0,0,0,420,0,420,430,420,440,420,460,420,-
31,God Grave Net -- 神墓ネット,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
34,,10,20,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,10,440,10,460,10,-
35,,0,20,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,0,0,-
36,,180,0,380,0,180,0,180,0,450,180,180,0,0,0,0,0,0,0,0,0,180,0,0,0,430,180,440,180,460,180,-
37,,180,0,380,0,180,0,180,0,450,180,180,0,0,0,0,0,0,0,0,0,180,0,0,0,430,180,440,180,460,180,-
38,,180,0,380,0,180,0,180,0,450,180,180,0,0,0,0,0,0,0,0,0,180,0,0,0,430,180,440,180,460,180,-
39,,180,0,380,0,180,0,180,0,450,180,180,0,0,0,0,0,0,0,0,0,180,0,0,0,430,180,440,180,460,180,-
40,,10,60,380,60,60,0,60,0,450,60,0,60,0,0,0,0,0,0,0,0,0,60,0,60,430,60,440,60,460,60,-
41,,180,0,380,0,180,0,180,0,450,180,180,0,0,0,0,0,0,0,0,0,180,0,180,0,430,180,440,180,460,180,-
42,,180,0,380,0,180,0,180,0,450,180,180,0,0,0,0,0,0,0,0,0,180,0,180,0,430,180,440,180,460,180,-
43,,480,0,480,0,480,0,480,0,480,450,480,0,0,0,0,0,0,0,0,0,480,0,0,0,480,430,480,440,480,460,-
44,,480,0,480,0,480,0,480,0,480,450,480,0,0,0,0,0,0,0,0,0,480,0,0,0,480,430,480,440,480,460,-
45,,480,0,480,0,480,0,480,0,480,450,480,0,0,0,0,0,0,0,0,0,480,0,0,0,480,430,480,440,480,460,-
46,,510,0,510,380,510,0,510,0,510,450,510,0,0,0,0,0,0,0,0,0,510,0,0,0,510,430,510,440,510,460,-
47,,60,0,60,380,60,0,60,0,60,450,60,0,0,0,0,0,0,0,0,0,60,0,60,0,60,430,60,440,60,460,-
48,,180,0,0,380,180,0,180,0,180,450,180,0,0,0,0,0,0,0,0,0,180,0,0,0,180,430,180,440,180,460,-
49,,510,0,510,380,510,0,510,0,510,450,510,0,0,0,0,0,0,0,0,0,510,0,0,0,510,430,510,440,510,460,-
100,Weapon Iron -- 武器鉄,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,10,440,10,460,10,-
101,Wax -- 蝋,10,0,380,0,20,0,20,0,450,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,270,440,270,460,270,-
102,Weapon tree -- 武器木,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
103,Weapon meat -- 武器肉,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
104,Shield Iron -- 盾鉄,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,10,440,10,460,10,-
105,Shield Tree -- 盾木,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
106,Iron -- 鉄,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,10,440,10,460,10,-
107,Bugs -- 虫,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
108,Armor Leather -- 鎧革,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
109,Meat -- 肉,210,0,380,0,210,0,210,0,450,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,210,440,210,460,210,-
110,Flesh _ Weakness -- 肉_弱点,210,210,380,0,210,210,210,210,450,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,210,440,210,460,210,-
111,Dragon Meat -- 竜肉,10,0,380,0,20,0,20,0,450,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,220,440,220,460,220,-
112,Heavy Iron -- 重鉄,10,0,380,0,20,10,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,10,0,10,460,10,-
113,Cloth -- 布,20,0,380,0,20,0,20,0,450,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,20,440,20,460,20,-
114,Humanity -- 人間性,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
115,Hair -- 毛,10,0,380,0,20,0,20,0,450,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,300,440,300,460,300,-
116,Soft Stone -- 石（軟）,10,0,380,0,20,0,20,0,450,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,90,440,90,460,90,-
117,Feathers -- 羽,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
118,Carrion -- 腐肉,210,0,380,0,210,0,210,0,450,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,210,440,210,460,210,-
119,Ash -- 灰,10,340,380,340,20,340,20,340,450,340,0,340,0,0,0,0,0,0,0,0,0,340,0,340,430,340,440,340,460,340,-
120,Lava -- 溶岩,10,340,380,340,20,340,20,340,450,340,0,340,0,0,0,0,0,0,0,0,0,340,0,340,430,340,440,340,460,340,-
121,Evil -- 死霊,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
122,Crystal -- 結晶,10,110,380,110,20,110,20,110,450,110,0,110,0,0,0,0,0,0,0,0,0,110,0,110,430,110,440,110,460,110,-
123,Liquid -- 液体,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
124,Bone -- 骨,10,100,380,100,20,100,20,100,450,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,430,100,440,100,460,100,-
125,Flame -- 炎,10,380,380,0,20,380,20,380,450,380,0,380,0,0,0,0,0,0,0,0,0,380,0,380,430,0,440,380,460,380,-
126,Rock -- 岩,10,470,380,470,20,470,20,470,450,470,0,470,0,0,0,0,0,0,0,0,0,470,0,470,430,470,440,470,460,470,-
127,Shield Stone -- 盾石,10,0,380,0,20,0,20,0,450,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,90,440,90,460,90,-
128,Tree -- 木,10,0,380,0,20,0,20,0,450,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,80,440,80,460,80,-
129,Heavy Iron Shield -- 盾重鉄,10,0,380,0,20,0,20,0,450,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,10,440,10,460,10,-
130,Ghost White -- ゴーストホワイト,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
131,Ghost Black -- ゴーストブラック,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
132,Ghost Enemy White -- ゴースト敵ホワイト,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
133,Ghost Enemy Black -- ゴースト敵ブラック,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
134,Drool -- よだれ,10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
135,Ghost White (for guard) -- ゴーストホワイト(ガード時用),10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
136,Ghost Black (for guard) -- ゴーストブラック(ガード時用),10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
137,Ghost Enemy White (for guard) -- ゴースト敵ホワイト(ガード時用),10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
138,Ghost Enemy Black (for guard) -- ゴースト敵ブラック(ガード時用),10,0,380,0,20,0,20,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
139,Without -- なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
140,Penetration -- 眼光,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
141,Caries -- 蝕,230,0,380,0,230,0,230,0,450,230,230,0,0,0,0,0,0,0,0,0,230,0,230,0,430,230,440,230,460,230,-
142,Maggots -- 蛆,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
143,Charcoal -- 炭,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
144,Gaps -- 欠番,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,0,0,-
145,Fluid -- 体液,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,440,0,460,0,-
146,Meat (Live) -- 肉（生者）,200,0,380,0,200,0,200,0,450,200,200,0,0,0,0,0,0,0,0,0,200,0,200,0,430,200,440,200,460,200,-
147,Meat (raw) _ Weakness -- 肉（生者）_弱点,200,200,380,0,200,200,200,200,450,200,200,200,0,0,0,0,0,0,0,0,200,200,200,200,430,200,440,200,460,200,-
148,Caries weakness -- 蝕_弱点,230,230,380,0,230,230,230,230,450,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,230,440,230,460,230,-
149,,80,0,80,380,80,0,80,0,80,450,80,0,0,0,0,0,0,0,0,0,80,0,0,0,80,430,80,440,80,460,-
150,,520,0,520,380,520,0,520,0,520,450,520,0,0,0,0,0,0,0,0,0,520,0,0,0,520,430,520,440,520,460,-
151,,520,520,520,380,520,520,520,520,520,450,520,520,0,0,0,0,0,0,0,0,520,520,520,520,520,430,520,440,520,460,-
