#LockCamParam=LOCK_CAM_PARAM_ST
ID,Name,CamDistTarget,rotRangeMinX,lockRotXShiftRatio,chrOrgOffsetZ,chrLockRangeMaxRadius,FovYChange,ChrLockRangeMaxRadius_forDark,ChrLockRangeMaxRadius_forPitchDark,MeleeAttackCaptureUpperLimitHeight,AttackCaptureLowerLimitHeight,AttackAutoAcquisitionAngleRangeLeft,MeleeAttackAutoAcquisitionCharacterRangeMaximumRadius,MeleeAttackAutoAcquisitionDarkCharacterRangeMaximumRadius,ProximityAttackAutoAcquisitionCharacterRangeForPureDarknessMaximumRadius,BulletAutoCaptureCharacterRangeMaximumRadius,BulletAutoCaptureDarkCharacterRangeMaximumRadius,BulletAutomaticCaptureCharacterRangeRorPureDarknessMaximumRadius,BulletAutoCapturingAngleRangeLeftAndRight,pad1
5280,,5.5,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5290,,6,0,0.38,1.8,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
5300,,4.5,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6000,[FDP] Crystal elders _ only when throwing -- 【FDP】結晶の古老_投げ時のみ,4.5,-40,0.6,1.5,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6010,,5,-30,0.3,1.62,30,45,20,12,0.8,2,20,4.5,4.5,4.5,30,20,12,20,-
6011,,4,-40,0.3,1.42,30,43,20,12,0.8,2,20,4.5,4.5,4.5,30,20,12,20,-
6012,,4,-80,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6013,,5,20,0.3,1.82,30,47,20,12,0.8,2,20,4.5,4.5,4.5,30,20,12,20,-
6030,,4.6,5,0.3,1.72,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6031,,4,5,0.2,1.52,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6100,,4.6,-40,0.3,1.42,15,43,9,5,0.8,2,20,4.5,4.5,4.5,15,9,5,20,-
6110,,4.5,-30,0.45,1.42,15,43,9,5,0.8,2,20,4.5,4.5,4.5,15,9,5,20,-
6200,,4,-60,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6210,,6.5,-5,0,1.9,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6211,,7,-40,0.3,1.42,15,50,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6212,,5.8,-40,0.2,1.9,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6213,,5.8,-40,0.2,1.9,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6214,,6.5,-40,0.2,1.9,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6215,,10,30,0.4,4.5,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6230,,4.5,-40,0.6,1.5,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6280,,5.5,-25,0.4,1.6,30,47,20,12,0.8,2,20,4.5,4.5,4.5,30,20,12,20,-
6281,,4.5,-20,0.6,1.7,30,47,20,12,0.8,2,20,4.5,4.5,4.5,30,20,12,20,-
6320,,4.4,-60,0.3,1.5,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6800,,5.4,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6900,,6.5,-40,0.4,1.9,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6910,,6,-40,0.38,1.8,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6920,,5.5,-40,0.36,1.7,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6930,,5,-40,0.34,1.6,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6940,,4.5,-40,0.32,1.5,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6998,,4,-40,0.3,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
6999,,4,-40,0.45,1.42,15,43,9,5,0.8,2,20,4.5,4.5,4.5,15,9,5,20,-
7300,,5,-20,0.3,1.5,15,50,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
7370,[FDP] Anole _ starting point -- 【FDP】アノール_スタート地点,4.5,-20,0.3,1.5,15,46,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
7510,,4.5,-20,0.3,1.5,15,46,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
8000,[FDP] Ceiling Low Place -- 【FDP】天井低い場所,4,-40,0.4,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
9000,[FDP] for servant ride -- 【FDP】下男乗車用,2.6,-79,1,1.8,15,38,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10000,Short distance camera -- 近距離カメラ,2.2,-40,0.6,1.22,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10001,Medium Range Camera -- 中距離カメラ,3.2,-40,0.6,1.15,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10002,Long Distance Camera -- 遠距離カメラ,6,-20,0.4,1.7,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10003,Dark Rock -- 暗闇ロック,4,-40,0.6,1.42,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
10004,【 Protomap 】 Darkness -- 【プロトマップ】暗闇,4,-50,0.6,1.64,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
10005,[Protomap] a little wide -- 【プロトマップ】ちょっと広い,4.3,-40,0.4,1.32,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10006,[FDP] Test -- 【FDP】テスト,10,-40,0.4,1.32,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10100,[FDP] Narrow-wide test _ narrow camera -- 【FDP】狭～広テスト_狭いカメラ,4.3,-40,0.4,1.32,15,38,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10101,[FDP] Narrow to wide test _ wide Camera -- 【FDP】狭～広テスト_広いカメラ,7,-40,0.4,1.32,15,48,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10102,[FDP] Stoning machine test -- 【FDP】投石機テスト,5,-40,0.4,1.32,15,48,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10103,[FDP] Death of a stoned machine -- 【FDP】投石機死亡,2.7,-40,0.6,-0.7,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10104,[FDP] death-following stoning machine -- 【FDP】投石機死亡追従,2.7,-40,0.6,-1.7,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10120,[FDP] is swallowed slime -- 【FDP】スライム飲み込まれ,6,-10,0.5,1.42,15,38,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10121,[FDP] is swallowed slime -- 【FDP】スライム飲み込まれ,20,80,0.5,1.42,15,38,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10200,[FDP] Entrance door of the candle room -- 【FDP】蝋燭部屋の入り口扉,1,-30,0.5,1.63,15,38,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10201,[FDP] Candle Room camera -- 【FDP】蝋燭部屋カメラ,2.4,-40,0.5,1.42,15,43,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10202,[FDP] Candle room warp camera -- 【FDP】蝋燭部屋ワープ時カメラ,1.3,40,0.1,1.42,7,40,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
10300,[FDP] Wolf Kara -- 【FDP】ウルフ飛び掛かられ時,2.5,50,0.1,0,15,46,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
10400,[FDP] Player map start -- 【FDP】プレイヤーマップスタート時,3.2,-40,0.1,1.15,7,43,4.66,2.8,0.8,2,20,4.5,4.5,2.8,7,4.66,2.8,20,-
90000,Covert Camera-Zoom in -- 隠密カメラ-ズームイン,1,-40,0.6,1.75,15,20,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
90001,Covert Camera-Zoom Out -- 隠密カメラ-ズームアウト,8,20,0.4,1.3,15,20,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
90010,Monster House Boss Camera -- モンスターハウスボス用カメラ,6,-40,0.3,1.42,15,45,10,6,0.8,2,20,4.5,4.5,4.5,15,10,6,20,-
99000,,4,-40,0.6,1.42,15,43,-1,-1,0,0,0,0,0,0,0,0,0,0,-
99010,,4,-40,0.6,1.42,15,43,-1,-1,0,0,0,0,0,0,0,0,0,0,-
