#ActionButtonParam=ACTIONBUTTON_PARAM_ST
ID,Name,regionType,pad1,dummyPoly1,dummyPoly2,Radius,Angle,depth,width,height,baseHeightOffset,angleCheckType,pad2,AllowAngle,textBoxType,pad3,textId,InvalidFlag,grayoutFlag,priority,execInvalidTime,execButtonCircle,pad4
6001,Skip Conversation -- 会話スキップ,0,-,-1,-1,1.2,180,0,0,1.5,-0.75,0,-,90,0,-,10010200,-1,-1,4,0,1,-
6010,,0,-,-1,-1,7,180,0,0,1.5,-0.75,0,-,90,0,-,10010220,-1,-1,4,3,1,-
6011,,0,-,-1,-1,9,180,0,0,1.5,-0.75,0,-,90,0,-,10010221,-1,-1,4,3,1,-
6012,,0,-,-1,-1,4.5,60,0,0,0.8,-0.75,0,-,90,0,-,10010222,-1,-1,4,3,1,-
6013,,0,-,-1,-1,4.5,60,0,0,1.5,-0.75,0,-,90,0,-,10010223,-1,-1,4,3,1,-
6016,,0,-,-1,-1,7,180,0,0,2,-1.5,0,-,90,0,-,10010226,-1,-1,4,3,1,-
6017,,0,-,-1,-1,7,180,0,0,2,-1.5,0,-,90,0,-,10010100,-1,-1,4,3,1,-
6018,,0,-,-1,-1,4.5,60,0,0,2,-1.5,0,-,90,0,-,10010227,-1,-1,4,3,1,-
6030,,0,-,-1,-1,2.5,180,0,0,1.5,-0.75,0,-,90,0,-,10010240,-1,-1,4,3,1,-
6031,,0,-,-1,-1,5,180,0,0,1.5,-0.75,0,-,90,0,-,10010228,-1,-1,4,3,1,-
6100,Light a bonfire -- 篝火を灯す,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010182,-1,-1,3,3,1,-
6101,They rest in bonfire -- 篝火で休息する,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010183,-1,-1,3,3,1,-
6102,,0,-,-1,-1,2,180,0,0,1,-0.25,0,-,90,0,-,10010183,-1,-1,3,3,1,-
6120,,0,-,-1,-1,2,180,0,0,0.48,-0.249,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6130,,0,-,-1,-1,7,180,0,0,3,-6.5,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6131,,0,-,-1,-1,4,150,0,0,2.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6132,,0,-,-1,-1,4,150,0,0,2.5,-1.25,0,-,90,0,-,10010100,-1,-1,4,3,1,-
6150,,0,-,-1,-1,2.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6160,,0,-,-1,-1,2,60,0,0,1.5,-0.75,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6161,,0,-,-1,-1,2,60,0,0,1.5,-0.75,0,-,90,0,-,10010210,-1,-1,3,3,1,-
6170,,0,-,-1,-1,1.5,180,0,0,1.5,-0.75,0,-,90,0,-,10010100,-1,-1,4,3,1,-
6180,,0,-,-1,-1,2.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6190,,0,-,90,-1,2.5,180,0,0,2.5,-1.75,0,-,180,0,-,10010101,-1,-1,5,3,1,-
6210,,0,-,-1,-1,2.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6230,,0,-,-1,-1,3.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6260,,0,-,-1,-1,2.5,60,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6270,,0,-,-1,-1,2.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6290,,0,-,-1,-1,1.5,180,0,0,1.5,-0.25,0,-,90,0,-,10010138,-1,-1,4,3,1,-
6300,,0,-,-1,-1,4.5,180,0,0,1,-0.25,0,-,90,0,-,10010200,-1,-1,2,3,1,-
6310,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6311,,0,-,-1,-1,7,180,0,0,1,-0.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6330,,0,-,-1,-1,2,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6380,,0,-,-1,-1,2,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6600,,0,-,-1,-1,1.5,180,0,0,2,-2,0,-,90,0,-,10010573,-1,-1,4,3,1,-
6610,,0,-,-1,-1,4,180,0,0,1,-0.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6630,,0,-,-1,-1,2.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6631,,0,-,-1,-1,2.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010202,-1,-1,3,3,1,-
6640,,0,-,-1,-1,2.5,90,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6641,,0,-,-1,-1,2.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6650,,0,-,-1,-1,2.5,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6690,,0,-,-1,-1,2.5,180,0,0,2,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6730,"CA - conversation ",0,-,-1,-1,2,180,0,0,1.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6830,,0,-,-1,-1,2,180,0,0,2,-0.75,0,-,90,0,-,10010200,-1,-1,4,3,1,-
6860,,0,-,-1,-1,2.5,180,0,0,2.5,-1.25,0,-,90,0,-,10010200,-1,-1,4,3,1,-
7100,Open Doors _ General purpose -- 扉を開ける_汎用,0,-,100,-1,1.2,60,0,0,1,-0.25,0,-,90,0,-,10010400,-1,-1,3,3,1,-
7101,Open Doors _ General-purpose 101 standards -- 扉を開ける_汎用 101基準,0,-,101,-1,1.2,60,0,0,1,-0.25,0,-,90,0,-,10010400,-1,-1,3,3,1,-
7110,Close the door _ generic -- 扉を閉める_汎用,0,-,100,-1,1.2,60,0,0,1,-0.25,0,-,90,0,-,10010401,-1,-1,3,3,1,-
7200,Open the door _ generic (disabled guest) -- 扉を開ける_汎用（ゲスト無効）,0,-,100,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,201,-1,3,3,1,-
7201,,0,-,101,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,201,-1,3,3,1,-
7202,,0,-,100,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,6001,-1,3,3,1,-
8000,Open Treasure Chest -- 宝箱を開ける,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010420,-1,-1,3,3,1,-
8010,Open Treasure Chest -- 宝箱を開ける,0,-,-1,-1,1.2,70,0,0,1,-0.25,0,-,45,0,-,10010400,-1,-1,3,3,1,-
8100,Lift Open the Door -- 扉を開ける_持ち上げ,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010400,-1,-1,3,3,1,-
8200,Start a gimmick -- 仕掛けを起動する,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010501,-1,-1,3,3,1,-
8300,Launch lever -- レバーを起動,0,-,192,-1,1.5,90,0,0,2,-0.8,0,-,90,0,-,10010501,-1,-1,1,3,1,-
8310,Ojo 1 vertical lever to launch lever -- レバーを起動 王城1縦レバー,0,-,190,-1,1.5,90,0,0,2,-0.8,0,-,90,0,-,10010501,-1,-1,1,3,1,-
8320,,0,-,192,-1,1.5,90,0,0,2,-0.8,0,-,90,0,-,10010501,201,-1,1,3,1,-
8340,,0,-,190,-1,1.5,90,0,0,2,-0.8,0,-,90,0,-,10010501,201,-1,1,3,1,-
8350,,0,-,190,-1,1.5,90,0,0,2,-0.8,0,-,90,0,-,10010501,201,-1,1,3,1,-
8500,Entering the wall of Light (test) -- 光の壁に入る（テスト）,1,-,-1,-1,0,0,1.5,1.5,1,-0.25,1,-,180,0,-,10010403,-1,-1,3,-1,1,-
8501,Entering the wall of Light (test 2) -- 光の壁に入る（テスト2）,0,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,180,0,-,10010403,-1,-1,3,3,1,-
8502,CA-enter fog-high wall,1,-,101,-1,0,0,2,3,3,-0.25,1,-,180,0,-,10010403,-1,-1,3,-1,1,-
8503,CA-fog wall-dreg heap 2,1,-,-1,-1,0,0,1.5,1.5,1,-0.25,1,-,180,0,-,10010403,-1,-1,3,-1,1,-
8900,Pull out a sword from the Segunda grave -- グンダの墓標から剣を抜く,0,-,100,-1,1.5,180,0,0,2,-0.25,0,-,180,0,-,10010195,-1,-1,3,3,1,-
8901,Pull a sword from the Segunda Grave 2 -- グンダの墓標から剣を抜く2,0,-,101,-1,1.5,180,0,0,2,-0.8,0,-,180,0,-,10010195,-1,-1,1,3,1,-
8910,Simple Bonfire message -- 簡易篝火のメッセージ,0,-,-1,-1,1.5,180,0,0,2,-0.25,0,-,180,0,-,90000025,-1,-1,3,3,1,-
8920,Behind the door open -- 扉を開ける_裏側,0,-,101,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,-1,-1,3,3,1,-
9000,For events -- イベント用,1,-,-1,-1,0,0,1.5,1.5,1,-0.25,1,-,180,0,-,0,-1,-1,3,3,1,-
9010,FDP Play kneel for events _ the evil spirits -- イベント用 FDPプレイアブル版_邪霊に跪く,0,-,-1,-1,10,45,0,0,2,-1,0,-,42,0,-,10010210,-1,-1,3,3,1,-
9011,FDP play for events seal the evil spirits -- イベント用 FDPプレイアブル版_邪霊を封印,0,-,-1,-1,10,45,0,0,2,-1,0,-,42,0,-,90000026,-1,-1,3,3,1,-
9100,Warp from the event base -- イベント用 拠点からのワープ,0,-,101,-1,1.5,180,0,0,5,-0.25,0,-,180,0,-,10010100,-1,-1,4,3,1,-
9101,Warp from event base to Las Boss -- イベント用 拠点からラスボスへのワープ,0,-,-1,-1,1.5,180,0,0,5,-0.25,0,-,180,0,-,10010210,-1,-1,99,3,1,-
9200,Examining (for basilica brought) -- 調べる（聖堂蹴落とし用）,0,-,194,-1,1.5,90,0,0,5,-0.25,0,-,90,0,-,10010500,201,-1,4,3,1,-
9300,M37_ Anole Revolving Bridge _ Lever (right) -- m37_アノール回転橋_レバー（右側）,0,-,101,-1,1.5,60,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,4,3,1,-
9301,M37_ Anole Revolving Bridge _ Lever (left) -- m37_アノール回転橋_レバー（左側）,0,-,103,-1,1.5,60,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,4,3,1,-
9310,,1,-,101,-1,0,0,1.5,4.5,1,-0.25,0,-,90,0,-,10010142,13700540,-1,4,3,1,-
9311,CA- route from thief room,1,-,101,-1,0,0,1.5,2,1,-0.25,0,-,90,0,-,10010227,13700540,-1,4,3,1,-
9312,CA- into memory,1,-,90,-1,0,0,2.3,2.3,1,-0.25,0,-,90,0,-,10010227,13700540,-1,4,3,1,-
9313,CA- border of general front,1,-,101,-1,0,0,1.5,4.5,1,-0.25,0,-,90,0,-,10010142,15000711,-1,4,3,1,-
9314,CA- boreder of general back,1,-,101,-1,0,0,1.5,4.5,1,-0.25,0,-,90,0,-,10010142,15000713,-1,4,3,1,-
9320,M38 (right) -- m38 廃都 バリスタ 回転レバー（右側）,0,-,101,-1,1.5,60,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,4,3,1,-
9321,M38 (left) -- m38 廃都 バリスタ 回転レバー（左側）,0,-,103,-1,1.5,60,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,4,3,1,-
9322,,0,-,200,-1,2.6,180,0,0,1.25,-0.5,0,-,90,0,-,10010134,13800800,-1,4,3,1,-
9330,M33 Poison swamp forest fire Jigitai -- m33 毒沼の森 火継ぎ台,0,-,100,-1,1.5,180,0,0,5,-0.25,0,-,180,0,-,10010130,-1,-1,4,3,1,-
9331,,0,-,100,-1,1,60,0,0,5,-0.25,0,-,90,0,-,10010400,-1,-1,4,3,1,-
9332,,0,-,100,-1,2,180,0,0,5,-0.25,0,-,90,0,-,10010400,-1,-1,4,3,1,-
9333,,0,-,200,-1,1.5,180,0,0,5,-1,0,-,90,0,-,10010113,-1,-1,4,3,1,-
9334,,0,-,0,-1,1.5,180,0,0,5,-1,0,-,180,0,-,2110002,-1,-1,0,3,1,-
9340,,0,-,100,-1,2.1,180,0,0,5,-1,0,-,180,0,-,10010100,-1,-1,99,3,1,-
9341,,0,-,0,-1,1.5,180,0,0,5,-1,0,-,180,0,-,10010109,-1,-1,0,3,1,-
9342,,0,-,-1,-1,1.5,180,0,0,5,-0.25,0,-,180,0,-,10010108,-1,-1,1,3,1,-
9343,,0,-,-1,-1,1.5,180,0,0,5,-0.25,0,-,180,0,-,15000330,-1,-1,1,3,1,-
9344,,0,-,-1,-1,1.5,180,0,0,5,-0.25,0,-,180,0,-,10010570,-1,-1,1,3,1,-
9350,,0,-,190,-1,2,120,0,0,5,-1,0,-,90,0,-,10010100,-1,-1,99,3,1,-
9351,,0,-,190,-1,2,60,0,0,5,-1,0,-,42,0,-,10010141,-1,-1,4,3,1,-
9352,,0,-,0,-1,2,60,0,0,5,-1,0,-,42,0,-,10010141,-1,-1,99,3,1,-
9353,,0,-,0,-1,2.4,90,0,0,5,-2,0,-,90,0,-,10010140,-1,-1,99,3,1,-
9355,,0,-,90,-1,1.5,180,0,0,2.3,-1.3,0,-,180,0,-,10010101,-1,-1,5,3,1,-
9356,,0,-,0,-1,1.5,180,0,0,2.3,-1.3,0,-,180,0,-,10010143,-1,-1,5,3,1,-
9360,,0,-,0,-1,1.5,180,0,0,5,-1,0,-,180,0,-,10010150,-1,-1,0,3,1,-
9361,,0,-,0,-1,1.5,180,0,0,5,-1,0,-,180,0,-,10010150,-1,-1,0,3,1,-
9362,,0,-,0,-1,1.5,180,0,0,5,-1,0,-,180,0,-,10010150,-1,-1,0,3,1,-
9370,,0,-,200,-1,1.7,180,1.5,1.5,2,-0.75,1,-,90,0,-,10010550,201,-1,3,-1,1,-
9371,,0,-,200,-1,1.7,180,1.5,1.5,2,-0.75,1,-,90,0,-,10010550,201,-1,3,-1,1,-
9372,,0,-,192,-1,1.7,180,1.5,1.5,2,-0.75,1,-,90,0,-,10010551,201,-1,3,-1,1,-
9373,,0,-,203,-1,5.5,75,0,0,1,-0.25,0,-,90,0,-,10010200,14500800,-1,4,-1,1,-
9380,,0,-,-1,-1,6.5,180,0,0,7,-4.25,0,-,180,0,-,10010571,-1,-1,4,3,1,-
9390,,0,-,80,-1,3,180,0,0,3,-1.5,0,-,90,0,-,10010572,-1,-1,4,3,1,-
9391,,0,-,0,-1,1.5,180,0,0,2.3,-1.3,0,-,55,0,-,10010143,201,-1,5,3,1,-
9400,Messenger Tombstone (not ignited) -- メッセンジャー墓石（未点火）,0,-,100,-1,1.5,90,0,0,1,-0.25,0,-,90,0,-,61000000,201,-1,4,3,1,-
9401,Messenger Tombstone (already ignited) * Text difference -- メッセンジャー墓石（点火済）※テキスト違い,0,-,100,-1,1.5,90,0,0,1,-0.25,0,-,90,0,-,61000010,201,-1,4,3,1,-
9410,Messenger Tombstone (not ignited) -- メッセンジャー墓石（未点火）,0,-,100,-1,1.5,90,0,0,1,-1,0,-,90,0,-,61000000,201,-1,4,3,1,-
9411,Messenger Tombstone (already ignited) * Text difference -- メッセンジャー墓石（点火済）※テキスト違い,0,-,100,-1,1.5,90,0,0,1,-1,0,-,90,0,-,61000010,201,-1,4,3,1,-
9500,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010200,-1,-1,4,3,1,-
9510,,0,-,-1,-1,3,180,0,0,1,-0.25,0,-,180,0,-,10010100,-1,-1,4,3,1,-
9511,传送测试,0,-,-1,-1,3,180,0,0,5,-0.25,0,-,180,0,-,10010100,-1,-1,1,3,1,-
9600,,0,-,1,-1,1.5,90,0,0,1.5,-0.25,0,-,180,0,-,10010113,-1,-1,4,3,1,-
9700,,0,-,90,-1,1.5,180,0,0,2.3,-1.3,0,-,180,0,-,10010100,-1,-1,5,3,1,-
9701,,0,-,90,-1,1.5,180,0,0,2.5,-1.5,0,-,180,0,-,10010100,-1,-1,5,3,1,-
9997,Find out (Ojo 1 saloon) -- 調べる（王城1大広間）,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010100,13005862,-1,4,3,1,-
9998,,0,-,-1,-1,1.5,180,0,0,1.5,-0.25,0,-,180,0,-,10010112,-1,-1,4,3,1,-
9999,Inspect (for City/bridge warp obj) -- 調べる（街/橋ワープOBJ（仮）用）,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010100,-1,-1,4,3,1,-
10000,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,-1,-1,3,-1,1,-
3000250,For the treasure corpse that broke from the vase -- 壺から壊した宝死体用,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,10010101,-1,-1,5,3,1,-
3001800,Entering the wall of light (Ojo 1 Full Armor Beast) -- 光の壁に入る（王城１　フルアーマー獣）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13000800,-1,3,-1,1,-
3001810,,0,-,-1,-1,6.5,180,0,0,7,-4.25,0,-,180,0,-,10010131,-1,-1,4,3,1,-
3001830,Entering the wall of light (Ojo 1 dragon) -- 光の壁に入る（王城１　竜の御使い）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13000830,-1,3,-1,1,-
3001890,Entering the wall of Light (Ojo 1 E3 version Tracker) -- 光の壁に入る（王城１　E3版追跡者）,1,-,101,-1,0,0,1.5,0.6,1,-0.25,1,-,90,0,-,10010403,13000890,-1,3,-1,1,-
3001895,,0,-,10,-1,1,180,0,0,1,-0.25,1,-,180,0,-,10010132,-1,-1,3,-1,1,-
3011800,Entering the wall of Light (Ojo 2 Dragon's Guardian Knight) -- 光の壁に入る（王城２　竜の守護騎士）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13010800,-1,3,-1,1,-
3100000,Should probably rely to servant -- 下男にオンブしてもらう,1,-,50,-1,0,0,1.5,1.5,3,-2.3,1,-,90,0,-,10010100,-1,-1,3,-1,1,-
3101510,,0,-,100,-1,1.2,90,0,0,1,-0.25,0,-,90,0,-,10010400,13105511,-1,3,3,1,-
3101800,Entering the wall of Light (city) -- 光の壁に入る（街）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13110800,-1,3,-1,1,-
3201800,Entering the wall of Light (bridge _ The nest of a flying dragon) -- 光の壁に入る（橋_飛竜の巣）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13200800,-1,3,-1,1,-
3201850,Entering the wall of Light (bridge _ on the bridge) -- 光の壁に入る（橋_橋の上）,1,-,101,-1,0,0,1.5,2,2,-0.25,1,-,90,0,-,10010403,13200850,-1,3,-1,1,-
3301800,Entering the wall of light (Poison swamp forest) -- 光の壁に入る（毒沼の森）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13300800,-1,3,-1,1,-
3301850,Entering the wall of light (elders of the Forest of poisonous swamp crystals) -- 光の壁に入る（毒沼の森　結晶の古老）,1,-,101,-1,0,0,1.5,1.5,1,-0.35,1,-,90,0,-,10010403,13300850,-1,3,-1,1,-
3411000,,0,-,0,-1,1.2,180,0,0,1,-0.25,0,-,180,0,-,10010135,-1,-1,4,3,1,-
3411830,Entering the wall of Light (Ojo 2) -- 光の壁に入る（王城２　闇の双皇子）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13410830,-1,3,-1,1,-
3411860,Entering the wall of Light (Ojo 2) -- 光の壁に入る（王城２　闇の双皇子　完全体）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13410860,-1,3,-1,1,-
3501700,,0,-,192,-1,1.5,90,0,0,2,-0.8,0,-,90,0,-,10010501,13500785,-1,1,3,1,-
3501800,Entering the wall of Light (Basilica Church _ Cardinal) -- 光の壁に入る（聖堂教会_枢機卿団）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13500800,-1,3,-1,1,-
3501850,Entering the wall of Light (Basilica Church _ Rosalia) -- 光の壁に入る（聖堂教会_ロザリア）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13500850,-1,3,-1,1,-
3601800,Entering the wall of the light (God's Tomb _ the Angel of the Dragon) -- 光の壁に入る（神墓_竜の御使い）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13600800,-1,3,-1,1,-
3701000,,0,-,101,-1,1.5,180,0,0,1,-0.25,0,-,90,0,-,10010502,-1,-1,4,3,1,-
3701800,Entering the wall of light (Anole _ Saliva) -- 光の壁に入る（アノール_サリヴァ―ン）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13700800,-1,3,-1,1,-
3701850,Entering the wall of Light (anole _ landmark Church) -- 光の壁に入る（アノール_ランドマーク教会）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13700850,-1,3,-1,1,-
3801800,Entering the wall of light (disused city _ Hallec) -- 光の壁に入る（廃都_ハレック）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13800800,-1,3,-1,1,-
3801830,Entering the wall of light (waste city _ sand Worm) -- 光の壁に入る（廃都_サンドワーム）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13800830,-1,3,-1,1,-
3801860,Entering the wall of light (disused city _ the demon of Ashes) -- 光の壁に入る（廃都_灰のデーモン）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,13800860,-1,3,-1,1,-
3901800,Entering the wall of Light (Dungeon) -- 光の壁に入る（地下牢）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010139,13900800,-1,3,-1,1,-
4001800,Entering the wall of Light (base) -- 光の壁に入る（拠点）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,14000800,-1,3,-1,1,-
4001830,Entering the wall of Light (base) -- 光の壁に入る（拠点）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,14000830,-1,3,-1,1,-
4001860,Entering the wall of light (stronghold _ Russ Boss) -- 光の壁に入る（拠点_ラスボス）,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,14000860,-1,3,-1,1,-
4101800,,1,-,101,-1,0,0,1.5,1.5,1,-0.25,1,-,90,0,-,10010403,14100800,-1,3,-1,1,-
4501800,,1,-,101,-1,0,0,1.5,1.9,1,-0.45,1,-,90,0,-,10010403,14500800,-1,3,-1,1,-
4501860,,1,-,101,-1,0,0,1.5,1.9,1,-0.45,1,-,90,0,-,10010403,14500860,-1,3,-1,1,-
5001800,,1,-,101,-1,0,0,1.5,1.5,1,-0.45,1,-,90,0,-,10010403,15000800,-1,3,-1,1,-
5101800,,1,-,101,-1,0,0,1.5,1.9,1,-0.45,1,-,90,0,-,10010403,15100800,-1,3,-1,1,-
5101850,,1,-,101,-1,0,0,1.5,1.9,1,-0.45,1,-,90,0,-,10010403,15100850,-1,3,-1,1,-
5111800,,1,-,101,-1,0,0,1.5,1.9,1,-0.45,1,-,90,0,-,10010403,15110800,-1,3,-1,1,-
