#ClearCountCorrectParam=CLEAR_COUNT_CORRECT_PARAM_ST
ID,Name,HP,Mana,Stamina,PhysDmg,slashDmg,blowDmg,thrustDmg,neutral,MagicDmg,FireDmg,ThunderDmg,DarkDmg,PhysResist,MagicResist,FireResist,ThunderResist,DarkResist,StaminaDmg,MpRecover,PoisonResist,ToxicResist,BleedResist,CurseResist,FrostResist,HpRecover,subMpRecover,subHpRecover,pad1
15,NG+15,2.23,1,2.033,2.311,1,1,1,2.311,2.311,2.311,2.311,2.311,1.328,1.328,1.328,1.328,1.328,2.327,2.033,1.736,1.736,1.736,1.736,1.736,1,0.552,1,-
16,NG+16,2.364,1,2.155,2.45,1,1,1,2.45,2.45,2.45,2.45,2.45,1.332,1.332,1.332,1.332,1.332,2.387,2.155,1.84,1.84,1.84,1.84,1.84,1,0.546,1,-
17,NG+17,2.506,1,2.284,2.597,1,1,1,2.597,2.597,2.597,2.597,2.597,1.336,1.336,1.336,1.336,1.336,2.448,2.284,1.95,1.95,1.95,1.95,1.95,1,0.541,1,-
18,NG+18,2.656,1,2.421,2.753,1,1,1,2.753,2.753,2.753,2.753,2.753,1.34,1.34,1.34,1.34,1.34,2.511,2.421,2.067,2.067,2.067,2.067,2.067,1,0.536,1,-
19,NG+19,2.815,1,2.566,2.918,1,1,1,2.918,2.918,2.918,2.918,2.918,1.344,1.344,1.344,1.344,1.344,2.575,2.566,2.191,2.191,2.191,2.191,2.191,1,0.531,1,-
20,NG+20,2.984,1,2.72,3.093,1,1,1,3.093,3.093,3.093,3.093,3.093,1.348,1.348,1.348,1.348,1.348,2.641,2.72,2.322,2.322,2.322,2.322,2.322,1,0.526,1,-
21,,3.163,1,2.883,3.279,1,1,1,3.279,3.279,3.279,3.279,3.279,1.352,1.352,1.352,1.352,1.352,2.709,2.883,2.461,2.461,2.461,2.461,2.461,1,0.521,1,-
22,,3.353,1,3.056,3.476,1,1,1,3.476,3.476,3.476,3.476,1.45,1.356,1.356,1.356,1.356,1.356,2.778,3.056,2.609,2.609,2.609,2.609,2.609,1,0.516,1,-
23,,3.554,1,3.239,3.685,1,1,1,3.685,3.685,3.685,3.685,3.685,1.36,1.36,1.36,1.36,1.36,2.849,3.239,2.766,2.766,2.766,2.766,2.766,1,0.511,1,-
24,,3.767,1,3.433,3.906,1,1,1,3.906,3.906,3.906,3.906,3.906,1.364,1.364,1.364,1.364,1.364,2.922,3.433,2.932,2.932,2.932,2.932,2.932,1,0.506,1,-
25,,3.993,1,3.639,4.14,1,1,1,4.14,4.14,4.14,4.14,4.14,1.368,1.368,1.368,1.368,1.368,2.997,3.639,3.108,3.108,3.108,3.108,3.108,1,0.501,1,-
26,,4.233,1,3.857,4.388,1,1,1,4.388,4.388,4.388,4.388,4.388,1.372,1.372,1.372,1.372,1.372,3.074,3.857,3.294,3.294,3.294,3.294,3.294,1,0.496,1,-
27,,4.487,1,4.088,4.651,1,1,1,4.651,4.651,4.651,4.651,4.651,1.376,1.376,1.376,1.376,1.376,3.153,4.088,3.492,3.492,3.492,3.492,3.492,1,0.491,1,-
28,,4.756,1,4.333,4.93,1,1,1,4.93,4.93,4.93,4.93,4.93,1.38,1.38,1.38,1.38,1.38,3.234,4.333,3.702,3.702,3.702,3.702,3.702,1,0.486,1,-
29,,5.041,1,4.593,5.226,1,1,1,5.226,5.226,5.226,5.226,5.226,1.384,1.384,1.384,1.384,1.384,3.317,4.593,3.924,3.924,3.924,3.924,3.924,1,0.481,1,-
30,NG+30,5.343,1,4.869,5.54,1,1,1,5.54,5.54,5.54,5.54,5.54,1.388,1.388,1.388,1.388,1.388,3.402,4.869,4.159,4.159,4.159,4.159,4.159,1,0.476,1,-
31,,5.664,1,5.161,5.872,1,1,1,5.872,5.872,5.872,5.872,5.872,1.392,1.392,1.392,1.392,1.392,3.489,5.161,4.409,4.409,4.409,4.409,4.409,1,0.471,1,-
32,,6.004,1,5.471,6.224,1,1,1,6.224,6.224,6.224,6.224,6.224,1.396,1.396,1.396,1.396,1.396,3.578,5.471,4.674,4.674,4.674,4.674,4.674,1,0.466,1,-
33,,6.364,1,5.799,6.597,1,1,1,6.597,6.597,6.597,6.597,6.597,1.4,1.4,1.4,1.4,1.4,3.67,5.799,4.954,4.954,4.954,4.954,4.954,1,0.461,1,-
34,,6.746,1,6.147,6.993,1,1,1,6.993,6.993,6.993,6.993,6.993,1.404,1.404,1.404,1.404,1.404,3.764,6.147,5.251,5.251,5.251,5.251,5.251,1,0.456,1,-
35,,7.151,1,6.516,7.413,1,1,1,7.413,7.413,7.413,7.413,7.413,1.408,1.408,1.408,1.408,1.408,3.861,6.516,5.566,5.566,5.566,5.566,5.566,1,0.451,1,-
36,,7.58,1,6.907,7.858,1,1,1,7.858,7.858,7.858,7.858,7.858,1.412,1.412,1.412,1.412,1.412,3.96,6.907,5.9,5.9,5.9,5.9,5.9,1,0.446,1,-
37,,8.035,1,7.321,8.329,1,1,1,8.329,8.329,8.329,8.329,8.329,1.416,1.416,1.416,1.416,1.416,4.062,7.321,6.254,6.254,6.254,6.254,6.254,1,0.442,1,-
38,,8.517,1,7.76,8.829,1,1,1,8.829,8.829,8.829,8.829,8.829,1.42,1.42,1.42,1.42,1.42,4.166,7.76,6.629,6.629,6.629,6.629,6.629,1,0.438,1,-
39,,9.028,1,8.226,9.359,1,1,1,9.359,9.359,9.359,9.359,9.359,1.424,1.424,1.424,1.424,1.424,4.273,8.226,7.027,7.027,7.027,7.027,7.027,1,8.226,1,-
40,NG+40,9.57,1,8.72,9.921,1,1,1,9.921,9.921,9.921,9.921,9.921,1.428,1.428,1.428,1.428,1.428,4.383,8.72,7.449,7.449,7.449,7.449,7.449,1,0.43,1,-
41,,10.144,1,9.243,10.516,1,1,1,10.516,10.516,10.516,10.516,10.516,1.432,1.432,1.432,1.432,1.432,4.495,9.243,7.896,7.896,7.896,7.896,7.896,1,0.426,1,-
42,,10.753,1,9.798,11.147,1,1,1,11.147,11.147,11.147,11.147,11.147,1.436,1.436,1.436,1.436,1.436,4.61,9.798,8.37,8.37,8.37,8.37,8.37,1,0.422,1,-
43,,11.398,1,10.386,11.816,1,1,1,11.816,11.816,11.816,11.816,11.816,1.44,1.44,1.44,1.44,1.44,4.728,10.386,8.872,8.872,8.872,8.872,8.872,1,0.418,1,-
44,,12.082,1,11.009,12.525,1,1,1,12.525,12.525,12.525,12.525,12.525,1.444,1.444,1.444,1.444,1.444,4.849,11.009,9.404,9.404,9.404,9.404,9.404,1,0.414,1,-
45,,12.807,1,11.67,13.277,1,1,1,13.277,13.277,13.277,13.277,13.277,1.448,1.448,1.448,1.448,1.448,4.973,11.67,9.968,9.968,9.968,9.968,9.968,1,0.41,1,-
46,,13.575,1,12.37,14.074,1,1,1,14.074,14.074,14.074,14.074,14.074,1.452,1.452,1.452,1.452,1.452,5.101,12.37,10.566,10.566,10.566,10.566,10.566,1,0.406,1,-
47,,14.39,1,13.112,14.918,1,1,1,14.918,14.918,14.918,14.918,14.918,1.456,1.456,1.456,1.456,1.456,5.232,13.112,11.2,11.2,11.2,11.2,11.2,1,0.402,1,-
48,,15.253,1,13.899,15.813,1,1,1,15.813,15.813,15.813,15.813,15.813,1.46,1.46,1.46,1.46,1.46,5.366,13.899,11.872,11.872,11.872,11.872,11.872,1,0.398,1,-
49,,16.168,1,14.733,16.762,1,1,1,16.762,16.762,16.762,16.762,16.762,1.464,1.464,1.464,1.464,1.464,5.504,14.733,12.584,12.584,12.584,12.584,12.584,1,0.394,1,-
50,NG+50,17.138,1,15.617,17.768,1,1,1,17.768,17.768,17.768,17.768,17.768,1.468,1.468,1.468,1.468,1.468,5.645,15.617,13.339,13.339,13.339,13.339,13.339,1,0.39,1,-
51,,18.166,1,16.554,18.834,1,1,1,18.834,18.834,18.834,18.834,18.834,1.472,1.472,1.472,1.472,1.472,5.79,16.554,14.139,14.139,14.139,14.139,14.139,1,0.386,1,-
52,,19.256,1,17.547,19.964,1,1,1,19.964,19.964,19.964,19.964,19.964,1.476,1.476,1.476,1.476,1.476,5.939,17.547,14.987,14.987,14.987,14.987,14.987,1,0.382,1,-
53,,20.411,1,18.6,21.162,1,1,1,21.162,21.162,21.162,21.162,21.162,1.48,1.48,1.48,1.48,1.48,6.091,18.6,15.886,15.886,15.886,15.886,15.886,1,0.378,1,-
54,,21.636,1,19.716,22.432,1,1,1,22.432,22.432,22.432,22.432,22.432,1.484,1.484,1.484,1.484,1.484,6.247,19.716,16.839,16.839,16.839,16.839,16.839,1,0.374,1,-
55,,22.934,1,20.899,23.778,1,1,1,23.778,23.778,23.778,23.778,23.778,1.488,1.488,1.488,1.488,1.488,6.407,20.899,17.849,17.849,17.849,17.849,17.849,1,0.37,1,-
56,,24.31,1,22.153,25.205,1,1,1,25.205,25.205,25.205,25.205,25.205,1.492,1.492,1.492,1.492,1.492,6.571,22.153,18.92,18.92,18.92,18.92,18.92,1,0.366,1,-
57,,25.769,1,23.482,26.717,1,1,1,26.717,26.717,26.717,26.717,26.717,1.496,1.496,1.496,1.496,1.496,6.74,23.482,20.055,20.055,20.055,20.055,20.055,1,0.362,1,-
58,,27.315,1,24.891,28.32,1,1,1,28.32,28.32,28.32,28.32,28.32,1.5,1.5,1.5,1.5,1.5,6.913,24.891,21.258,21.258,21.258,21.258,21.258,1,0.358,1,-
59,,28.954,1,26.384,30.019,1,1,1,30.019,30.019,30.019,30.019,30.019,1.504,1.504,1.504,1.504,1.504,7.09,26.384,22.533,22.533,22.533,22.533,22.533,1,0.354,1,-
60,NG+60,30.691,1,27.967,31.82,1,1,1,31.82,31.82,31.82,31.82,31.82,1.508,1.508,1.508,1.508,1.508,7.272,27.967,23.885,23.885,23.885,23.885,23.885,1,0.35,1,-
61,,32.532,1,29.645,33.729,1,1,1,33.729,33.729,33.729,33.729,33.729,1.512,1.512,1.512,1.512,1.512,7.459,29.645,25.318,25.318,25.318,25.318,25.318,1,0.347,1,-
62,,34.484,1,31.424,35.753,1,1,1,35.753,35.753,35.753,35.753,35.753,1.516,1.516,1.516,1.516,1.516,7.65,31.424,26.837,26.837,26.837,26.837,26.837,1,0.344,1,-
63,,36.553,1,33.309,37.898,1,1,1,37.898,37.898,37.898,37.898,37.898,1.52,1.52,1.52,1.52,1.52,7.846,33.309,28.447,28.447,28.447,28.447,28.447,1,0.341,1,-
64,,38.746,1,35.308,40.172,1,1,1,40.172,40.172,40.172,40.172,40.172,1.524,1.524,1.524,1.524,1.524,8.047,35.308,30.154,30.154,30.154,30.154,30.154,1,0.338,1,-
65,,41.071,1,37.426,42.582,1,1,1,42.582,42.582,42.582,42.582,42.582,1.528,1.528,1.528,1.528,1.528,8.253,37.426,31.963,31.963,31.963,31.963,31.963,1,0.335,1,-
66,,43.535,1,39.672,45.137,1,1,1,45.137,45.137,45.137,45.137,45.137,1.532,1.532,1.532,1.532,1.532,8.465,39.672,33.881,33.881,33.881,33.881,33.881,1,0.332,1,-
67,,46.147,1,42.052,47.845,1,1,1,47.845,47.845,47.845,47.845,47.845,1.536,1.536,1.536,1.536,1.536,8.682,42.052,35.914,35.914,35.914,35.914,35.914,1,0.329,1,-
68,,48.916,1,44.575,50.716,1,1,1,50.716,50.716,50.716,50.716,50.716,1.54,1.54,1.54,1.54,1.54,8.905,44.575,38.069,38.069,38.069,38.069,38.069,1,0.326,1,-
69,,51.851,1,47.25,53.759,1,1,1,53.759,53.759,53.759,53.759,53.759,1.544,1.544,1.544,1.544,1.544,9.133,47.25,40.353,40.353,40.353,40.353,40.353,1,0.323,1,-
70,NG+70,54.962,1,50.085,56.985,1,1,1,56.985,56.985,56.985,56.985,56.985,1.548,1.548,1.548,1.548,1.548,9.367,50.085,1.548,1.548,1.548,1.548,1.548,1,50.085,1,-
71,,58.26,1,53.09,60.404,1,1,1,60.404,60.404,60.404,60.404,60.404,1.552,1.552,1.552,1.552,1.552,9.607,53.09,45.34,45.34,45.34,45.34,45.34,1,0.317,1,-
72,,61.756,1,56.275,64.028,1,1,1,64.028,64.028,64.028,64.028,64.028,1.556,1.556,1.556,1.556,1.556,9.853,56.275,48.06,48.06,48.06,48.06,48.06,1,0.314,1,-
73,,65.461,1,59.652,67.87,1,1,1,67.87,67.87,67.87,67.87,67.87,1.56,1.56,1.56,1.56,1.56,10.106,59.652,50.944,50.944,50.944,50.944,50.944,1,0.311,1,-
74,,69.389,1,63.231,71.942,1,1,1,71.942,71.942,71.942,71.942,71.942,1.564,1.564,1.564,1.564,1.564,10.365,63.231,54.001,54.001,54.001,54.001,54.001,1,0.308,1,-
75,,73.552,1,67.025,76.259,1,1,1,76.259,76.259,76.259,76.259,76.259,1.568,1.568,1.568,1.568,1.568,10.631,67.025,57.241,57.241,57.241,57.241,57.241,1,0.305,1,-
76,,77.965,1,71.047,80.835,1,1,1,80.835,80.835,80.835,80.835,80.835,1.572,1.572,1.572,1.572,1.572,10.904,71.047,60.675,60.675,60.675,60.675,60.675,1,0.302,1,-
77,,82.643,1,75.31,85.685,1,1,1,85.685,85.685,85.685,85.685,85.685,1.576,1.576,1.576,1.576,1.576,11.184,75.31,64.316,64.316,64.316,64.316,64.316,1,0.299,1,-
78,,87.602,1,79.829,90.826,1,1,1,90.826,90.826,90.826,90.826,90.826,1.58,1.58,1.58,1.58,1.58,11.471,79.829,68.175,68.175,68.175,68.175,68.175,1,0.296,1,-
79,,92.858,1,84.619,96.276,1,1,1,96.276,96.276,96.276,96.276,96.276,1.584,1.584,1.584,1.584,1.584,11.765,84.619,72.266,72.266,72.266,72.266,72.266,1,0.293,1,-
80,NG+80,98.429,1,89.696,102.053,1,1,1,102.053,102.053,102.053,102.053,102.053,1.588,1.588,1.588,1.588,1.588,12.067,89.696,76.602,76.602,76.602,76.602,76.602,1,0.29,1,-
81,,104.335,1,95.078,108.176,1,1,1,108.176,108.176,108.176,108.176,108.176,1.592,1.592,1.592,1.592,1.592,12.377,95.078,81.198,81.198,81.198,81.198,81.198,1,0.287,1,-
82,,110.595,1,100.783,114.667,1,1,1,114.667,114.667,114.667,114.667,114.667,1.596,1.596,1.596,1.596,1.596,12.694,100.783,86.07,86.07,86.07,86.07,86.07,1,0.284,1,-
83,,117.231,1,106.83,121.547,1,1,1,121.547,121.547,121.547,121.547,121.547,1.6,1.6,1.6,1.6,1.6,13.02,106.83,91.234,91.234,91.234,91.234,91.234,1,0.281,1,-
84,,124.265,1,113.24,128.84,1,1,1,128.84,128.84,128.84,128.84,128.84,1.604,1.604,1.604,1.604,1.604,13.354,113.24,96.708,96.708,96.708,96.708,96.708,1,0.278,1,-
85,,131.721,1,120.034,136.57,1,1,1,136.57,136.57,136.57,136.57,136.57,1.608,1.608,1.608,1.608,1.608,13.697,120.034,102.51,102.51,102.51,102.51,102.51,1,0.275,1,-
86,,139.624,1,127.236,144.764,1,1,1,144.764,144.764,144.764,144.764,144.764,1.612,1.612,1.612,1.612,1.612,14.048,127.236,108.661,108.661,108.661,108.661,108.661,1,0.272,1,-
87,,148.001,1,134.87,115.181,1,1,1,115.181,115.181,115.181,115.181,115.181,1.616,1.616,1.616,1.616,1.616,14.408,134.87,115.181,115.181,115.181,115.181,115.181,1,0.269,1,-
88,,156.881,1,142.962,162.657,1,1,1,162.657,162.657,162.657,162.657,162.657,1.62,1.62,1.62,1.62,1.62,14.778,142.962,122.092,122.092,122.092,122.092,122.092,1,0.266,1,-
89,,166.294,1,151.54,172.416,1,1,1,172.416,172.416,172.416,172.416,172.416,1.624,1.624,1.624,1.624,1.624,15.157,151.54,129.418,129.418,129.418,129.418,129.418,1,0.263,1,-
90,NG+90,176.272,1,160.632,182.761,1,1,1,182.761,182.761,182.761,182.761,182.761,1.628,1.628,1.628,1.628,1.628,15.546,160.632,137.183,137.183,137.183,137.183,137.183,1,0.26,1,-
91,,186.848,1,170.27,193.727,1,1,1,193.727,193.727,193.727,193.727,193.727,1.632,1.632,1.632,1.632,1.632,15.945,170.27,145.414,145.414,145.414,145.414,145.414,1,0.257,1,-
92,,198.059,1,180.486,205.351,1,1,1,205.351,205.351,205.351,205.351,205.351,1.636,1.636,1.636,1.636,1.636,16.354,180.486,154.139,154.139,154.139,154.139,154.139,1,0.254,1,-
93,,209.943,1,191.315,217.672,1,1,1,217.672,217.672,217.672,217.672,217.672,1.64,1.64,1.64,1.64,1.64,16.773,191.315,163.387,163.387,163.387,163.387,163.387,1,0.251,1,-
94,,222.54,1,202.794,230.732,1,1,1,230.732,230.732,230.732,230.732,230.732,1.644,1.644,1.644,1.644,1.644,17.203,202.794,173.19,173.19,173.19,173.19,173.19,1,0.248,1,-
95,,235.892,1,214.962,244.576,1,1,1,244.576,244.576,244.576,244.576,244.576,1.648,1.648,1.648,1.648,1.648,17.644,214.962,183.581,183.581,183.581,183.581,183.581,1,0.246,1,-
96,,250.046,1,227.86,259.251,1,1,1,259.251,259.251,259.251,259.251,259.251,1.652,1.652,1.652,1.652,1.652,18.097,227.86,194.596,194.596,194.596,194.596,194.596,1,0.244,1,-
97,,265.049,1,241.532,274.806,1,1,1,274.806,274.806,274.806,274.806,274.806,1.656,1.656,1.656,1.656,1.656,18.561,241.532,206.272,206.272,206.272,206.272,206.272,1,0.242,1,-
98,,280.952,1,256.024,291.294,1,1,1,291.294,291.294,291.294,291.294,291.294,1.66,1.66,1.66,1.66,1.66,19.037,256.024,218.648,218.648,218.648,218.648,218.648,1,0.24,1,-
99,,297.809,1,271.385,308.772,1,1,1,308.772,308.772,308.772,308.772,308.772,1.664,1.664,1.664,1.664,1.664,19.525,271.385,231.767,231.767,231.767,231.767,231.767,1,0.238,1,-
100,NG+100,315.678,1,287.668,327.298,1,1,1,327.298,327.298,327.298,327.298,327.298,1.668,1.668,1.668,1.668,1.668,20.026,287.668,245.673,245.673,245.673,245.673,245.673,1,0.236,1,-
