#HitEffectSfxParam=HIT_EFFECT_SFX_PARAM_ST
ID,Name,HitSfxId0,HitSfxId1,HitSfxId2,HitSfxId3,HitSfxId4,HitSfxId5,HitSfxId6,HitSfxId7,HitSfxId8,HitSfxId9,HitSfxId10,HitSfxId11,HitSfxId12,HitSfxId13,HitSfxId14,HitSfxId15,pad1
240,Fluid -- 体液,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
250,Drool -- よだれ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
260,Maggots -- 蛆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
270,Wax -- 蝋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
280,Insect fluids -- 虫体液,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
290,Humanity -- 人間性,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300,Hair fragments -- 毛片,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
310,Feathers -- 羽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
320,Carrion pieces -- 腐肉片,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
330,Ash Daemon -- 灰デーモン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
340,Lava -- 溶岩,234000,234401,234402,234402,234000,234400,234401,234402,234402,234400,234400,234401,234402,234402,234400,0,-
350,Spirits -- 霊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
360,Ghost White -- ゴーストホワイト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
370,Ghost Black -- ゴーストブラック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
380,Flame -- 炎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
390,Lightning -- 雷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
400,Seoul -- ソウル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
410,Poison -- 毒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
420,Caries map -- 蝕マップ,242001,242001,242001,242001,242001,242001,242001,242001,242001,242001,242001,242001,242001,242001,242001,0,-
430,Fire Powder and Flame -- 火の粉と炎,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,0,-
440,Eclipse hits (gas) -- 蝕ヒット(気体),244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,0,-
450,Eclipse hits (liquid) -- 蝕ヒット(液体),245001,245001,245001,245001,245001,245001,245001,245001,245001,245001,245001,245001,245001,245001,245001,0,-
460,Energy (Strong) -- エネルギー(強),246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,0,-
470,Preliminary -- 予備,247000,247001,247002,247002,247000,247000,247001,247002,247002,247000,247000,247001,247002,247002,247000,0,-
480,Preliminary -- 予備,248000,248001,248002,248003,248000,248000,248001,248002,248003,248000,248000,248001,248002,248003,248000,0,-
490,Preliminary -- 予備,248000,248001,248002,248003,248000,248000,248001,248002,248003,248000,248000,248001,248002,248003,248000,0,-
500,Preliminary -- 予備,248000,248001,248002,248003,248000,248000,248001,248002,248003,248000,248000,248001,248002,248003,248000,0,-
510,Preliminary -- 予備,251000,251001,251002,251003,251000,251000,251001,251002,251003,251000,251000,251001,251002,251003,251000,0,-
520,Preliminary -- 予備,260000,260001,260002,260003,260000,260000,260001,260002,260003,260000,260000,260001,260002,260003,260000,0,-
521,,260100,260101,260102,260103,260100,260100,260101,260102,260103,260100,260100,260101,260102,260103,260100,0,-
522,,260200,260201,260202,260203,260200,260200,260201,260202,260203,260200,260200,260201,260202,260203,260200,0,-
523,,260300,260301,260302,260303,260300,260300,260301,260302,260303,260300,260300,260301,260302,260303,260300,0,-
524,,260400,260401,260402,260403,260400,260400,260401,260402,260403,260400,260400,260401,260402,260403,260400,0,-
530,Preliminary -- 予備,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
540,Preliminary -- 予備,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
550,Preliminary -- 予備,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
560,Preliminary -- 予備,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
570,Preliminary -- 予備,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
580,Preliminary -- 予備,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
590,Preliminary -- 予備,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
600,Preliminary -- 予備,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
991,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
