#CalcCorrectGraph=CACL_CORRECT_GRAPH_ST
ID,Name,stageMaxVal0,stageMaxVal1,stageMaxVal2,stageMaxVal3,stageMaxVal4,stageMaxGrowVal0,stageMaxGrowVal1,stageMaxGrowVal2,stageMaxGrowVal3,stageMaxGrowVal4,adjPt_maxGrowVal0,adjPt_maxGrowVal1,adjPt_maxGrowVal2,adjPt_maxGrowVal3,adjPt_maxGrowVal4,init_inclination_soul,adjustment_value,boundry_inclination_soul,boundry_value,pad1
13,13: Glimmer Stone -- 13:微光石,1,15,40,60,99,1,15,85,95,100,1,1,1,1,1,0,0,0,0,-
14,14: Magic Shield Stone -- 14:魔法盾石,1,15,30,45,99,0,10,55,75,100,1,1,1,1,1,0,0,0,0,-
15,15: Ore Spirit DS -- 15:鉱石の精霊DS,1,15,30,45,99,0,25,75,90,100,1,1,1,1,1,0,0,0,0,-
16,16: DS -- 16:ＤＳ,1,18,45,60,99,0,0,65,90,100,1,1,1,1,1,0,0,0,0,-
50,,0,0.04,0.16,0.2,0.3,1,0.9,0.4,0.25,0,1,1,1,1,1,0,0,0,0,-
51,,0,0.1,0.3,0.5,1,0,0,0.3,0.6,1,1,1,1,1,1,0,0,0,0,-
100,VIG - HP Scaling,1,20,40,50,99,500,1000,1650,1782,1847,2,-1.2,-1.5,-1.2,1,0,0,0,0,-
101,ATN - FP Scaling,1,15,35,60,99,75,180,420,525,675,1.1,1.2,-1.2,-1.1,1,0,0,0,0,-
102,Defense Force (Seoul level) -- 防御力（ソウルレベル）,1,150,170,240,891,40,100,110,120,150,1,1,1,1,1,0,0,0,0,-
110,Poison tolerance (Soul level) -- 毒耐性（ソウルレベル）,1,150,190,240,891,90,120,160,175,200,1,1,1,1,1,0,0,0,0,-
111,Plague Resistance (Seoul level) -- 疫病耐性（ソウルレベル）,1,150,190,240,891,90,120,160,175,200,1,1,1,1,1,0,0,0,0,-
112,Bleeding tolerance (Seoul level) -- 出血耐性（ソウルレベル）,1,150,190,240,891,90,120,160,175,200,1,1,1,1,1,0,0,0,0,-
113,Curse resistance (Soul level) -- 呪い耐性（ソウルレベル）,1,150,190,240,891,90,120,160,175,200,1,1,1,1,1,0,0,0,0,-
114,Cold air resistance (Soul level) -- 冷気耐性（ソウルレベル）,1,150,190,240,891,90,120,160,175,200,1,1,1,1,1,0,0,0,0,-
120,Poison tolerance (physical strength) -- 毒耐性（体力）,0,30,40,60,99,0,0,30,40,50,1,1,1,1,1,0,0,0,0,-
121,Plague Resistance (physical strength) -- 疫病耐性（体力）,0,30,40,60,99,0,0,30,40,50,1,1,1,1,1,0,0,0,0,-
122,Bleeding resistance (endurance) -- 出血耐性（持久力）,0,30,40,60,99,0,0,30,40,50,1,1,1,1,1,0,0,0,0,-
123,Curse Resistance (Luck) -- 呪い耐性（運）,0,30,40,60,99,0,0,30,40,50,1,1,1,1,1,0,0,0,0,-
124,Cold air resistance (life force) -- 冷気耐性（生命力）,0,30,40,60,99,0,0,30,40,50,1,1,1,1,1,0,0,0,0,-
130,Physical Defense Strength -- 物理防御力（筋力）,0,30,40,60,99,0,10,15,30,40,1,1,1,1,1,0,0,0,0,-
131,Physical Defense Strength -- 物理防御力（体力）,0,15,25,40,99,0,5,22,40,60,1,1,1,1,1,0,0,0,0,-
132,Magic Defensive Force (faith) -- 魔法防御力（信仰）,0,30,40,60,99,0,20,40,70,100,1,1,1,1,1,0,0,0,0,-
133,Flame Defense Force (strength) -- 炎防御力（筋力）,0,30,40,60,99,0,20,40,70,100,1,1,1,1,1,0,0,0,0,-
134,Lightning Defense Force (endurance) -- 雷防御力（持久力）,0,30,40,60,99,0,20,40,70,100,1,1,1,1,1,0,0,0,0,-
135,Defense of Darkness (Faith) -- 闇防御力（信仰）,0,30,40,60,99,0,20,40,70,100,1,1,1,1,1,0,0,0,0,-
140,Drop Rate (Luck) -- ドロップ率（運）,0,20,40,60,99,1,2.6,3.8,4.6,5.38,1,1,1,1,1,0,0,0,0,-
150,Maximum replenishment number of recovery spots -- 回復スポットの最大補充数,0,10,20,30,40,0,10,10,15,20,0,0,0,0,0,0,0,0,0,-
160,Shield status correction physical cut ratio -- 盾ステータス補正 物理カット率,0,10,20,40,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
161,Shield Status correction attribute cut rate -- 盾ステータス補正 属性カット率,0,10,20,40,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
162,Shield status correction tolerance cut rate -- 盾ステータス補正 耐性カット率,0,10,20,40,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
163,Shield status correction stamina cut ratio -- 盾ステータス補正 スタミナカット率,0,10,20,40,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
170,Arts Point Maximum (strength) -- アーツポイント最大値（筋力）,0,10,30,60,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
171,Arts Point Max value (workmanship) -- アーツポイント最大値（技量）,0,10,30,60,99,0,20,22,25,30,1,1,1,1,1,0,0,0,0,-
172,Arts Point Max Value (Magic) -- アーツポイント最大値（魔法）,0,10,30,60,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
173,Arts Point Maximum (miracle) -- アーツポイント最大値（奇跡）,0,10,30,60,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
200,Growing consumption Soul -- 成長消費ソウル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0.02,92,-
210,,5,8,12,16,20,8,15,50,90,100,1,1,1,1,1,0,0,0,0,-
211,,20,40,70,100,150,85,90,100,110,130,1,1,1,1,1,0,0,0,0,-
212,,0,10,20,35,99,135,135,115,100,92,1,1,1,1,1,0,0,0,0,-
213,,0,5,20,35,99,120,120,100,97,95,1,1,1,1,1,0,0,0,0,-
228,bare fist pvpatch,1,18,40,60,99,0,5,10,88,106,1.2,-1.2,1,1.5,1,0,0,0,0,-
229,BB 0: none,1,10,25,50,99,0,5,50,85,100,1,1,1,1,1,0,0,0,0,-
230,BB right wep,1,10,100,228,544,10,26,450,592,650,1,1.6,-3,1,1,0,0,0,0,-
231,BB left wep,1,10,75,228,544,10,18,200,253,277,1,1.5,-3.3,1,1,0,0,0,0,-
300,,1,76,220,350,999,1,1,2,2.3,2.5,1,1,1,1,1,0,0,0,0,-
301,,1,76,220,350,999,1,1,1.1,1.25,2,1,1,1,1,1,0,0,0,0,-
302,,1,76,220,350,999,1,1,1.1,1.25,1.4,1,1,1,1,1,0,0,0,0,-
303,,1,76,220,350,999,93,114,150,165,250,1,1,1,1,1,0,0,0,0,-
304,,1,76,220,350,999,100,120,160,200,250,1,1,1,1,1,0,0,0,0,-
310,,1,30,215,333,902,1,1,4.5,5,5,1,1,1,1,1,0,0,0,0,-
320,,1,30,215,333,902,1,1,5.5,6,6,1,1,1,1,1,0,0,0,0,-
330,,1,30,215,333,902,1,1,4.5,5,5,1,1,1,1,1,0,0,0,0,-
340,,1,30,215,333,902,1,1,3,3.5,3.5,1,1,1,1,1,0,0,0,0,-
341,,1,30,215,333,902,1,1,4.5,5,5,1,1,1,1,1,0,0,0,0,-
342,,1,30,100,200,902,1,1,1.8,2.6,2.6,1,1,1,1,1,0,0,0,0,-
350,,1,30,215,262,902,1,1,3,3,3,1,1,1,1,1,0,0,0,0,-
351,,1,30,215,262,902,1,1,3,3,3,1,1,1,1,1,0,0,0,0,-
352,,1,30,220,220,902,1,1,3,3,3,1,1,1,1,1,0,0,0,0,-
400,,1,30,215,333,902,1,1,3.5,3.5,3.5,1,1,1,1,1,0,0,0,0,-
401,,1,30,215,333,902,1,1,2,2.5,2.5,1,1,1,1,1,0,0,0,0,-
