#LodParam=LOD_BANK
ID,Name,lv01_BorderDist,lv01_PlayDist,lv12_BorderDist,lv12_PlayDist,textureLod,pad1,lv23_BorderDist,lv23_PlayDist,lv34_BorderDist,lv34_PlayDist,lv45_BorderDist,lv45_PlayDist,DistanceScaleId [0-255],pad2
41,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
42,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
43,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
44,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
45,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
46,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
47,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
48,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
49,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
50,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
51,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
52,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
53,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
54,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
55,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
56,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
57,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
58,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
59,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
60,Not switch to low texture -- lowテクスチャに切り替わらない,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
61,Not switch to the low texture that does not switch to the LOD model -- LODモデルに切り替わらない lowテクスチャに切り替わらない,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
62,L2 only (Reflection scene default) -- L2のみ（反射シーンデフォルト）,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
63,Do not switch to LOD model (for poly play) -- LODモデルに切り替わらない(ポリ劇用),99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
64,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
65,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
66,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
67,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
68,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
69,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
70,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
72,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
73,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
74,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
75,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
76,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
77,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
78,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
79,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
80,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
81,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
82,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
83,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
84,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
85,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
86,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
87,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
88,,99999,99,99999,99,99,-,99999,99,99999,99,99999,99,99,-
