#ObjActParam=OBJ_ACT_PARAM_ST
ID,Name,actionEnableMsgId,actionFailedMsgId,spQualifiedPassEventFlag,playerAnimId,chrAnimId,validDist,spQualifiedId,spQualifiedId2,ObjDummyId,pad1,ObjAnimId,ValidPlayerAngle,spQualifiedType,spQualifiedType2,ValidObjAngle,ChrSorbType,eventKickTiming,pad2,actionButtonParamId,actionSuccessMsgId
324051,M32_00 Lever _ Bridge Elevator -- m32_00 レバー_橋エレベーター,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
329250,[Archdragon Peak],10010400,10010163,-1,60420,14000,70,2003,0,120,-,0,60,1,0,60,0,1,-,7200,0
330052,[Farron Keep/ROS],10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
331312,m33_00 lever poison swamp forest elevator -- m33_00 レバー 毒沼の森エレベーター,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
331321,M33_00 Front door boss -- m33_00 両開き扉 ボス前,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
332100,m33_00_ Doors _ Shotka -- m33_00_扉_ショトカ,10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
340320,m34_00_ doors _ Old garden buildings -- m34_00_扉_旧ガーデン建物,10010400,10010161,-1,60020,7121,70,4150,0,100,-,1,60,2,0,60,0,1,-,7100,0
340330,m34_00_ Doors _ Stacks Entrance -- m34_00_扉_書庫入口,10010400,10010163,-1,60030,7120,70,2014,0,120,-,1,60,1,0,60,0,1,-,7100,0
341020,,10010400,-1,-1,60410,14021,70,0,0,0,-,0,60,0,0,60,0,1,-,3411000,0
342100,,10010400,-1,-1,60410,14021,70,0,0,0,-,0,60,0,0,60,0,1,-,3411000,0
342200,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
350003,M35_00 Levers _ Elevators -- m35_00 レバー_エレベーター,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
350005,M35_00 Big Door _ Both sides of the basilica -- m35_00 大扉_聖堂両脇,10010400,-1,-1,60190,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
350021,m35_00 Lever _ shutter -- m35_00 レバー_シャッター,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
350022,[Cathedral of the Deep],10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
350023,[Cathedral of the Deep],10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
350206,m35_00 Main Gate -- m35_00 大扉_聖堂正門,10010400,-1,-1,60190,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
350300,[Cathedral of the Deep],10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
351000,M35_00 Double Door -- m35_00 両開き扉,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
360320,M36_00 double door in front of boss -- m36_00 両開き扉 中ボス前,10010400,-1,-1,60030,7120,70,0,0,121,-,1,60,0,0,60,0,1,-,7101,0
360330,m36_00 Double Door Shotka -- m36_00 両開き扉 ショトカ,10010400,-1,-1,60030,7120,70,0,0,121,-,1,60,0,0,60,0,1,-,7101,0
370301,m37_00_ Door _ Landmark Church Plaza -- m37_00_扉_ランドマーク教会前広場,10010400,10010161,-1,60000,7121,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
370302,M37_00_ Doors _ Garden Buildings -- m37_00_扉_ガーデン建物,10010400,10010161,-1,60000,7121,70,4150,0,100,-,0,60,2,0,60,0,1,-,7100,0
370303,[Irithyll of the Boreal Valley],10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
370502,m37_00_ Lever -- m37_00_レバー,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
370508,[Irithyll of the Boreal Valley],10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
381060,[Catacombs of Carthus] Door,10010400,-1,-1,60400,7120,70,0,0,120,-,0,60,0,0,60,0,1,-,7200,0
381080,[Catacombs of Carthus] Lever,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
382002,M38_00 for Double Door Shotka -- m38_00 両開き扉 ショトカ用,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
390300,m39_00_ Normal Door -- m39_00_通常扉,10010400,-1,-1,60000,7120,70,0,0,120,-,0,60,0,0,60,0,1,-,7100,0
390301,m39_00_ Fence Doors _ Outside -- m39_00_鉄柵扉_外側,10010400,-1,-1,60370,7120,70,0,0,120,-,0,60,0,0,60,0,1,-,7100,0
390302,m39_00_ Fence Door _ inside -- m39_00_鉄柵扉_内側,10010400,-1,-1,60370,7120,70,0,0,121,-,0,60,0,0,60,0,1,-,7101,0
390305,m39_00_ door one-way door -- m39_00_扉 一方通行扉,10010400,10010161,-1,60000,7120,70,4150,0,120,-,0,60,2,0,60,0,1,-,7200,0
390306,m39_00_ Door (Large) one-way door -- m39_00_扉（大） 一方通行扉,10010400,10010161,-1,60000,7120,70,4150,0,120,-,0,60,2,0,60,0,1,-,7100,0
390310,[Irithyll Dungeon],10010400,10010163,-1,60000,14000,70,2008,0,121,-,0,60,1,0,60,0,1,-,7101,0
390320,[Irithyll Dungeon],10010400,10010163,-1,60000,14000,70,2007,0,121,-,0,60,1,0,60,0,1,-,7101,0
390330,[Irithyll Dungeon],10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
390340,[Irithyll Dungeon],10010400,10010163,-1,60002,7120,70,2012,0,120,-,0,60,1,0,60,0,1,-,7100,0
390350,[Irithyll Dungeon],10010400,10010163,-1,60370,7120,70,2008,0,121,-,0,60,1,0,60,0,1,-,7201,0
390360,[Irithyll Dungeon],10010400,10010163,-1,60370,7120,70,2008,0,120,-,0,60,1,0,60,0,1,-,7200,0
390500,m39_00_ Dungeon Shotka Elebator -- m39_00_地下牢ショトカエレベーター,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
390600,CA,10010400,10010163,-1,60000,14000,70,2010,0,100,-,0,60,1,0,60,0,1,-,7200,0
400005,[Firelink Shrine],10010400,-1,-1,60170,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
400340,m40_00_ Room Door -- m40_00_ラスボス部屋扉,10010400,10010161,-1,60000,7120,70,0,0,121,-,0,60,0,0,60,0,1,-,7101,0
400510,m40_00_ Lever -- m40_00_レバー,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
450300,[Ariandel],10010400,10010161,-1,60000,7120,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
450310,[Ariandel],10010400,-1,-1,60180,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
450315,[Ariandel],10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
450320,[Ariandel],10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
450510,[Ariandel],10010400,10010163,-1,60202,14021,70,2155,0,191,-,1,60,1,0,60,0,1,-,8350,0
450520,[Ariandel],10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
450530,[Ariandel],10010400,-1,-1,60220,7120,70,0,0,191,-,1,60,0,0,60,0,1,-,9372,0
456301,[Ariandel],10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
456500,[Ariandel],10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,0,-,8320,0
510300,[The Ringed City],10010400,-1,-1,60190,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
510301,[The Ringed City],10010400,-1,-1,60170,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
510302,[The Ringed City],10010400,-1,-1,60170,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7202,0
510310,[The Ringed City],10010400,10010161,-1,60000,7120,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
510505,[The Ringed City],10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
1000370,M96_00 Door Concept Map _ Temple entrance -- m96_00 扉 コンセプトマップ_聖堂入口,10010400,-1,-1,60040,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
1000371,M96_00 Door Concept Map _ Distant Entrance -- m96_00 扉 コンセプトマップ_遠景入口,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
1300311,M30_00_ Door _ Wall Shortcut 1 -- m30_00_扉_城壁ショートカット1,10010400,10010163,-1,60002,14000,70,2300,4150,120,-,1,60,1,2,60,0,1,-,7100,0
1314027,m31_00_ Door _ before the Sniper tower -- m31_00_扉_スナイパー塔前,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
1324051,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
1400340,,10010400,10010161,-1,60000,7120,70,4150,0,120,-,0,60,2,0,60,0,1,-,7100,0
1456500,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,0,-,8300,0
2300311,M30_00_ Door _ Wall Shortcut 2 -- m30_00_扉_城壁ショートカット2,10010400,10010163,-1,60000,14000,70,2300,4150,121,-,1,60,1,2,60,0,1,-,8920,0
2400340,,10010400,10010161,-1,60000,7120,70,0,0,120,-,0,60,0,0,60,0,1,-,7100,0
3400340,,10010400,10010163,-1,60000,7120,70,2013,2015,121,-,0,60,1,1,60,0,1,-,7101,0
