#Wind=WIND_PARAM_ST
ID,Name,commonCapsuleBeginDmyId,commonCapsuleEndDmyId,commonCapsuleRadius,pad1,sfxWindEnable,sfxIgnorePlayerSfx,sfxIsCollision,pad2,SfxDirPitchMin,SfxDirPitchMax,SfxDirYawMin,SfxDirYawMax,SfxCycleMin,SfxCycleMax,SfxSpeedMin,SfxSpeedMax,SfxMaximumDrag,pad3,clothWindEnable,clothVertexWind,pad4,clothDirPitchMin,clothDirPitchMax,clothDirYawMin,clothDirYawMax,clothCycleMin,clothCycleMax,clothSpeedMin,clothSpeedMax,clothMaximumDrag,pad5
120100009,M20_01 Cathedral Terrace -- m20_01聖堂テラス,0,0,1,-,1,0,0,-,15,75,30,90,0.01,0.05,0.3,2.3,1,-,1,0,-,-15,15,-75,-45,5,15,0.2,2.5,10,-
120100010,m20_01 Basilica -- m20_01聖堂前,0,0,1,-,1,0,0,-,15,75,30,90,0.05,0.05,0.3,2.3,1,-,1,0,-,10,50,-65,-25,3,8,5,10,10,-
120100011,M20_01 boss Front passage (after door open) -- m20_01ボス前通路（扉OPEN後）,0,0,1,-,1,0,0,-,30,60,-15,15,0.01,0.01,0.1,0.3,1,-,1,0,-,30,60,-15,15,6,15,2.5,5,10,-
120100012,M20_01 Boss Room -- m20_01ボス部屋,0,0,1,-,1,0,0,-,0,30,-15,15,0.01,0.01,0.1,0.3,1,-,1,0,-,0,30,-15,15,6,15,2.5,5,10,-
120150000,M20_01 a small door and blow it -- m20_01小扉開けて吹き込む,0,0,1,-,1,0,0,-,-20,20,-20,20,0.05,0.05,0.7,0.7,1,-,1,1,-,-20,20,-20,20,3,8,10,10,10,-
120150001,M20_01 Open the big door and breathe -- m20_01大扉開けて吹き込む,0,0,1,-,1,0,0,-,-20,20,-20,20,0.05,0.05,0.7,0.7,1,-,1,1,-,-20,20,-20,20,3,8,10,10,10,-
120150002,m20_01 Windows Blow broken -- m20_01窓壊れて吹き込む,0,0,1,-,1,0,0,-,-20,20,-20,20,0.05,0.05,0.5,2,1,-,1,1,-,-20,20,-20,20,3,8,10,10,10,-
120150003,M20_01 Boss appearance production wind -- m20_01ボス登場演出風,0,0,5,-,1,0,0,-,-20,20,-20,20,0.05,0.05,10,13,1,-,1,1,-,-20,20,-20,20,3,8,10,10,10,-
129100000,M29 boss Stairs 20 ° Wind -- m29 ボス前階段20°の風,0,0,1,-,1,0,0,-,-50,10,-30,30,0.05,0.05,0.3,2.3,1,-,1,0,-,-50,10,-30,30,2,6,10,20,10,-
191040000,M91_04 Yamagishi Style -- m91_04 山岸風,0,0,1,-,1,0,0,-,-30,30,-30,30,0.05,0.05,0.3,2.3,1,-,1,0,-,-30,30,-30,30,2,6,8,18,10,-
200000000,Test (Tae Style) -- テスト用（TAE風）,203,-1,2,-,1,0,0,-,-105,-75,-15,15,0.5,1,-1,20,2,-,1,1,-,-105,-75,-15,15,0.5,1,-1,20,2,-
200000010,General character style (weak) -- 汎用キャラ風（弱）,1,11,1,-,1,0,0,-,-15,15,-15,15,0.1,0.8,-0.3,1,1,-,1,1,-,-15,15,-15,15,0.1,0.8,-0.3,1,1,-
200000011,General character style (medium) -- 汎用キャラ風（中）,1,11,1,-,1,0,0,-,-15,15,-15,15,0.5,1,-1,10,2,-,1,1,-,-15,15,-15,15,0.5,1,-1,10,2,-
200000012,General character style (strong) -- 汎用キャラ風（強）,1,11,1,-,1,0,0,-,-15,15,-15,15,0.5,1,-1,20,2,-,1,1,-,-15,15,-15,15,0.5,1,-1,20,2,-
200000100,Pc_ Front _ Wind -- PC_正面_風,80,-1,1,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
200000101,Pc_ Left _ Wind -- PC_左前_風,81,-1,1,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
200000102,Pc_ Right _ Wind -- PC_右前_風,82,-1,1,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
200000103,Pc_ left after _ wind -- PC_左後_風,83,-1,1,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
200000104,Pc_ right after _ wind -- PC_右後_風,84,-1,1,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
200000810,Pc_ bodies _ before _ wind -- PC_体_前_ 風,85,-1,1.5,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
200000811,Pc_ bodies _ after _ winds -- PC_体_後_風,86,-1,1.5,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
200000812,Pc_ Bodies _ left _ winds -- PC_体_左_風,87,-1,1.5,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
200000813,Pc_ Bodies _ right _ winds -- PC_体_右_風,88,-1,1.5,-,1,1,0,-,-15,15,-15,15,0.5,1,0.1,2.5,0.4,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
200000814,Test for debugging -- デバック用テスト,80,81,1,-,1,1,0,-,-15,15,-15,15,0.5,1,7,7,1,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
200001000,Player collision body for SFX interference -- SFX干渉用プレイヤーコリジョン_ボディ,7,10,0.25,-,1,0,1,-,0,0,0,0,0.5,1,5,5,1,-,0,0,-,0,0,0,0,0.1,0.1,0,0,0,-
200001010,SFX interference player collision right arm -- SFX干渉用プレイヤーコリジョン_右腕,1,31,0.08,-,1,0,1,-,0,0,0,0,0.5,1,5,5,1,-,0,0,-,0,0,0,0,0.1,0.1,0,0,0,-
200001020,SFX interference player collision left arm -- SFX干渉用プレイヤーコリジョン_左腕,2,30,0.08,-,1,0,1,-,0,0,0,0,0.5,1,5,5,1,-,0,0,-,0,0,0,0,0.1,0.1,0,0,0,-
200001030,SFX interference player collision right foot -- SFX干渉用プレイヤーコリジョン_右足,5,154,0.1,-,1,0,1,-,0,0,0,0,0.5,1,5,5,1,-,0,0,-,0,0,0,0,0.1,0.1,0,0,0,-
200001040,The left foot of the player collision for SFX interference -- SFX干渉用プレイヤーコリジョン_左足,6,155,0.1,-,1,0,1,-,0,0,0,0,0.5,1,5,5,1,-,0,0,-,0,0,0,0,0.1,0.1,0,0,0,-
200001050,SFX Interference player collision Weapon (Common) -- SFX干渉用プレイヤーコリジョン_武器（共通）,100,120,0.08,-,1,0,1,-,0,0,0,0,0.5,1,5,5,1,-,0,0,-,0,0,0,0,0.1,0.1,0,0,0,-
350000100,Parish Chief _ front _ Wind -- 教区長_正面_風,180,-1,6,-,1,0,0,-,-15,15,-15,15,0.5,1,9,10,1,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
350000101,Parish Warden _ Before the Wind -- 教区長_左前_風,181,-1,6,-,1,0,0,-,-15,15,-15,15,0.5,1,9,10,1,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
350000102,Parish Chief _ right _ winds -- 教区長_右前_風,182,-1,6,-,1,0,0,-,-15,15,-15,15,0.5,1,9,10,1,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
350000103,Parish Warden _ After left _ winds -- 教区長_左後_風,183,-1,5,-,1,0,0,-,-15,15,-15,15,0.5,1,9,10,1,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
350000104,Parish Warden _ right after winds -- 教区長_右後_風,184,-1,5,-,1,0,0,-,-15,15,-15,15,0.5,1,9,10,1,-,1,1,-,-15,15,-15,15,0.5,1,40,80,1,-
350000810,Parish Chief _ Body _ before _ Wind -- 教区長_体_前_ 風,185,-1,4,-,1,0,0,-,-15,15,-15,15,0.5,1,8,9,1,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
350000811,Parish Warden _ After body _ winds -- 教区長_体_後_風,186,-1,4,-,1,0,0,-,-15,15,-15,15,0.5,1,8,9,1,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
350000812,Parish Chief _ Body _ left _ Wind -- 教区長_体_左_風,187,-1,4,-,1,0,0,-,-15,15,-15,15,0.5,1,8,9,1,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
350000813,Parish Chief _ Body _ right _ winds -- 教区長_体_右_風,188,-1,4,-,1,0,0,-,-15,15,-15,15,0.5,1,8,9,1,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
350000900,Parish Chief _ Feet -- 教区長_足元,189,-1,7,-,1,0,0,-,-15,15,-15,15,0.5,1,9,10,1,-,1,1,-,-15,15,-15,15,0.5,1,4,6,1,-
