#BonfireWarpParam=BONFIRE_WARP_PARAM_ST
ID,Name,LocationEventId,WarpEventId,BonfireNameId,DescriptionTextId,PictureId,ListId,IsDisableQuickwarp,CeremonyId,onlineAreaId,pad1
24,[Boss Bonfire] Witch of Moonlight -- 【ボス篝火】月光の魔女,13200000,3201950,211250,211650,10091,9,0,-1,320001,-
25,[Boss Bonfire] Salivan -- 【ボス篝火】サリヴァーン,13200003,3201953,211252,0,10094,9,0,-1,320010,-
26,[Boss Bonfire] Hallec (Anole towards the bottom) -- 【ボス篝火】ハレック（アノール方面最奥）,13200002,3201952,211251,211651,10093,9,0,-1,320013,-
28,[Normal bonfire] underground dungeon exit -- 【通常篝火】地下ダンジョン出口,13300006,3301956,211266,0,10037,3,0,-1,0,-
29,[Normal bonfire] underground dungeon entrance -- 【通常篝火】地下ダンジョン入口,13300000,3301950,211260,211660,10031,3,0,-1,330001,-
30,[Boss Bonfire] Sand worm (sub route underground lake) -- 【ボス篝火】サンドワーム（サブルート地底湖）,13300007,3301957,211267,0,10038,3,0,-1,330001,-
32,[Normal bonfire] Start (Dungeon entrance) -- 【通常篝火】スタート（地下牢入口）,13300003,3301953,211261,211661,10034,3,0,-1,330011,-
33,[Boss Bonfire] King of the Dead -- 【ボス篝火】死霊の王,13300004,3301954,211262,211662,10035,3,0,-1,330011,-
34,[Farron Keep] Farron Keep Perimeter,13300008,3301958,211268,0,10039,3,0,-1,330014,-
35,[Farron Keep] Old Wolf of Farron,13300005,3301955,211263,211663,10036,3,0,-1,330015,-
36,[Farron Keep] Abyss Watchers,13300001,3301951,211275,211675,10033,3,0,-1,330013,-
38,[Cathedral of the Deep] Cleansing Chapel,13500000,3501950,211280,211680,10041,4,0,-1,350001,-
39,[Cathedral of the Deep] Deacons of the Deep,13500001,3501951,211285,211685,10042,4,0,-1,350005,-
40,[Cathedral of the Deep] Rosaria's Bed Chamber,13500002,3501952,211286,211686,10043,4,0,-1,0,-
41,[Irithyll of the Boreal Valley] Irithyll of the Boreal Valley,13700007,3701957,211296,0,10068,6,0,-1,0,-
42,[Irithyll of the Boreal Valley] Central Irithyll,13700004,3701954,211292,0,10065,6,0,-1,370001,-
45,[Irithyll of the Boreal Valley] Pontiff Sulyvahn,13700001,3701951,211295,211695,10062,6,0,-1,370005,-
46,[Irithyll of the Boreal Valley] Water Reserve,13700006,3701956,211294,0,10067,6,0,-1,370010,-
47,[Irithyll of the Boreal Valley] Anor Londo,13700003,3701953,211291,211691,10064,6,0,-1,370012,-
48,[Irithyll of the Boreal Valley] Prison Tower,13700008,3701958,211297,0,10069,6,0,-1,0,-
49,"[Irithyll of the Boreal Valley] Aldrich, Devourer of Gods",13700002,3701952,211305,211705,10063,6,0,-1,370012,-
50,[Catacombs of Carthus] Catacombs of Carthus,13800006,3801956,211323,0,10051,5,0,-1,380002,-
51,[Catacombs of Carthus] High Lord Wolnir,13800000,3801950,211327,211727,10055,5,0,-1,380002,-
52,[Catacombs of Carthus] Abandoned Tomb,13800001,3801951,211320,211720,10052,5,0,-1,380012,-
53,[Smouldering Lake] Old King's Antechamber,13800002,3801952,211321,211721,10054,5,0,-1,380015,-
54,[Smouldering Lake] Demon Ruins,13800003,3801953,211322,211722,10053,5,0,-1,380015,-
55,[Smouldering Lake] Old Demon King,13800004,3801954,211326,211725,10056,5,0,-1,380012,-
56,[Irithyll Dungeon] Irithyll Dungeon,13900000,3901950,211330,211730,10071,7,0,-1,390000,-
57,[Profaned Capital] Profaned Capital,13900002,3901952,211331,211731,10073,7,0,-1,390003,-
58,[Profaned Capital] Yhorm the Giant,13900001,3901951,211335,211735,10074,7,0,-1,390004,-
59,[Flameless Shrine] Flameless Shrine,14100000,4101950,211340,211740,10991,10,0,-1,0,-
60,[Flameless Shrine] Kiln of the First Flame,14100001,4101951,211341,211741,10992,10,0,-1,410001,-
61,[Flameless Shrine] The First Flame,14100002,4101952,211345,211745,10993,10,0,-1,410001,-
62,[Ariandel] Snowfield,14500001,4501951,211401,-1,10101,11,0,-1,450001,-
64,[Ariandel] Corvian Settlement,14500003,4501953,211403,-1,10103,11,0,-1,450002,-
65,[Ariandel] Snowy Mountain Pass,14500004,4501954,211404,-1,10104,11,0,-1,450003,-
66,[Ariandel] Ariandel Chapel,14500005,4501955,211405,-1,10105,11,0,-1,450005,-
68,[Ariandel] Depths of the Painting,14500007,4501957,211407,-1,10108,11,0,-1,450011,-
70,[Dreg Heap] The Dreg Heap,15000001,5001951,211501,-1,10111,12,0,-1,500001,-
71,[Dreg Heap] Earthen Peak Ruins,15000002,5001952,211502,-1,10112,12,0,-1,500002,-
72,[Dreg Heap] Within the Earthen Peak Ruins,15000003,5001953,211503,-1,10113,12,0,-1,500003,-
73,[Dreg Heap] The Demon Prince,15000000,5001950,211500,-1,10114,12,0,-1,500003,-
74,[The Ringed City] Mausoleum Lookout,15100002,5101952,211512,-1,10121,13,0,-1,510001,-
75,[The Ringed City] Ringed Inner Wall,15100003,5101953,211513,-1,10122,13,0,-1,510002,-
76,[The Ringed City] Ringed City Streets,15100004,5101954,211514,-1,10123,13,0,-1,510003,-
77,[The Ringed City] Shared Grave,15100005,5101955,211515,-1,10128,13,0,-1,510004,-
78,[The Ringed City] Church of Filianore,15100000,5101950,211510,-1,10124,13,0,-1,510005,-
79,[The Ringed City] Darkeater Midir,15100001,5101951,211511,-1,10125,13,0,-1,510011,-
80,[The Ringed City] Filianore's Rest,15110001,5111951,211521,-1,10126,13,0,-1,511001,-
81,[The Ringed City] Slave Knight Gael,15000009,5001959,211505,-1,10115,12,0,-1,500001,-
