#NpcThinkParam=NPC_THINK_PARAM_ST
ID,Name,logicId,battleGoalId,nearDist,midDist,farDist,OutDist,BackHomeLife_OnHitEneWal,goalID_ToCaution,idAttackCannotMove,goalID_toFind,callHelp_ActionAnimId,callHelp_CallActionId,eye_dist,ear_dist,ear_soundcutDist,nose_dist,maxBackhomeDist,backhomeDist,backhomeBattleDist,nonBattleActLife,BackHome_LookTargetTime,BackHome_LookTargetDist,SightTargetForgetTime,SoundTargetForgetTime,BattleStartDist,callHelp_MyPeerId,callHelp_CallPeerId,targetSys_DmgEffectRate,teamAttackEffectivity,eye_angX,eye_angY,State0,State1,callHelp_CallValidMinDistTarget,callHelp_CallValidRange,callHelp_ForgetTimeByArrival,callHelp_MinWaitTime,callHelp_MaxWaitTime,goalAction_ToCaution,goalAction_ToFind,callHelp_ReplyBehaviorType,disablePathMove,skipArrivalVisibleCheck,thinkAttrDoAdmirer,enableNaviFlg_Edge,enableNaviFlg_LargeSpace,enableNaviFlg_Ladder,enableNaviFlg_Hole,enableNaviFlg_Door,enableNaviFlg_InSideWall,enableNaviFlg_EdgeOrdinary,enableNaviFlg_reserve0,enableNaviFlagReserve,eyeDist_ForDark,battleStartDist_forDark,eyeDist_ForPitchDark,battleStartDist_forPitchDark,platoonReplyTime,platoonReplyAddRandomTime,eye_BackOffsetDist,eye_BeginDist,targetArriveDist,pointArriveDist,changeStateAction_ToFind,changeStateAction_ToCaution,changeStateAction_ToBattle,goalAction_ToDisappear,disableLocalSteering,actTypeOnFailedPath,interestCategory,goalAction_ToInterest,Unk1,ear_angX,ear_angY,changeStateAction_ToInterest,changeStateAction_ToNormal,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,pad
10010,City Map Sniper Platoon target dummy character -- 街マップスナイパーの小隊ターゲット用ダミーキャラ,10000,11000,0,0,0,0,0,8,0,0.1,0,0,20,0,0,0,9999,9998,9999,1,7,12,0,16448,20,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,256,0,0,2,-
10011,,10000,11000,0,0,0,0,0,8,0,0.1,0,0,5,0,0,0,9999,9998,9999,1,7,12,0,16448,5,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,256,0,0,2,-
10012,,10000,11000,0,0,0,0,0,8,0,0.1,0,0,5,0,0,0,9999,9998,9999,1,7,12,0,16448,5,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,256,0,0,2,-
10013,,10000,11000,0,0,0,0,0,5,0,0.1,0,0,14,0,0,0,9999,9998,9999,1,7,12,0,16384,14,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,256,0,0,2,-
10050,,10050,11000,0,0,0,0,0,8,0,0.1,0,0,14,0,0,0,9999,9998,9999,1,7,12,0,16448,14,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,256,0,0,2,-
10200,For NPC Logic Testing -- NPCロジックテスト用,10000,900000,0,0,0,0,5,8,3000,0.1,0,0,13,0,0,9999,9999,9999,9999,1,7,12,0,16448,9999,0,0,100,25,120,120,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
20000,NPC Sub-goal Test 00: Combat -- NPCサブゴールテスト00:戦闘,20100,20000,0,0,0,0,5,8,3000,9999,0,0,9999,0,0,9999,9999,9999,9999,9999,9999,9999,0,16448,9999,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,-
20001,NPC Sub-goal Test 01: walking and Running -- NPCサブゴールテスト01:歩行・走行,20100,20001,0,0,0,0,5,8,3000,9999,0,0,9999,0,0,9999,9999,9999,9999,9999,9999,9999,0,16448,9999,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,-
20002,NPC Sub-goal Test 02: Quick Turn/left/right movement -- NPCサブゴールテスト02:クイックターン・左右移動,20100,20002,0,0,0,0,5,8,3000,9999,0,0,9999,0,0,9999,9999,9999,9999,9999,9999,9999,0,16448,9999,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,-
20003,NPC Sub-goal Test 03: Retreat/Step -- NPCサブゴールテスト03:後退・ステップ,20100,20003,0,0,0,0,5,8,3000,9999,0,0,9999,0,0,9999,9999,9999,9999,9999,9999,9999,0,16448,9999,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,-
20004,,20100,20004,0,0,0,0,5,8,3000,9999,0,0,9999,0,0,9999,9999,9999,9999,9999,9999,9999,0,16448,9999,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,-
20010,NPC Test 00: Test -- NPCテスト00：テスト,20100,20010,0,0,0,0,5,8,3000,9999,0,0,9999,0,0,9999,9999,9999,9999,9999,9999,9999,0,16448,9999,0,0,100,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,-
21000,,20100,21000,0,0,0,0,0,5,36,0,0,0,20,0,0,100,9999,9998,9999,5,10,20,0,16544,20,0,0,100,25,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
21002,,10000,21000,0,0,0,0,0,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,25,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
21005,,20100,21000,0,0,0,0,5,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,0,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
21006,,20100,21000,0,0,0,0,0,5,36,0,0,0,0,0,0,0,9999,9998,9999,5,10,20,0,16544,0,0,0,100,0,30,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,1,5,-
21100,,10000,21100,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
21140,,10000,21100,0,0,0,0,5,8,36,0.1,0,0,20,0,0,50,50,40,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
21200,,10000,21200,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
21300,,10000,21300,0,0,0,0,5,999999,36,0.1,0,0,80,0,0,0,100,99,-1,1,7,12,9200,18804,999,0,0,100,25,120,120,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,999999,-
21400,,10000,21400,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,0,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
21420,,20100,21400,0,0,0,0,5,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,0,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
21421,,20100,21400,0,0,0,0,5,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,0,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
21440,,10000,21400,0,0,0,0,5,8,36,0.1,0,0,20,0,0,9999,75,50,6,1,7,12,0,16448,20,0,0,100,0,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
21500,,10000,21500,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,0,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
21520,,20100,21500,0,0,0,0,5,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,0,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
21540,,10000,21500,0,0,0,0,5,8,36,0.1,0,0,40,0,0,0,9999,9999,9999,1,7,12,0,16448,40,0,0,100,100,120,120,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
21640,,10000,21600,0,0,0,0,5,8,36,0.1,0,0,20,0,0,9999,75,50,6,1,7,12,0,16448,20,0,0,100,100,120,120,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
21700,,10000,21700,0,0,0,0,5,999999,36,0.1,0,0,50,0,0,0,9999,9999,9999,1,7,12,9200,18804,50,0,0,100,100,180,180,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,999999,-
21800,,10000,21800,0,0,0,0,5,999999,36,0.1,0,0,50,0,0,0,9999,9999,9999,1,7,12,9200,18804,50,0,0,100,100,180,180,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,999999,-
21940,,10000,21900,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,0,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
22000,,10000,22000,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,0,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
22140,,10000,22100,0,0,0,0,5,8,36,0.1,0,0,28,0,0,8,75,50,6,1,7,12,0,16448,28,0,0,100,0,30,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
22240,,10000,29400,0,0,0,0,5,8,36,0.1,0,0,20,0,0,9999,75,50,6,1,7,12,0,16448,20,0,0,100,0,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
22241,,10000,29400,0,0,0,0,5,8,36,0.1,0,0,20,0,0,6,75,50,6,1,7,12,0,16448,20,0,0,100,0,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
22340,,10000,25800,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,0,35,30,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
24700,,10000,24700,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
24800,,10000,24800,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
24801,,10000,24800,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
24802,,10000,24800,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
24803,,10000,24800,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25000,,10000,25000,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25020,,20100,25000,0,0,0,0,0,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,25,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
25100,,10000,25100,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25101,,10000,25101,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25120,,20100,25100,0,0,0,0,0,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,25,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
25121,,20100,25100,0,0,0,0,0,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,25,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
25200,,10000,25200,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25201,,10000,25200,0,0,0,0,0,8,36,0.1,0,0,50,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25202,,10000,25200,0,0,0,0,0,8,36,0.1,0,0,50,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25203,,10000,25200,0,0,0,0,5,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25204,,10000,25200,0,0,0,0,0,8,36,0.1,0,0,20,0,0,0,75,50,6,1,7,12,0,16448,20,0,0,100,25,120,120,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,-
25220,,20100,25200,0,0,0,0,0,5,36,0,0,0,20,0,0,0,9999,9998,9999,5,10,20,0,16544,20,0,0,100,25,30,90,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,2,1,5,-
